field_id,category,name_es,description,data_type,unit,allowed_values,min_value,max_value,precision,requirement_class,required_from_stage,conditional_expression,prohibited_default,expected_source_document,extraction_hints,used_by_calculation_ids,used_by_drawing_ids,blocking_if_missing,review_role,source_ids
PRJ_001,identity,project_id,Identificador único del proyecto,string,-,UUIDv4 o código interno,,,,PROJECT_MANDATORY,FEASIBILITY,true,,PRJ-2026-X,Document control registry,C-COM-001,DRW-COM-001,true,PROJECT_MANAGER,[]
PRJ_002,identity,project_name_es,Nombre comercial del proyecto en español,string,-,free text,,,,PROJECT_MANDATORY,FEASIBILITY,true,,[Project Name],Cover sheet,C-COM-001,DRW-COM-001,true,PROJECT_MANAGER,[]
PRJ_003,identity,project_name_en,Nombre comercial en inglés,string,-,free text,,,,OPTIONAL,FEASIBILITY,false,,,Cover sheet,-,DRW-COM-001,false,PROJECT_MANAGER,[]
PRJ_004,identity,owner_legal_name,Razón social del titular del proyecto,string,-,SUNAT format,,,,PROJECT_MANDATORY,FEASIBILITY,true,,[Owner S.A.],Title deed,-,DRW-COM-001,true,PROJECT_MANAGER,[]
PRJ_005,identity,owner_tax_id,RUC del titular,string,-,11 digits,,,,PROJECT_MANDATORY,FEASIBILITY,true,,00000000000,SUNAT RUC,-,DRW-COM-001,true,PROJECT_MANAGER,[]
PRJ_006,identity,developer_legal_name,Razón social del desarrollador,string,-,free text,,,,CONDITIONAL,FEASIBILITY,owner != developer,,,EPC contract,-,DRW-COM-001,false,PROJECT_MANAGER,[]
PRJ_007,identity,epc_contractor_legal_name,Razón social del contratista EPC,string,-,free text,,,,CONDITIONAL,BASIC_ENGINEERING,contract_type==EPC,,,EPC contract,-,DRW-COM-001,false,PROJECT_MANAGER,[]
PRJ_008,identity,ie_engineer_name,Nombre del ingeniero instalador eléctrico responsable,string,-,CIP format,,,,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,,CIP certificate,-,DRW-COM-001,true,LEAD_ENGINEER_ELECTRICAL,[]
PRJ_009,identity,ie_engineer_cip,Número CIP del ingeniero eléctrico,string,-,CIP-PE format,,,,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,,CIP certificate,-,DRW-COM-001,true,LEAD_ENGINEER_ELECTRICAL,[]
PRJ_010,identity,civil_engineer_cip,Número CIP del ingeniero civil responsable,string,-,CIP-PE format,,,,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,,CIP certificate,-,DRW-COM-001,true,LEAD_ENGINEER_CIVIL,[]
PRJ_020,stage,project_stage,Etapa actual del proyecto,enum,-,PRE_FEASIBILITY|FEASIBILITY|BASIC_ENGINEERING|DETAILED_ENGINEERING|PROCUREMENT|CONSTRUCTION|COMMISSIONING|AS_BUILT,PRE_FEASIBILITY,AS_BUILT,,PROJECT_MANDATORY,PRE_FEASIBILITY,true,,,Project execution plan,C-COM-001;C-COM-002,DRW-COM-001,true,PROJECT_MANAGER,[]
PRJ_021,stage,stage_revision_letter,Letra de revisión actual,enum,-,A|B|C|D| ,A,Z,,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,A,Drawing title block,-,DRW-COM-001,true,PROJECT_MANAGER,[]
PRJ_022,stage,stage_start_date,Fecha de inicio de la etapa,date,YYYY-MM-DD,ISO8601,,,,PROJECT_MANDATORY,PRE_FEASIBILITY,true,,,Project schedule,-,-,false,PROJECT_MANAGER,[]
PRJ_023,stage,stage_target_end_date,Fecha objetivo de cierre de etapa,date,YYYY-MM-DD,ISO8601,,,,PROJECT_MANDATORY,PRE_FEASIBILITY,true,,,Project schedule,-,-,false,PROJECT_MANAGER,[]
PRJ_024,stage,stage_actual_end_date,Fecha real de cierre de etapa,date,YYYY-MM-DD,ISO8601,,,,CONDITIONAL,CONSTRUCTION,stage_status==CLOSED,,,Project schedule,-,-,false,PROJECT_MANAGER,[]
PRJ_030,revisions,revision_history,Historial de revisiones del plano,array,-,"JSON array of {rev, date, description, author, reviewer, approver}",,,,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,[],Drawing title block,-,DRW-COM-001,true,PROJECT_MANAGER,[]
PRJ_031,revisions,design_review_log,Bitácora de revisiones de diseño,array,-,"JSON array of {review_id, date, reviewer, comments, response}",,,,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,[],Design review log,-,-,true,LEAD_ENGINEER_CIVIL,[]
PRJ_032,revisions,hazard_analysis_log,Bitácora HAZOP,array,-,"JSON array of {node, deviation, cause, consequence, safeguard, action}",,,,CONDITIONAL,DETAILED_ENGINEERING,"technology in [BIOMASS,BIOGAS,HYDROGEN,GEOTHERMAL,HYDRO]",,[],HAZOP report,-,-,true,SAFETY_ENGINEER,[]
PRJ_033,revisions,sil_log,Bitácora SIL,array,-,"JSON array of {sif, sil_target, sil_achieved, gap, action}",,,,CONDITIONAL,DETAILED_ENGINEERING,"technology in [BIOMASS,BIOGAS,HYDROGEN,BESS]",,[],SIL study report,-,-,true,SAFETY_ENGINEER,[]
PRJ_034,revisions,peer_review_status,Estado de la revisión por pares,enum,-,PENDING|IN_PROGRESS|DONE|REJECTED,PENDING,DONE,,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,PENDING,Peer review report,-,-,true,PROJECT_MANAGER,[]
PRJ_035,revisions,afc_status,Estado AFC/IFC,enum,-,NOT_STARTED|IN_PROGRESS|APPROVED|REJECTED,NOT_STARTED,APPROVED,,PROJECT_MANDATORY,DETAILED_ENGINEERING,stage>=DETAILED_ENGINEERING,,NOT_STARTED,AFC stamp record,-,DRW-COM-001,true,PROJECT_MANAGER,[]
PRJ_040,jurisdiction,country_iso,País del proyecto,enum,-,ISO 3166-1 alpha-2,,,,PROJECT_MANDATORY,PRE_FEASIBILITY,true,,,Project charter,C-COM-001;C-COM-002,DRW-COM-001,true,PROJECT_MANAGER,[]
PRJ_041,jurisdiction,region_iso,Departamento/Región,enum,-,ISO 3166-2,,,,PROJECT_MANDATORY,PRE_FEASIBILITY,true,,,Project charter,C-COM-001,DRW-COM-001,true,PROJECT_MANAGER,[]
PRJ_042,jurisdiction,province,Provincia,string,-,free text,,,,PROJECT_MANDATORY,PRE_FEASIBILITY,true,,,Project charter,-,DRW-COM-001,true,PROJECT_MANAGER,[]
PRJ_043,jurisdiction,district,Distrito,string,-,free text,,,,PROJECT_MANDATORY,PRE_FEASIBILITY,true,,,Project charter,-,DRW-COM-001,true,PROJECT_MANAGER,[]
PRJ_044,jurisdiction,jurisdiction_profile,Perfil jurisdiccional activo,enum,-,PE|INTERNATIONAL,PE,INTERNATIONAL,,PROJECT_MANDATORY,PRE_FEASIBILITY,true,,PE,Jurisdiction matrix,C-COM-001,DRW-COM-001,true,PROJECT_MANAGER,[]
PRJ_045,jurisdiction,land_tenure_status,Estado de tenencia de terreno,enum,-,OWNED|LEASED|EASEMENT|CONCESSION|PENDING,OWNED,CONCESSION,,PROJECT_MANDATORY,FEASIBILITY,true,,,Land tenure document,-,DRW-COM-002,true,PROJECT_MANAGER,[]
PRJ_050,crs,crs_epsg,Código EPSG del sistema de coordenadas,integer,EPSG,1024-32767,1024,32767,,PROJECT_MANDATORY,PRE_FEASIBILITY,true,,32718 (UTM 18S Peru),Geodetic survey,C-COM-002;C-COM-003,DRW-COM-002,true,GEODESIST,[]
PRJ_051,crs,crs_vertical_datum,Datum vertical,enum,-,WGS84|EGM2008|NAPTAG|LOCAL,WGS84,LOCAL,,PROJECT_MANDATORY,PRE_FEASIBILITY,true,,,Geodetic survey,C-COM-002,DRW-COM-002,true,GEODESIST,[]
PRJ_052,crs,site_centroid_easting,Coordenada Este del centro del sitio,number,m,UTM easting,166000,834000,0.01,PROJECT_MANDATORY,PRE_FEASIBILITY,true,,0.0,Geodetic survey,C-COM-002;C-COM-003,DRW-COM-002,true,GEODESIST,[]
PRJ_053,crs,site_centroid_northing,Coordenada Norte del centro del sitio,number,m,UTM northing,0,9300000,0.01,PROJECT_MANDATORY,PRE_FEASIBILITY,true,,0.0,Geodetic survey,C-COM-002;C-COM-003,DRW-COM-002,true,GEODESIST,[]
PRJ_054,crs,site_centroid_elevation,Elevación del centro del sitio,number,m,above sea level,-50,6500,0.01,PROJECT_MANDATORY,PRE_FEASIBILITY,true,,,Topographic survey,C-COM-002;C-COM-003,DRW-COM-002,true,GEODESIST,[]
PRJ_055,crs,local_grid_origin_easting,Origen de malla local Este,number,m,local grid,,,0.001,CONDITIONAL,BASIC_ENGINEERING,crs_epsg == local,,,Plant coordinate grid,C-COM-003,DRW-COM-002,false,LEAD_ENGINEER_CIVIL,[]
PRJ_056,crs,local_grid_origin_northing,Origen de malla local Norte,number,m,local grid,,,0.001,CONDITIONAL,BASIC_ENGINEERING,crs_epsg == local,,,Plant coordinate grid,C-COM-003,DRW-COM-002,false,LEAD_ENGINEER_CIVIL,[]
PRJ_057,crs,local_grid_rotation_deg,Rotación de malla local,number,degree,-180..180,-180,180,0.001,CONDITIONAL,BASIC_ENGINEERING,crs_epsg == local,,,Plant coordinate grid,C-COM-003,DRW-COM-002,false,LEAD_ENGINEER_CIVIL,[]
PRJ_060,topography,topo_survey_source,Fuente del levantamiento topográfico,string,-,file reference,,,,PROJECT_MANDATORY,FEASIBILITY,true,,,Topographic survey report,C-COM-003,DRW-COM-002,true,GEODESIST,[]
PRJ_061,topography,topo_survey_date,Fecha del levantamiento topográfico,date,YYYY-MM-DD,ISO8601,,,,PROJECT_MANDATORY,FEASIBILITY,true,,,Topographic survey report,-,DRW-COM-002,true,GEODESIST,[]
PRJ_062,topography,topo_survey_method,Método de levantamiento,enum,-,RTK_GNSS|TOTAL_STATION|LIDAR_AERIAL|PHOTOGRAMMETRY|LIDAR_TERRESTRIAL,RTK_GNSS,LIDAR_AERIAL,,PROJECT_MANDATORY,FEASIBILITY,true,,,Topographic survey report,-,DRW-COM-002,true,GEODESIST,[]
PRJ_063,topography,topo_density_points_per_m2,Densidad de puntos topográficos,number,pt/m2,-,0.1,50,0.1,CONDITIONAL,BASIC_ENGINEERING,"topo_survey_method in [LIDAR_AERIAL, PHOTOGRAMMETRY]",,,Topographic survey report,C-COM-003,DRW-COM-002,false,GEODESIST,[]
PRJ_064,topography,topo_vertical_accuracy_mm,Precisión vertical del levantamiento,number,mm,-,5,500,1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,,Topographic survey report,C-COM-003,DRW-COM-002,true,GEODESIST,[]
PRJ_065,topography,topo_horizontal_accuracy_mm,Precisión horizontal del levantamiento,number,mm,-,5,500,1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,,Topographic survey report,C-COM-003,DRW-COM-002,true,GEODESIST,[]
PRJ_066,topography,max_slope_pct,Pendiente máxima del terreno,number,percent,-,0,100,0.1,DERIVABLE,FEASIBILITY,true,,,Computed from DEM,C-COM-002,DRW-COM-002,false,CIVIL_ENGINEER,[]
PRJ_067,topography,min_slope_pct,Pendiente mínima del terreno,number,percent,-,0,100,0.1,DERIVABLE,FEASIBILITY,true,,,Computed from DEM,C-COM-002,DRW-COM-002,false,CIVIL_ENGINEER,[]
PRJ_070,boundaries,boundary_polygon_wkt,Polígono de límite del proyecto en WKT,string,-,WKT POLYGON,,,,PROJECT_MANDATORY,FEASIBILITY,true,,,Land tenure plan,C-COM-002;C-COM-003,DRW-COM-002,true,GEODESIST,[]
PRJ_071,boundaries,boundary_area_m2,Área total del terreno,number,m2,-,100,1000000000.0,0.01,PROJECT_MANDATORY,FEASIBILITY,true,,,Land tenure plan,C-COM-002;C-COM-003,DRW-COM-002,true,GEODESIST,[]
PRJ_072,boundaries,usable_area_m2,Área útil disponible,number,m2,-,10,1000000000.0,0.01,PROJECT_MANDATORY,FEASIBILITY,true,,,Boundary drawing,C-COM-002,DRW-COM-002,true,CIVIL_ENGINEER,[]
