field_id,language,synonyms,abbreviations,expected_units,document_types,section_names,table_header_patterns,regex_candidates,positive_context,negative_context,normalization_rule,plausibility_rule,requires_ocr,requires_vision,requires_llm,human_review_condition
PVG-001,es,latitud,LAT,degrees,topographic_survey|site_report,site_location|coordinates,LATITUDE|LAT,lat\s*=\s*([-+]\d+\.\d+),site location|GPS,north|south,keep 6 decimals,"in [-90,90]",False,False,True,
PVG-002,es,longitud,LON,degrees,topographic_survey|site_report,site_location|coordinates,LONGITUDE|LON,lon\s*=\s*([-+]\d+\.\d+),site location|GPS,east|west,keep 6 decimals,"in [-180,180]",False,False,True,
PVG-003,es,elevación|altura,ELEV|MSL,m,topographic_survey,elevation|altitude,ELEVATION|ALT,elev\s*=\s*(\d+\.?\d*),above sea level,depth,keep meters,"in [0,6000]",False,False,True,
PVG-004,es,zona horaria|desfase horario,UTC|UTC_OFFSET,h,interconnection_study|site_report,timezone|time,UTC OFFSET|UTC_OFFSET,UTC\s*[-+]?\s*(\d+),timezone|UTC,EST|PST,convert to hours,"in [-12,14]",False,False,False,
PVG-005,es,área del sitio,AREA,m2,site_plan|property_deed,site|area|extent,AREA|PARCEL,area\s*=\s*(\d+\.?\d*),total site,excluded area,sum sub-areas,"in [1000,1e8]",False,True,False,
PVG-006,es,pendiente del terreno,SLOPE,%,topographic_survey,terrain|slope,SLOPE|PENDIENTE,slope\s*=\s*(\d+\.?\d*)\s*%,slope,flat,compute mean,"in [0,30]",False,False,True,
PVG-007,es,capacidad portante|capacidad admisible,BC|QBearing,kPa,geotechnical_report,soil_capacity|bearing,BEARING CAPACITY|q_adm,(\d+)\s*kPa,bearing,-,keep kPa,"in [50,1000]",True,True,True,if site has heterogeneous soil layers
PVG-008,es,agresividad del suelo|corrosión,CORR_CLASS,-,geotechnical_report|corrosion_study,soil_corrosion|aggressiveness,AGGRESSIVENESS CLASS,C[1-5]_\w+,corrosion,benign,map to ISO 9223,in {C1..C5},True,True,True,
PVG-009,es,offset a cerca|retiro,OFFSET,m,site_plan|property_deed,setback|fence_offset,FENCE OFFSET|RETIRO,offset\s*=\s*(\d+\.?\d*),setback,inside,keep meters,"in [0,20]",False,False,False,
PVG-010,es,ancho de camino,ROAD_WIDTH,m,site_plan|design_report,road|access,ROAD WIDTH,(\d+\.?\d*)\s*m\s*wide,access road,path,keep meters,"in [3.5,8]",False,False,False,
PVG-011,es,irradiancia global horizontal,GHI,kWh/m2,solar_resource_report|tmy,annual_resource,GHI ANNUAL,GHI\s*=\s*(\d+\.?\d*)\s*kWh,annual GHI,hourly GHI,sum hourly,"in [800,2600]",False,False,True,"if value out of [800,2600]"
PVG-012,es,irradiancia directa normal,DNI,kWh/m2,solar_resource_report|tmy,annual_resource,DNI ANNUAL,DNI\s*=\s*(\d+\.?\d*)\s*kWh,annual DNI,hourly DNI,sum hourly,"in [400,3000]",False,False,True,
PVG-013,es,irradiancia difusa horizontal,DHI,kWh/m2,solar_resource_report|tmy,annual_resource,DHI ANNUAL,DHI\s*=\s*(\d+\.?\d*)\s*kWh,annual DHI,hourly DHI,sum hourly,"in [200,1200]",False,False,True,
PVG-014,es,temperatura ambiente media,T_AMB,°C,solar_resource_report|tmy,climate,TEMP AMBIENT,T_amb\s*=\s*(-?\d+\.?\d*),ambient,module temp,convert to C,"in [-40,55]",False,False,True,
PVG-015,es,temperatura ambiente mínima,T_MIN,°C,tmy|historical_weather,extreme_temperature,T MIN,T_min\s*=\s*(-?\d+\.?\d*),extreme min,extreme max,convert to C,"in [-60,30]",False,False,True,
PVG-016,es,temperatura ambiente máxima,T_MAX,°C,tmy|historical_weather,extreme_temperature,T MAX,T_max\s*=\s*(-?\d+\.?\d*),extreme max,extreme min,convert to C,"in [10,60]",False,False,True,
PVG-017,es,velocidad de viento,WIND_SPEED,m/s,tmy|meteorological_report,wind,WIND SPEED,v_wind\s*=\s*(\d+\.?\d*),wind,still,keep m/s,"in [0,15]",False,False,True,
PVG-018,es,albedo,ALBEDO,-,tmy|satellite_data,surface,ALBEDO,albedo\s*=\s*(0\.?\d*),albedo,emissivity,keep fraction,"in [0,1]",False,False,False,
PVG-019,es,pérdida por ensuciamiento|soiling,SOILING,%,design_report|soiling_study,losses,SOILING LOSS,soiling\s*=\s*(\d+\.?\d*)\s*%,soiling,clean,convert to fraction,"in [0,30]",False,False,True,
PVG-020,es,perfil de horizonte de sombras,HORIZON_PROFILE,-,horizon_survey,shading,HORIZON,JSON array,horizon,flat,parse JSON,valid angles,True,True,True,if no survey data available
PVG-021,es,carga de nieve,SNOW_LOAD,kN/m2,structural_report|climate,snow_load,SNOW LOAD,(\d+\.?\d*)\s*kN/m2,snow,warm climate,keep kN/m2,"in [0,5]",False,False,True,
PVG-022,es,categoría de exposición al viento,WIND_EXP,-,structural_report|asce7,wind,EXPOSURE CATEGORY,B|C|D,exposure,-,map letter,"in {B,C,D}",False,False,True,
PVG-023,es,tensión en punto de conexión,POC_VOLTAGE,kV,interconnection_study|ppa,grid|poc,POC VOLTAGE,(\d+\.?\d*)\s*kV,POC voltage,distribution voltage,convert to kV,"in [0.22,500]",False,False,True,
PVG-024,es,frecuencia de la red,GRID_FREQ,Hz,interconnection_study,grid|frequency,FREQUENCY,(\d+\.?\d*)\s*Hz,50 Hz or 60 Hz,-,keep Hz,"in {50,60}",False,False,False,
PVG-025,es,potencia de cortocircuito en el POC,SHORT_CIRCUIT,MVA,interconnection_study,grid|short_circuit,SHORT CIRCUIT CAPACITY,(\d+\.?\d*)\s*MVA,SCC,-,convert to MVA,"in [1,10000]",False,False,True,
PVG-026,es,short circuit ratio,SCR,-,interconnection_study,grid|scr,SCR,(\d+\.?\d*),SCR,-,keep ratio,"in [1,100]",False,False,True,
PVG-027,es,relación X/R de la red,X_R,-,interconnection_study,grid|x_r,X/R RATIO,X/R\s*=\s*(\d+\.?\d*),X/R,-,keep ratio,"in [1,30]",False,False,True,
PVG-028,es,límite de distorsión armónica,THD_LIMIT,%,grid_code|interconnection_study,grid|harmonics,THD LIMIT,(\d+\.?\d*)\s*%,THD limit,-,convert to fraction,"in [1,8]",False,False,True,
PVG-029,es,protección anti-isla requerida,ANTI_ISLANDING,-,interconnection_study|ppa,grid|protection,ANTI ISLANDING,true|false,required,not required,convert to bool,boolean,False,False,False,
PVG-030,es,banda de potencia reactiva,REACTIVE_RANGE,%,interconnection_study|ppa,grid|reactive,REACTIVE RANGE,"\[(-?\d+),\s*(-?\d+)\]",reactive range,-,parse JSON array,"in [-50,50]",False,False,True,
PVG-031,es,tecnología del módulo,MODULE_TECH,-,module_datasheet,module|technology,TECHNOLOGY,MONOCRYSTALLINE|POLYCRYSTALLINE|THIN_FILM|HETEROJUNCTION,mono-Si|poly-Si|CIGS|CdTe|HJT,film type,keep enum,in enum,False,True,True,
PVG-032,es,potencia pico del módulo,P_STC|P_MAX,Wp,module_datasheet,electrical,RATED POWER,(\d+\.?\d*)\s*Wp,STC power,-,convert to Wp,"in [100,700]",False,True,True,
PVG-033,es,tensión Vmp,V_MP,V,module_datasheet,electrical,VMP,V_mp\s*=\s*(\d+\.?\d*)\s*V,MPP voltage,open circuit,keep V,"in [15,90]",False,True,True,
PVG-034,es,corriente Imp,I_MP,A,module_datasheet,electrical,IMP,I_mp\s*=\s*(\d+\.?\d*)\s*A,MPP current,short circuit,keep A,"in [3,25]",False,True,True,
PVG-035,es,tensión Voc,V_OC,V,module_datasheet,electrical,VOC,V_oc\s*=\s*(\d+\.?\d*)\s*V,open circuit,MPP,keep V,"in [20,100]",False,True,True,
PVG-036,es,corriente Isc,I_SC,A,module_datasheet,electrical,ISC,I_sc\s*=\s*(\d+\.?\d*)\s*A,short circuit,MPP,keep A,"in [3,25]",False,True,True,
PVG-037,es,coeficiente de temperatura de Voc,BETA_VOC,V/°C,module_datasheet,electrical,BETA VOC,-?\d+\.?\d*\s*V/°C,temp coefficient,-,keep V/°C,"in [-0.5,-0.01]",False,True,True,if sign mismatch
PVG-038,es,coeficiente de temperatura de Pmax,GAMMA_PMP,%/°C,module_datasheet,electrical,GAMMA PMP,-?\d+\.?\d*\s*%/°C,temp coefficient,-,convert to fraction,"in [-0.6,-0.1]",False,True,True,if sign mismatch
PVG-039,es,coeficiente de temperatura de Isc,ALPHA_ISC,A/°C,module_datasheet,electrical,ALPHA ISC,\d+\.?\d*\s*A/°C,temp coefficient,-,keep A/°C,"in [0,0.05]",False,True,True,
PVG-040,es,longitud del módulo,LENGTH,mm,module_datasheet,mechanical|dimensions,LENGTH,(\d+\.?\d*)\s*mm,module length,-,convert to mm,"in [1000,2500]",False,True,True,
PVG-041,es,ancho del módulo,WIDTH,mm,module_datasheet,mechanical|dimensions,WIDTH,(\d+\.?\d*)\s*mm,module width,-,convert to mm,"in [500,1500]",False,True,True,
PVG-042,es,área del módulo,AREA,m2,module_datasheet,mechanical,AREA,(\d+\.?\d*)\s*m2,module area,-,compute from L*W,"in [0.5,3]",False,False,False,
PVG-043,es,masa del módulo,WEIGHT,kg,module_datasheet,mechanical,WEIGHT,(\d+\.?\d*)\s*kg,module weight,-,keep kg,"in [10,40]",False,True,True,
PVG-044,es,factor de bifacialidad,BIFACIALITY,-,module_datasheet,bifacial,BIFACIALITY,bifaciality\s*=\s*(\d+\.?\d*),bifacial,mono,keep fraction,"in [0,1]",False,True,True,
PVG-045,es,coeficientes IAM,IAM_COEFS,-,module_datasheet|iam_report,iam|angular,IAM COEFFICIENTS,b0\s*=\s*(\d+\.?\d*),IAM coefficients,-,parse array,b0..b5 valid,True,True,True,
PVG-046,es,número de diodos de bypass,BYPASS_DIODES,-,module_datasheet,electrical,BYPASS DIODES,(\d+)\s*diodes,bypass diodes,-,parse int,"in [1,6]",False,True,True,
PVG-047,es,módulos por string,MODULES_PER_STRING,-,design_report,string,MODULES PER STRING,(\d+)\s*modules,string sizing,-,parse int,"in [8,40]",False,False,True,
PVG-048,es,strings por MPPT,STRINGS_PER_MPPT,-,design_report,string|mppt,STRINGS PER MPPT,(\d+)\s*strings,MPPT config,-,parse int,"in [1,200]",False,False,True,
PVG-049,es,strings paralelos por inversor,PARALLEL_STRINGS_INV,-,design_report,inverter,PARALLEL STRINGS,(\d+)\s*strings,parallel,-,parse int,"in [1,500]",False,False,True,
