field_id,language,synonyms,abbreviations,expected_units,document_types,section_names,table_header_patterns,regex_candidates,positive_context,negative_context,normalization_rule,plausibility_rule,requires_ocr,requires_vision,requires_llm,human_review_condition
PVR-001,es;en,tipo de cubierta,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,tipo_de_cubierta,,"tipo_de_cubierta;Incluir tipo de panel sándwich, espesor, calibre del metal deck; fotos de cubierta",not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
PVR-002,es;en,pendiente cubierta grados,,deg,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,pendiente_cubierta_grados,regex:([0-9]+\.?[0-9]*)\s*deg,pendiente_cubierta_grados;Verificar pendiente real vs nominal; influye en cargas de viento y nieve,not applicable;assumed;estimated,value in valid range,value between 0 and 60,false,false,false,review if outlier
PVR-003,es;en,orientacion cubierta azimut grados,,deg,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,orientacion_cubierta_azimut_grados,regex:([0-9]+\.?[0-9]*)\s*deg,orientacion_cubierta_azimut_grados;Sur=0; Este=-90; Oeste=+90; Norte=180; influencia directa en producción,not applicable;assumed;estimated,value in valid range,value between -180 and 180,false,false,false,review if outlier
PVR-004,es;en,area disponible cubierta m2,,m2,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,area_disponible_cubierta_m2,regex:([0-9]+\.?[0-9]*)\s*m2,area_disponible_cubierta_m2;No confundir con área bruta; aplicar setbacks IFC 605.5,not applicable;assumed;estimated,value in valid range,value between 5 and 500000,false,false,false,review if outlier
PVR-005,es;en,parapeto altura m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,parapeto_altura_m,regex:([0-9]+\.?[0-9]*)\s*m,parapeto_altura_m;Influencia en sombreado y en rebosadero de drenaje,not applicable;assumed;estimated,value in valid range,value between 0 and 3,false,false,false,review if outlier
PVR-006,es;en,drip edge presente,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,drip_edge_presente,,drip_edge_presente;Necesario para evitar infiltración tras perforaciones cerca del borde,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
PVR-007,es;en,cantidad claraboyas,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,cantidad_claraboyas,,cantidad_claraboyas;Genera buffer de exclusión de 1.0 m alrededor de cada claraboya,not applicable;assumed;estimated,value in valid range,value between 0 and 500,false,false,false,review if outlier
PVR-008,es;en,cantidad ductos ventilacion,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,cantidad_ductos_ventilacion,,cantidad_ductos_ventilacion;Buffer de exclusión 0.5 m por ducto,not applicable;assumed;estimated,value in valid range,value between 0 and 1000,false,false,false,review if outlier
PVR-009,es;en,cantidad escotillas acceso,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,cantidad_escotillas_acceso,,cantidad_escotillas_acceso;Conservar corredor libre 1.2 m frente a escotilla,not applicable;assumed;estimated,value in valid range,value between 0 and 20,false,false,false,review if outlier
PVR-010,es;en,carga muerta existente kN m2,,kN/m2,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,carga_muerta_existente_kN_m2,regex:([0-9]+\.?[0-9]*)\s*kN/m2,"carga_muerta_existente_kN_m2;Sin memoria, requiere peritaje; nunca asumir 0.0",not applicable;assumed;estimated,value in valid range,value between 0.05 and 5,false,false,false,review if outlier
