drawing_id,technology,discipline,title_es,purpose,applicability_expression,minimum_project_stage,required_field_ids,required_calculation_ids,required_geometry_rule_ids,required_views,required_tables,required_symbol_ids,preferred_sheet_formats,preferred_scales,required_layers,mandatory_annotations,cross_references,qa_rule_ids,release_blockers,source_ids
WON-DRW-001,WIND_ONSHORE,GEN,Plano de localización del parque eólico,Plan,always,FEASIBILITY,WON-001,WON-CALC-008,WON-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WON-QA-001,AFC stamp required,ISO_5457;ISO_19111;NREL_TP_5000_87434
WON-DRW-002,WIND_ONSHORE,GEN,Plano de implantación del parque eólico,Plan,always,FEASIBILITY,WON-001,WON-CALC-005;WON-CALC-008;WON-CALC-009,WON-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WON-QA-001,AFC stamp required,ISO_5457;IEC_61400_15_1;ISO_19111
WON-DRW-003,WIND_ONSHORE,GEN,Plano de micrositing de turbinas,Plan,always,BASIC_ENGINEERING,WON-001,WON-CALC-008;WON-CALC-009;WON-CALC-011,WON-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WON-QA-001,AFC stamp required,ISO_5457;IEC_61400_15_1;NREL_TP_5000_87434
WON-DRW-004,WIND_ONSHORE,GEN,Planta de caminos de acceso,Plan,always,BASIC_ENGINEERING,WON-001,WON-CALC-026;WON-CALC-027,WON-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WON-QA-001,AFC stamp required,ISO_5457;RNE_DS_011_2006;NREL_TP_5000_87434
WON-DRW-005,WIND_ONSHORE,GEN,Perfiles longitudinales de caminos de acceso,Plan,always,BASIC_ENGINEERING,WON-001,WON-CALC-026,WON-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WON-QA-001,AFC stamp required,ISO_5457;RNE_DS_011_2006
WON-DRW-006,WIND_ONSHORE,GEN,Planta de cimentaciones de turbina,Plan,always,BASIC_ENGINEERING,WON-001,WON-CALC-018;WON-CALC-019;WON-CALC-021,WON-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WON-QA-001,AFC stamp required,ISO_5457;IEC_61400_6;ISO_14685
WON-DRW-007,WIND_ONSHORE,GEN,Cortes de cimentación de turbina,Plan,always,BASIC_ENGINEERING,WON-001,WON-CALC-018;WON-CALC-019,WON-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WON-QA-001,AFC stamp required,ISO_5457;IEC_61400_6;ISO_14685;RNE_DS_011_2006
WON-DRW-008,WIND_ONSHORE,GEN,Distribución de hardstands y crane pads,Plan,always,BASIC_ENGINEERING,WON-001,WON-CALC-025,WON-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WON-QA-001,AFC stamp required,ISO_5457;ISO_14685;NREL_TP_5000_87434
WON-DRW-009,WIND_ONSHORE,GEN,Planta de zanja de colector eléctrico,Plan,always,BASIC_ENGINEERING,WON-001,WON-CALC-028;WON-CALC-029,WON-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WON-QA-001,AFC stamp required,ISO_5457;IEEE_1547_2018;RNE_DS_011_2006
WON-DRW-010,WIND_ONSHORE,GEN,Ruta de cables colectores MV,Plan,always,BASIC_ENGINEERING,WON-001,WON-CALC-028;WON-CALC-029;WON-CALC-012,WON-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WON-QA-001,AFC stamp required,ISO_5457;IEEE_1547_2018;IEC_61400_21_1
WON-DRW-011,WIND_ONSHORE,GEN,Diagrama unilineal de subestación (SLD),Plan,always,BASIC_ENGINEERING,WON-001,WON-CALC-028;WON-CALC-031;WON-CALC-012,WON-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WON-QA-001,AFC stamp required,ISO_5457;IEEE_1547_2018;OSINERGMIN_PR_17
WON-DRW-012,WIND_ONSHORE,GEN,Planta general de subestación,Plan,always,BASIC_ENGINEERING,WON-001,WON-CALC-025;WON-CALC-031,WON-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WON-QA-001,AFC stamp required,ISO_5457;RNE_DS_011_2006;IEEE_1547_2018
WON-DRW-013,WIND_ONSHORE,GEN,Mapa de isófonas (contornos de ruido),Plan,always,BASIC_ENGINEERING,WON-001,WON-CALC-017,WON-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WON-QA-001,AFC stamp required,ISO_5457;IEC_61400_11;MINAM_DS_019_2009
WON-DRW-014,WIND_ONSHORE,GEN,Mapa de shadow flicker en receptores,Plan,always,BASIC_ENGINEERING,WON-001,WON-CALC-016,WON-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WON-QA-001,AFC stamp required,ISO_5457;MINAM_DS_019_2009;NREL_TP_5000_87434
WON-DRW-015,WIND_ONSHORE,GEN,Arquitectura de control y SCADA,Plan,always,BASIC_ENGINEERING,WON-001,WON-CALC-013;WON-CALC-024,WON-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WON-QA-001,AFC stamp required,ISO_5457;IEC_61400_25;IEC_61400_27_1
WON-DRW-016,WIND_ONSHORE,GEN,Plano de luces de aviación,Plan,always,BASIC_ENGINEERING,WON-001,WON-CALC-021;WON-CALC-032,WON-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WON-QA-001,AFC stamp required,ISO_5457;IEC_61400_1;IEEE_C2_2023
