field_id,category,name_es,description,data_type,unit,allowed_values,min_value,max_value,precision,requirement_class,required_from_stage,conditional_expression,prohibited_default,expected_source_document,extraction_hints,used_by_calculation_ids,used_by_drawing_ids,blocking_if_missing,review_role,source_ids
HYD-001,site_general,project_site_name,Denominacion del proyecto hidroelectrico,string,-,free text,,,,PROJECT_MANDATORY,PRE_FEASIBILITY,true,,Project charter,Site passport,HYD-C-001;HYD-C-026,HYD-DRW-002,true,PROJECT_MANAGER,ICOLD_Bull_120
HYD-002,site_general,site_centroid_lat_deg,Latitud geodesica del centro de obra (WGS84),float,deg,"[-90,90]",-90,90,6,PROJECT_MANDATORY,PRE_FEASIBILITY,true,PROHIBITED_TO_ASSUME,Geodetic survey report,Decimal degree 6 dec; WGS84,HYD-C-001;HYD-C-026,HYD-DRW-001;HYD-DRW-002,true,GEODESIST,ISO_19111;ICOLD_Bull_120
HYD-003,site_general,site_centroid_lon_deg,Longitud geodesica del centro de obra (WGS84),float,deg,"[-180,180]",-180,180,6,PROJECT_MANDATORY,PRE_FEASIBILITY,true,PROHIBITED_TO_ASSUME,Geodetic survey report,Decimal degree 6 dec; WGS84,HYD-C-001;HYD-C-026,HYD-DRW-001;HYD-DRW-002,true,GEODESIST,ISO_19111;ICOLD_Bull_120
HYD-004,site_general,project_boundary_polygon_wkt,Poligono WKT del area concesionada de la central,string,-,WKT POLYGON,,,,PROJECT_MANDATORY,FEASIBILITY,true,,Concession map,WKT polygon,HYD-C-001,HYD-DRW-002,true,GEODESIST,ISO_19111;MINAM_DS_019_2009
HYD-005,site_general,plant_classification,"Clase de central segun potencia instalada (micro<100kW, mini 100-1000 kW, pequena 1-10 MW, media 10-100 MW)",enum,-,MICRO;MINI;PEQUENA;MEDIA,,,,PROJECT_MANDATORY,PRE_FEASIBILITY,true,PROHIBITED_TO_ASSUME,Concession resolution,MICRO/MINI/PEQUENA/MEDIA,HYD-C-001;HYD-C-018,HYD-DRW-002,true,PROJECT_MANAGER,ICOLD_Bull_120;MINAM_DS_019_2009
HYD-006,site_general,nominal_installed_capacity_kW,Potencia instalada nominal de la central,float,kW,-,1,500000,1,PROJECT_MANDATORY,PRE_FEASIBILITY,true,PROHIBITED_TO_ASSUME,Generation concession,Nameplate,HYD-C-018;HYD-C-026,HYD-DRW-002;HYD-DRW-011,true,PROJECT_MANAGER,ICOLD_Bull_120;COES_Proyectos_Conexion
HYD-010,hydrology,catchment_area_km2,Area de la cuenca hidrografica aguas arriba de la bocatoma,float,km2,-,0.01,100000,0.01,PROJECT_MANDATORY,PRE_FEASIBILITY,true,PROHIBITED_TO_ASSUME,Hydrological study report,Topographic watershed delineation,HYD-C-001;HYD-C-002;HYD-C-003,HYD-DRW-001,true,HYDROLOGIST,ISO_19111;ICOLD_Bull_60
HYD-011,hydrology,mean_annual_rainfall_mm,Precipitacion media anual en la cuenca,float,mm,-,0,10000,0.1,PROJECT_MANDATORY,PRE_FEASIBILITY,true,,Hydrometeorological study,SENAMHI data,HYD-C-001;HYD-C-004,HYD-DRW-001,true,HYDROLOGIST,ICOLD_Bull_60
HYD-012,hydrology,mean_annual_runoff_mm,Escorrentia media anual de la cuenca,float,mm,-,0,8000,0.1,PROJECT_MANDATORY,FEASIBILITY,true,,Hydrological balance,Water balance,HYD-C-001;HYD-C-004,HYD-DRW-001,true,HYDROLOGIST,ICOLD_Bull_60
HYD-013,hydrology,mean_flow_m3s,Caudal medio interanual en el sitio de captacion,float,m3/s,-,0,50000,0.001,PROJECT_MANDATORY,FEASIBILITY,true,PROHIBITED_TO_ASSUME,Hydrological study,Qmean,HYD-C-004;HYD-C-005;HYD-C-018,HYD-DRW-001;HYD-DRW-005,true,HYDROLOGIST,ICOLD_Bull_60;ISO_14685
HYD-014,hydrology,flow_Q50_m3s,Caudal con 50% de persistencia (mediano),float,m3/s,-,0,50000,0.001,PROJECT_MANDATORY,FEASIBILITY,true,,Flow duration curve,Q50,HYD-C-005,HYD-DRW-005,true,HYDROLOGIST,ICOLD_Bull_60
HYD-015,hydrology,flow_Q95_m3s,Caudal con 95% de persistencia (estiaje),float,m3/s,-,0,50000,0.001,PROJECT_MANDATORY,FEASIBILITY,true,,Flow duration curve,Q95,HYD-C-005;HYD-C-006,HYD-DRW-005,true,HYDROLOGIST,ICOLD_Bull_60
HYD-016,hydrology,flow_duration_curve_table,Tabla de curva de duracion de caudales (pares % persistencia vs caudal m3/s),string,-,"CSV pares p%,Q",,,,PROJECT_MANDATORY,FEASIBILITY,true,PROHIBITED_TO_ASSUME,Hydrological study,"p,Q pairs",HYD-C-005;HYD-C-006,HYD-DRW-005,true,HYDROLOGIST,ICOLD_Bull_60
HYD-017,hydrology,ecological_flow_m3s,Caudal ecologico de liberacion obligatoria (ANA),float,m3/s,-,0,5000,0.001,PROJECT_MANDATORY,FEASIBILITY,true,PROHIBITED_TO_ASSUME,ANA resolution,Tennant/Q90 depending on authority,HYD-C-006,HYD-DRW-001;HYD-DRW-003,true,ENVIRONMENTAL_ENGINEER,MINAM_DS_019_2009;ICOLD_Bull_60
