field_id,language,synonyms,abbreviations,expected_units,document_types,section_names,table_header_patterns,regex_candidates,positive_context,negative_context,normalization_rule,plausibility_rule,requires_ocr,requires_vision,requires_llm,human_review_condition
MAR-001,es,site latitude deg,LAT,deg,topographic_survey|site_report|project_charter,site,site_latitude_deg,[-+]?\d*\.?\d+,site_latitude_deg; site; deg,draft;tentative;preliminary;not verified,normalize to deg,"value in [-90, 90]",False,False,True,"check value in [-90, 90]; cross-check with MAR-C-024;MAR-C-026"
MAR-002,es,site longitude deg,LON,deg,topographic_survey|site_report|project_charter,site,site_longitude_deg,[-+]?\d*\.?\d+,site_longitude_deg; site; deg,draft;tentative;preliminary;not verified,normalize to deg,"value in [-180, 180]",False,False,True,"check value in [-180, 180]; cross-check with MAR-C-024;MAR-C-026"
MAR-003,es,site area km2,,km2,topographic_survey|site_report|project_charter,site,site_area_km2,[-+]?\d*\.?\d+,site_area_km2; site; km2,draft;tentative;preliminary;not verified,normalize to km2,"value in [0.1, 1000]",False,False,True,"check value in [0.1, 1000]; cross-check with MAR-C-025;MAR-C-026"
MAR-004,es,timezone utc offset,,h,topographic_survey|site_report|project_charter,site,timezone_utc_offset,[-+]?\d*\.?\d+,timezone_utc_offset; site; h,draft;tentative;preliminary;not verified,normalize to h,"value in [-12, 14]",False,False,True,"check value in [-12, 14]; cross-check with MAR-C-024;MAR-C-028"
MAR-005,es,distance to shore km,,km,topographic_survey|site_report|project_charter,site,distance_to_shore_km,[-+]?\d*\.?\d+,distance_to_shore_km; site; km,draft;tentative;preliminary;not verified,normalize to km,"value in [0.1, 200]",False,False,True,"check value in [0.1, 200]; cross-check with MAR-C-025;MAR-C-028"
MAR-006,es,water depth at site m LAT,WD,m_LAT,topographic_survey|site_report|project_charter,site,water_depth_at_site_m_LAT,[-+]?\d*\.?\d+,water_depth_at_site_m_LAT; site; m_LAT,draft;tentative;preliminary;not verified,normalize to m_LAT,"value in [1, 1500]",False,False,True,"check value in [1, 1500]; cross-check with MAR-C-001;MAR-C-004;MAR-C-014;MAR-C-022"
MAR-007,es,bathymetry grid WKT,,WKT,bathymetry_survey|geophysical_survey,bathymetry,bathymetry_grid_WKT,,bathymetry_grid_WKT; bathymetry; WKT,draft;tentative;preliminary;not verified,normalize to WKT,"value in [, ]",False,True,True,"check value in [, ]; cross-check with MAR-C-014;MAR-C-024;MAR-C-026"
MAR-008,es,seabed slope pct,,%,bathymetry_survey|geophysical_survey,bathymetry,seabed_slope_pct,[-+]?\d*\.?\d+,seabed_slope_pct; bathymetry; %,draft;tentative;preliminary;not verified,normalize to %,"value in [0, 45]",False,False,True,"check value in [0, 45]; cross-check with MAR-C-014;MAR-C-022"
MAR-009,es,seabed soil type,,n/a,bathymetry_survey|geophysical_survey,bathymetry,seabed_soil_type,\\b(sand|clay|silt|rock|gravel|coral)\\b,seabed_soil_type; bathymetry; -,draft;tentative;preliminary;not verified,n/a,"value in [, ]",False,True,True,"check value in [, ]; cross-check with MAR-C-008;MAR-C-009;MAR-C-014"
MAR-010,es,seabed friction angle deg,,deg,bathymetry_survey|geophysical_survey,bathymetry,seabed_friction_angle_deg,[-+]?\d*\.?\d+,seabed_friction_angle_deg; bathymetry; deg,draft;tentative;preliminary;not verified,normalize to deg,"value in [0, 50]",False,False,True,"check value in [0, 50]; cross-check with MAR-C-008;MAR-C-009;MAR-C-014"
