"field_id","language","synonyms","abbreviations","expected_units","document_types","section_names","table_header_patterns","regex_candidates","positive_context","negative_context","normalization_rule","plausibility_rule","requires_ocr","requires_vision","requires_llm","human_review_condition"
"BESS-001","es","Nombre del proyecto BESS|Nombre_del_proyecto_BESS","BESS-001","","datasheet;memoria;certificado;contrato","project;general","Nombre del proyecto BESS","(?i)Nombre\ del\ proyecto\ BESS","project;Nombre del proyecto BESS","no Nombre del proyecto BESS","normalize_string_0","min= max= unit=","YES","NO","YES","value_outside_plausibility OR source_not_listed"
"BESS-002","es","Latitud del sitio|Latitud_del_sitio","BESS-002","deg","datasheet;memoria;certificado;contrato","project;general","Latitud del sitio","(?i)Latitud\ del\ sitio","project;Latitud del sitio","no Latitud del sitio","normalize_float_6","min=-90.0 max=90.0 unit=deg","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-003","es","Longitud del sitio|Longitud_del_sitio","BESS-003","deg","datasheet;memoria;certificado;contrato","project;general","Longitud del sitio","(?i)Longitud\ del\ sitio","project;Longitud del sitio","no Longitud del sitio","normalize_float_6","min=-180.0 max=180.0 unit=deg","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-004","es","Tipo de instalacion (interior/exterior)|Tipo_de_instalacion_(interior/exterior)","BESS-004","","datasheet;memoria;certificado;contrato","site;general","Tipo de instalacion (interior/exterior)","(?i)Tipo\ de\ instalacion\ \(interior/exterior\)","site;Tipo de instalacion (interior/exterior)","no Tipo de instalacion (interior/exterior)","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-005","es","Temperatura ambiente minima de diseno|Temperatura_ambiente_minima_de_diseno","BESS-005","degC","datasheet;memoria;certificado;contrato","site;general","Temperatura ambiente minima de diseno","(?i)Temperatura\ ambiente\ minima\ de\ diseno","site;Temperatura ambiente minima de diseno","no Temperatura ambiente minima de diseno","normalize_float_1","min=-50.0 max=55.0 unit=degC","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-006","es","Temperatura ambiente maxima de diseno|Temperatura_ambiente_maxima_de_diseno","BESS-006","degC","datasheet;memoria;certificado;contrato","site;general","Temperatura ambiente maxima de diseno","(?i)Temperatura\ ambiente\ maxima\ de\ diseno","site;Temperatura ambiente maxima de diseno","no Temperatura ambiente maxima de diseno","normalize_float_1","min=-50.0 max=55.0 unit=degC","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-007","es","Quimica de celda|Quimica_de_celda","BESS-007","","datasheet;memoria;certificado;contrato","cell;general","Quimica de celda","(?i)Quimica\ de\ celda","cell;Quimica de celda","no Quimica de celda","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-008","es","Capacidad nominal de celda (Ah)|Capacidad_nominal_de_celda_(Ah)","BESS-008","Ah","datasheet;memoria;certificado;contrato","cell;general","Capacidad nominal de celda (Ah)","(?i)Capacidad\ nominal\ de\ celda\ \(Ah\)","cell;Capacidad nominal de celda (Ah)","no Capacidad nominal de celda (Ah)","normalize_float_2","min=1.0 max=1000.0 unit=Ah","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-009","es","Tension nominal de celda|Tension_nominal_de_celda","BESS-009","V","datasheet;memoria;certificado;contrato","cell;general","Tension nominal de celda","(?i)Tension\ nominal\ de\ celda","cell;Tension nominal de celda","no Tension nominal de celda","normalize_float_3","min=2.0 max=5.0 unit=V","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-010","es","Tension maxima de celda (Vmax)|Tension_maxima_de_celda_(Vmax)","BESS-010","V","datasheet;memoria;certificado;contrato","cell;general","Tension maxima de celda (Vmax)","(?i)Tension\ maxima\ de\ celda\ \(Vmax\)","cell;Tension maxima de celda (Vmax)","no Tension maxima de celda (Vmax)","normalize_float_3","min=2.5 max=5.5 unit=V","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-011","es","Tension minima de celda (Vmin)|Tension_minima_de_celda_(Vmin)","BESS-011","V","datasheet;memoria;certificado;contrato","cell;general","Tension minima de celda (Vmin)","(?i)Tension\ minima\ de\ celda\ \(Vmin\)","cell;Tension minima de celda (Vmin)","no Tension minima de celda (Vmin)","normalize_float_3","min=1.5 max=4.0 unit=V","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-012","es","Resistencia interna DC de celda|Resistencia_interna_DC_de_celda","BESS-012","mOhm","datasheet;memoria;certificado;contrato","cell;general","Resistencia interna DC de celda","(?i)Resistencia\ interna\ DC\ de\ celda","cell;Resistencia interna DC de celda","no Resistencia interna DC de celda","normalize_float_3","min=0.1 max=50.0 unit=mOhm","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-013","es","Ancho de celda|Ancho_de_celda","BESS-013","mm","datasheet;memoria;certificado;contrato","cell;general","Ancho de celda","(?i)Ancho\ de\ celda","cell;Ancho de celda","no Ancho de celda","normalize_float_1","min=10.0 max=300.0 unit=mm","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-014","es","Alto de celda|Alto_de_celda","BESS-014","mm","datasheet;memoria;certificado;contrato","cell;general","Alto de celda","(?i)Alto\ de\ celda","cell;Alto de celda","no Alto de celda","normalize_float_1","min=20.0 max=1000.0 unit=mm","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-015","es","Profundidad de celda|Profundidad_de_celda","BESS-015","mm","datasheet;memoria;certificado;contrato","cell;general","Profundidad de celda","(?i)Profundidad\ de\ celda","cell;Profundidad de celda","no Profundidad de celda","normalize_float_1","min=5.0 max=200.0 unit=mm","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-016","es","Masa de celda|Masa_de_celda","BESS-016","kg","datasheet;memoria;certificado;contrato","cell;general","Masa de celda","(?i)Masa\ de\ celda","cell;Masa de celda","no Masa de celda","normalize_float_3","min=0.02 max=50.0 unit=kg","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-017","es","Tasa maxima de carga/descarga continua de celda|Tasa_maxima_de_carga/descarga_continua_de_celda","BESS-017","1/h","datasheet;memoria;certificado;contrato","cell;general","Tasa maxima de carga/descarga continua de celda","(?i)Tasa\ maxima\ de\ carga/descarga\ continua\ de\ celda","cell;Tasa maxima de carga/descarga continua de celda","no Tasa maxima de carga/descarga continua de celda","normalize_float_2","min=0.1 max=5.0 unit=1/h","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-018","es","Calor especifico de la celda|Calor_especifico_de_la_celda","BESS-018","J/kg/K","datasheet;memoria;certificado;contrato","cell;general","Calor especifico de la celda","(?i)Calor\ especifico\ de\ la\ celda","cell;Calor especifico de la celda","no Calor especifico de la celda","normalize_float_1","min=500.0 max=1500.0 unit=J/kg/K","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-019","es","Celdas por modulo (series y paralelas)|Celdas_por_modulo_(series_y_paralelas)","BESS-019","","datasheet;memoria;certificado;contrato","module;general","Celdas por modulo (series y paralelas)","(?i)Celdas\ por\ modulo\ \(series\ y\ paralelas\)","module;Celdas por modulo (series y paralelas)","no Celdas por modulo (series y paralelas)","normalize_string_0","min= max= unit=","YES","NO","YES","value_outside_plausibility OR source_not_listed"
"BESS-020","es","Tension nominal del modulo|Tension_nominal_del_modulo","BESS-020","V","datasheet;memoria;certificado;contrato","module;general","Tension nominal del modulo","(?i)Tension\ nominal\ del\ modulo","module;Tension nominal del modulo","no Tension nominal del modulo","normalize_float_1","min=12.0 max=200.0 unit=V","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-021","es","Capacidad energetica del modulo|Capacidad_energetica_del_modulo","BESS-021","kWh","datasheet;memoria;certificado;contrato","module;general","Capacidad energetica del modulo","(?i)Capacidad\ energetica\ del\ modulo","module;Capacidad energetica del modulo","no Capacidad energetica del modulo","normalize_float_3","min=0.5 max=100.0 unit=kWh","NO","NO","NO","value_outside_plausibility OR source_not_listed"
