"field_id","language","synonyms","abbreviations","expected_units","document_types","section_names","table_header_patterns","regex_candidates","positive_context","negative_context","normalization_rule","plausibility_rule","requires_ocr","requires_vision","requires_llm","human_review_condition"
"MG-001","es","Nombre del proyecto microrred|Nombre_del_proyecto_microrred","MG-001","","datasheet;memoria;certificado;contrato;estudio","project;general","Nombre del proyecto microrred","(?i)Nombre\ del\ proyecto\ microrred","project;Nombre del proyecto microrred","no Nombre del proyecto microrred","normalize_string_0","min=0 max=0 unit=","YES","NO","YES","value_outside_plausibility OR source_not_listed"
"MG-002","es","Latitud del sitio|Latitud_del_sitio","MG-002","deg","datasheet;memoria;certificado;contrato;estudio","project;general","Latitud del sitio","(?i)Latitud\ del\ sitio","project;Latitud del sitio","no Latitud del sitio","normalize_float_6","min=-90.0 max=90.0 unit=deg","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-003","es","Longitud del sitio|Longitud_del_sitio","MG-003","deg","datasheet;memoria;certificado;contrato;estudio","project;general","Longitud del sitio","(?i)Longitud\ del\ sitio","project;Longitud del sitio","no Longitud del sitio","normalize_float_6","min=-180.0 max=180.0 unit=deg","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-004","es","Modo de operacion de la microrred|Modo_de_operacion_de_la_microrred","MG-004","","datasheet;memoria;certificado;contrato;estudio","site;general","Modo de operacion de la microrred","(?i)Modo\ de\ operacion\ de\ la\ microrred","site;Modo de operacion de la microrred","no Modo de operacion de la microrred","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-005","es","Carga sismica horizontal (PGA)|Carga_sismica_horizontal_(PGA)","MG-005","g","datasheet;memoria;certificado;contrato;estudio","site;general","Carga sismica horizontal (PGA)","(?i)Carga\ sismica\ horizontal\ \(PGA\)","site;Carga sismica horizontal (PGA)","no Carga sismica horizontal (PGA)","normalize_float_3","min=0.05 max=1.0 unit=g","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-006","es","Temperatura ambiente minima de diseno|Temperatura_ambiente_minima_de_diseno","MG-006","degC","datasheet;memoria;certificado;contrato;estudio","site;general","Temperatura ambiente minima de diseno","(?i)Temperatura\ ambiente\ minima\ de\ diseno","site;Temperatura ambiente minima de diseno","no Temperatura ambiente minima de diseno","normalize_float_1","min=-50.0 max=55.0 unit=degC","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-007","es","Temperatura ambiente maxima de diseno|Temperatura_ambiente_maxima_de_diseno","MG-007","degC","datasheet;memoria;certificado;contrato;estudio","site;general","Temperatura ambiente maxima de diseno","(?i)Temperatura\ ambiente\ maxima\ de\ diseno","site;Temperatura ambiente maxima de diseno","no Temperatura ambiente maxima de diseno","normalize_float_1","min=-50.0 max=55.0 unit=degC","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-008","es","Tipo de emplazamiento|Tipo_de_emplazamiento","MG-008","","datasheet;memoria;certificado;contrato;estudio","site;general","Tipo de emplazamiento","(?i)Tipo\ de\ emplazamiento","site;Tipo de emplazamiento","no Tipo de emplazamiento","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-009","es","Jurisdiccion del proyecto|Jurisdiccion_del_proyecto","MG-009","","datasheet;memoria;certificado;contrato;estudio","project;general","Jurisdiccion del proyecto","(?i)Jurisdiccion\ del\ proyecto","project;Jurisdiccion del proyecto","no Jurisdiccion del proyecto","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-010","es","Resistividad del suelo (ohm-m)|Resistividad_del_suelo_(ohm-m)","MG-010","ohm-m","datasheet;memoria;certificado;contrato;estudio","site;general","Resistividad del suelo (ohm-m)","(?i)Resistividad\ del\ suelo\ \(ohm\-m\)","site;Resistividad del suelo (ohm-m)","no Resistividad del suelo (ohm-m)","normalize_float_1","min=1.0 max=10000.0 unit=ohm-m","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-011","es","Irradiancia global horizontal (GHI)|Irradiancia_global_horizontal_(GHI)","MG-011","kWh/m2/day","datasheet;memoria;certificado;contrato;estudio","resource;general","Irradiancia global horizontal (GHI)","(?i)Irradiancia\ global\ horizontal\ \(GHI\)","resource;Irradiancia global horizontal (GHI)","no Irradiancia global horizontal (GHI)","normalize_float_2","min=1.0 max=8.0 unit=kWh/m2/day","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-012","es","Velocidad media de viento a altura de buje|Velocidad_media_de_viento_a_altura_de_buje","MG-012","m/s","datasheet;memoria;certificado;contrato;estudio","resource;general","Velocidad media de viento a altura de buje","(?i)Velocidad\ media\ de\ viento\ a\ altura\ de\ buje","resource;Velocidad media de viento a altura de buje","no Velocidad media de viento a altura de buje","normalize_float_2","min=2.0 max=12.0 unit=m/s","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-013","es","Caudal aprovechable hidro|Caudal_aprovechable_hidro","MG-013","m3/s","datasheet;memoria;certificado;contrato;estudio","resource;general","Caudal aprovechable hidro","(?i)Caudal\ aprovechable\ hidro","resource;Caudal aprovechable hidro","no Caudal aprovechable hidro","normalize_float_3","min=0.01 max=500.0 unit=m3/s","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-014","es","Salto neto hidro|Salto_neto_hidro","MG-014","m","datasheet;memoria;certificado;contrato;estudio","resource;general","Salto neto hidro","(?i)Salto\ neto\ hidro","resource;Salto neto hidro","no Salto neto hidro","normalize_float_2","min=2.0 max=1500.0 unit=m","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-015","es","Disponibilidad de biomasa|Disponibilidad_de_biomasa","MG-015","t/day","datasheet;memoria;certificado;contrato;estudio","resource;general","Disponibilidad de biomasa","(?i)Disponibilidad\ de\ biomasa","resource;Disponibilidad de biomasa","no Disponibilidad de biomasa","normalize_float_1","min=1.0 max=2000.0 unit=t/day","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-016","es","Poder calorifico inferior (PCI) biomasa|Poder_calorifico_inferior_(PCI)_biomasa","MG-016","MJ/kg","datasheet;memoria;certificado;contrato;estudio","resource;general","Poder calorifico inferior (PCI) biomasa","(?i)Poder\ calorifico\ inferior\ \(PCI\)\ biomasa","resource;Poder calorifico inferior (PCI) biomasa","no Poder calorifico inferior (PCI) biomasa","normalize_float_2","min=5.0 max=25.0 unit=MJ/kg","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-017","es","Produccion de biogas|Produccion_de_biogas","MG-017","m3/h","datasheet;memoria;certificado;contrato;estudio","resource;general","Produccion de biogas","(?i)Produccion\ de\ biogas","resource;Produccion de biogas","no Produccion de biogas","normalize_float_1","min=1.0 max=5000.0 unit=m3/h","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-018","es","Recursos renovables presentes|Recursos_renovables_presentes","MG-018","","datasheet;memoria;certificado;contrato;estudio","resource;general","Recursos renovables presentes","(?i)Recursos\ renovables\ presentes","resource;Recursos renovables presentes","no Recursos renovables presentes","normalize_string_0","min= max=0 unit=","YES","NO","YES","value_outside_plausibility OR source_not_listed"
"MG-019","es","Recurso geotermico disponible (MWt)|Recurso_geotermico_disponible_(MWt)","MG-019","MWt","datasheet;memoria;certificado;contrato;estudio","resource;general","Recurso geotermico disponible (MWt)","(?i)Recurso\ geotermico\ disponible\ \(MWt\)","resource;Recurso geotermico disponible (MWt)","no Recurso geotermico disponible (MWt)","normalize_float_2","min=0.5 max=500.0 unit=MWt","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-020","es","Temperatura pozo geotermico|Temperatura_pozo_geotermico","MG-020","degC","datasheet;memoria;certificado;contrato;estudio","resource;general","Temperatura pozo geotermico","(?i)Temperatura\ pozo\ geotermico","resource;Temperatura pozo geotermico","no Temperatura pozo geotermico","normalize_float_1","min=60.0 max=350.0 unit=degC","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-021","es","Cobertura de nieve / dust factor|Cobertura_de_nieve_/_dust_factor","MG-021","","datasheet;memoria;certificado;contrato;estudio","resource;general","Cobertura de nieve / dust factor","(?i)Cobertura\ de\ nieve\ /\ dust\ factor","resource;Cobertura de nieve / dust factor","no Cobertura de nieve / dust factor","normalize_float_2","min=0.0 max=1.0 unit=","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-022","es","Humedad relativa ambiente maxima|Humedad_relativa_ambiente_maxima","MG-022","%","datasheet;memoria;certificado;contrato;estudio","resource;general","Humedad relativa ambiente maxima","(?i)Humedad\ relativa\ ambiente\ maxima","resource;Humedad relativa ambiente maxima","no Humedad relativa ambiente maxima","normalize_float_0","min=10.0 max=100.0 unit=%","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-023","es","Demanda pico activa (kW)|Demanda_pico_activa_(kW)","MG-023","kW","datasheet;memoria;certificado;contrato;estudio","demand;general","Demanda pico activa (kW)","(?i)Demanda\ pico\ activa\ \(kW\)","demand;Demanda pico activa (kW)","no Demanda pico activa (kW)","normalize_float_1","min=1.0 max=100000.0 unit=kW","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-024","es","Demanda base activa (kW)|Demanda_base_activa_(kW)","MG-024","kW","datasheet;memoria;certificado;contrato;estudio","demand;general","Demanda base activa (kW)","(?i)Demanda\ base\ activa\ \(kW\)","demand;Demanda base activa (kW)","no Demanda base activa (kW)","normalize_float_1","min=1.0 max=100000.0 unit=kW","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-025","es","Factor de carga|Factor_de_carga","MG-025","","datasheet;memoria;certificado;contrato;estudio","demand;general","Factor de carga","(?i)Factor\ de\ carga","demand;Factor de carga","no Factor de carga","normalize_float_3","min=0.0 max=1.0 unit=","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-026","es","Energia diaria (kWh/dia)|Energia_diaria_(kWh/dia)","MG-026","kWh/day","datasheet;memoria;certificado;contrato;estudio","demand;general","Energia diaria (kWh/dia)","(?i)Energia\ diaria\ \(kWh/dia\)","demand;Energia diaria (kWh/dia)","no Energia diaria (kWh/dia)","normalize_float_1","min=1.0 max=1000000.0 unit=kWh/day","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-027","es","Energia mensual (kWh/mes)|Energia_mensual_(kWh/mes)","MG-027","kWh/month","datasheet;memoria;certificado;contrato;estudio","demand;general","Energia mensual (kWh/mes)","(?i)Energia\ mensual\ \(kWh/mes\)","demand;Energia mensual (kWh/mes)","no Energia mensual (kWh/mes)","normalize_float_1","min=1.0 max=30000000.0 unit=kWh/month","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-028","es","Energia anual (kWh/ano)|Energia_anual_(kWh/ano)","MG-028","kWh/year","datasheet;memoria;certificado;contrato;estudio","demand;general","Energia anual (kWh/ano)","(?i)Energia\ anual\ \(kWh/ano\)","demand;Energia anual (kWh/ano)","no Energia anual (kWh/ano)","normalize_float_1","min=1.0 max=400000000.0 unit=kWh/year","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-029","es","Carga critica (kW)|Carga_critica_(kW)","MG-029","kW","datasheet;memoria;certificado;contrato;estudio","demand;general","Carga critica (kW)","(?i)Carga\ critica\ \(kW\)","demand;Carga critica (kW)","no Carga critica (kW)","normalize_float_1","min=0.0 max=100000.0 unit=kW","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-030","es","Carga controlable (kW)|Carga_controlable_(kW)","MG-030","kW","datasheet;memoria;certificado;contrato;estudio","demand;general","Carga controlable (kW)","(?i)Carga\ controlable\ \(kW\)","demand;Carga controlable (kW)","no Carga controlable (kW)","normalize_float_1","min=0.0 max=100000.0 unit=kW","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-031","es","Objetivo de peak shaving (kW)|Objetivo_de_peak_shaving_(kW)","MG-031","kW","datasheet;memoria;certificado;contrato;estudio","demand;general","Objetivo de peak shaving (kW)","(?i)Objetivo\ de\ peak\ shaving\ \(kW\)","demand;Objetivo de peak shaving (kW)","no Objetivo de peak shaving (kW)","normalize_float_1","min=1.0 max=100000.0 unit=kW","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-032","es","Perfil diario 24h|Perfil_diario_24h","MG-032","","datasheet;memoria;certificado;contrato;estudio","demand;general","Perfil diario 24h","(?i)Perfil\ diario\ 24h","demand;Perfil diario 24h","no Perfil diario 24h","normalize_string_0","min= max=0 unit=","YES","NO","YES","value_outside_plausibility OR source_not_listed"
"MG-033","es","Perfil semanal 168h|Perfil_semanal_168h","MG-033","","datasheet;memoria;certificado;contrato;estudio","demand;general","Perfil semanal 168h","(?i)Perfil\ semanal\ 168h","demand;Perfil semanal 168h","no Perfil semanal 168h","normalize_string_0","min= max=0 unit=","YES","NO","YES","value_outside_plausibility OR source_not_listed"
"MG-034","es","Perfil mensual 12 meses|Perfil_mensual_12_meses","MG-034","","datasheet;memoria;certificado;contrato;estudio","demand;general","Perfil mensual 12 meses","(?i)Perfil\ mensual\ 12\ meses","demand;Perfil mensual 12 meses","no Perfil mensual 12 meses","normalize_string_0","min= max=0 unit=","YES","NO","YES","value_outside_plausibility OR source_not_listed"
"MG-035","es","Variacion estacional (%)|Variacion_estacional_(%)","MG-035","%","datasheet;memoria;certificado;contrato;estudio","demand;general","Variacion estacional (%)","(?i)Variacion\ estacional\ \(%\)","demand;Variacion estacional (%)","no Variacion estacional (%)","normalize_float_1","min=0.0 max=200.0 unit=%","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-036","es","Factor de simultaneidad|Factor_de_simultaneidad","MG-036","","datasheet;memoria;certificado;contrato;estudio","demand;general","Factor de simultaneidad","(?i)Factor\ de\ simultaneidad","demand;Factor de simultaneidad","no Factor de simultaneidad","normalize_float_3","min=0.1 max=1.0 unit=","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-037","es","Crecimiento anual de demanda (%)|Crecimiento_anual_de_demanda_(%)","MG-037","%/year","datasheet;memoria;certificado;contrato;estudio","demand;general","Crecimiento anual de demanda (%)","(?i)Crecimiento\ anual\ de\ demanda\ \(%\)","demand;Crecimiento anual de demanda (%)","no Crecimiento anual de demanda (%)","normalize_float_2","min=0.0 max=30.0 unit=%/year","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-038","es","Factor de potencia promedio|Factor_de_potencia_promedio","MG-038","","datasheet;memoria;certificado;contrato;estudio","demand;general","Factor de potencia promedio","(?i)Factor\ de\ potencia\ promedio","demand;Factor de potencia promedio","no Factor de potencia promedio","normalize_float_3","min=0.5 max=1.0 unit=","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-039","es","Demanda reactiva pico (kvar)|Demanda_reactiva_pico_(kvar)","MG-039","kvar","datasheet;memoria;certificado;contrato;estudio","demand;general","Demanda reactiva pico (kvar)","(?i)Demanda\ reactiva\ pico\ \(kvar\)","demand;Demanda reactiva pico (kvar)","no Demanda reactiva pico (kvar)","normalize_float_1","min=0.0 max=50000.0 unit=kvar","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-040","es","Duracion del pico (h)|Duracion_del_pico_(h)","MG-040","h","datasheet;memoria;certificado;contrato;estudio","demand;general","Duracion del pico (h)","(?i)Duracion\ del\ pico\ \(h\)","demand;Duracion del pico (h)","no Duracion del pico (h)","normalize_float_2","min=0.5 max=24.0 unit=h","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-041","es","Sistema de gestion de energia (EMS)|Sistema_de_gestion_de_energia_(EMS)","MG-041","","datasheet;memoria;certificado;contrato;estudio","dispatch;general","Sistema de gestion de energia (EMS)","(?i)Sistema\ de\ gestion\ de\ energia\ \(EMS\)","dispatch;Sistema de gestion de energia (EMS)","no Sistema de gestion de energia (EMS)","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-042","es","Objetivo de optimizacion EMS|Objetivo_de_optimizacion_EMS","MG-042","","datasheet;memoria;certificado;contrato;estudio","dispatch;general","Objetivo de optimizacion EMS","(?i)Objetivo\ de\ optimizacion\ EMS","dispatch;Objetivo de optimizacion EMS","no Objetivo de optimizacion EMS","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-043","es","Orden de prioridad de despacho|Orden_de_prioridad_de_despacho","MG-043","","datasheet;memoria;certificado;contrato;estudio","dispatch;general","Orden de prioridad de despacho","(?i)Orden\ de\ prioridad\ de\ despacho","dispatch;Orden de prioridad de despacho","no Orden de prioridad de despacho","normalize_string_0","min=0 max=0 unit=","YES","NO","YES","value_outside_plausibility OR source_not_listed"
"MG-044","es","Ramp rate EMS (%MW/min)|Ramp_rate_EMS_(%MW/min)","MG-044","%/min","datasheet;memoria;certificado;contrato;estudio","dispatch;general","Ramp rate EMS (%MW/min)","(?i)Ramp\ rate\ EMS\ \(%MW/min\)","dispatch;Ramp rate EMS (%MW/min)","no Ramp rate EMS (%MW/min)","normalize_float_2","min=0.1 max=100.0 unit=%/min","NO","NO","NO","value_outside_plausibility OR source_not_listed"
