source_id,authority,document_code,title,edition_year,revision,official_url,access_date,primary_or_secondary,accessible_full_text,covered_topics,jurisdictions,notes
IEC_60904_1,IEC,IEC 60904-1,Photovoltaic devices - Part 1: Measurement of photovoltaic current-voltage characteristics,2020,3.0,https://webstore.iec.ch/publication/60353,2026-09-17,primary,false,IV curve measurement;PV calibration,global,Propietario; acceso por biblioteca
IEC_60904_3,IEC,IEC 60904-3,Photovoltaic devices - Part 3: Measurement principles for terrestrial photovoltaic (PV) solar devices with reference spectral irradiance data,2019,4.0,https://webstore.iec.ch/publication/60357,2026-09-17,primary,false,Reference spectral irradiance;STC AM1.5G,global,Propietario
IEC_61215_1,IEC,IEC 61215-1,Terrestrial photovoltaic (PV) modules - Design qualification and type approval - Part 1: Test requirements,2021,2.0,https://webstore.iec.ch/publication/61345,2026-09-17,primary,false,Module design qualification;PV reliability,global,Propietario
IEC_61730_1,IEC,IEC 61730-1,Photovoltaic (PV) module safety qualification - Part 1: Requirements for construction,2023,2.0,https://webstore.iec.ch/publication/63073,2026-09-17,primary,false,PV module safety construction,global,Propietario
IEC_61730_2,IEC,IEC 61730-2,Photovoltaic (PV) module safety qualification - Part 2: Requirements for testing,2023,2.0,https://webstore.iec.ch/publication/63074,2026-09-17,primary,false,PV module safety testing,global,Propietario
IEC_62548,IEC,IEC 62548,Photovoltaic (PV) arrays - Design requirements,2023,2.0,https://webstore.iec.ch/publication/62940,2026-09-17,primary,false,PV array design;string sizing;protection,global,Propietario
IEC_62109_1,IEC,IEC 62109-1,Power converters for use in photovoltaic power systems - Part 1: General requirements,2010,1.0,https://webstore.iec.ch/publication/6481,2026-09-17,primary,false,Inverter safety general,global,Propietario
IEC_62109_2,IEC,IEC 62109-2,Power converters for use in photovoltaic power systems - Part 2: Particular requirements for inverters,2011,1.0,https://webstore.iec.ch/publication/6482,2026-09-17,primary,false,Inverter safety particular,global,Propietario
IEC_62817,IEC,IEC 62817,Design qualification for solar trackers,2014,1.0,https://webstore.iec.ch/publication/25995,2026-09-17,primary,false,Solar tracker qualification,global,Propietario
IEC_62894,IEC,IEC 62894,Photovoltaic inverters - Data sheet and name plate,2014,1.0,https://webstore.iec.ch/publication/7457,2026-09-17,primary,false,Inverter datasheet,global,Propietario
IEC_61724_1,IEC,IEC 61724-1,Photovoltaic system performance - Part 1: Monitoring,2021,2.0,https://webstore.iec.ch/publication/60759,2026-09-17,primary,false,PV performance monitoring,global,Propietario
IEC_62446_1,IEC,IEC 62446-1,"Grid connected photovoltaic (PV) systems - Part 1: Documentation, commissioning tests and inspection",2023,2.0,https://webstore.iec.ch/publication/62935,2026-09-17,primary,false,PV commissioning documentation,global,Propietario
IEC_62116,IEC,IEC 62116,Test procedure of islanding prevention for photovoltaic (PV) inverters,2014,1.1,https://webstore.iec.ch/publication/60281,2026-09-17,primary,false,Anti-islanding test,global,Propietario
IEC_60529,IEC,IEC 60529,Degrees of protection provided by enclosures (IP Code),2013,2.2,https://webstore.iec.ch/publication/2452,2026-09-17,primary,false,Ingress protection,global,Propietario
IEC_61643_11,IEC,IEC 61643-11,Low-voltage surge protective devices - Part 11: Surge protective devices connected to low-voltage power systems - Requirements and test methods,2024,1.2,https://webstore.iec.ch/publication/66092,2026-09-17,primary,false,SPD LV requirements,global,Propietario
IEC_60287_1_1,IEC,IEC 60287-1-1,Electric cables - Calculation of the current rating - Part 1-1: Current rating equations (100% load factor) and calculation of losses - General,2023,2.0,https://webstore.iec.ch/publication/62960,2026-09-17,primary,false,Cable ampacity general,global,Propietario
IEC_60364_7_712,IEC,IEC 60364-7-712,Low-voltage electrical installations - Part 7-712: Requirements for special installations or locations - Solar photovoltaic (PV) power supply systems,2017,2.0,https://webstore.iec.ch/publication/25820,2026-09-17,primary,false,PV low-voltage installation,global,Propietario
IEC_TS_62804_1,IEC,IEC TS 62804-1,Photovoltaic (PV) systems - Test procedures for earth fault detection - Part 1: Procedures for earth fault detection on the DC side,2015,1.0,https://webstore.iec.ch/publication/25959,2026-09-17,primary,false,DC earth fault detection,global,Propietario
IEC_TS_63049,IEC,IEC TS 63049,Terrestrial photovoltaic (PV) systems - Guidelines for increased confidence in PV system installation,2017,1.0,https://webstore.iec.ch/publication/26826,2026-09-17,primary,false,PV installation confidence,global,Propietario
IEC_60904_7,IEC,IEC 60904-7,Photovoltaic devices - Part 7: Computation of the spectral mismatch correction for measurements of photovoltaic devices,2019,4.0,https://webstore.iec.ch/publication/60361,2026-09-17,primary,false,Spectral mismatch correction,global,Propietario
IEC_61853_1,IEC,IEC 61853-1,Photovoltaic (PV) module performance testing and energy rating - Part 1: Irradiance and temperature performance measurements and power rating,2011,1.0,https://webstore.iec.ch/publication/5048,2026-09-17,primary,false,Module power rating matrix,global,Propietario
IEC_61853_2,IEC,IEC 61853-2,"Photovoltaic (PV) module performance testing and energy rating - Part 2: Spectral response, incidence angle and module operating temperature measurements",2016,1.0,https://webstore.iec.ch/publication/25580,2026-09-17,primary,false,IAM;thermal coefficients,global,Propietario
IEC_61853_4,IEC,IEC 61853-4,Photovoltaic (PV) module performance testing and energy rating - Part 4: Standard reference climatic profiles,2018,1.0,https://webstore.iec.ch/publication/26213,2026-09-17,primary,false,Reference climates,global,Propietario
IEC_62805_1,IEC,IEC 62805-1,Method for measuring photovoltaic (PV) glass transparency - Part 1: White-light transmission,2017,1.0,https://webstore.iec.ch/publication/25963,2026-09-17,primary,false,PV glass transparency,global,Propietario
IEC_TS_63209,IEC,IEC TS 63209,Photovoltaic modules - Extended-stress testing,2021,1.0,https://webstore.iec.ch/publication/68223,2026-09-17,primary,false,Extended-stress PV module,global,Propietario
IEC_62938,IEC,IEC 62938,Terrestrial photovoltaic (PV) systems - Test procedure for tracking the effects of dust and soiling on PV modules,2018,1.0,https://webstore.iec.ch/publication/26215,2026-09-17,primary,false,Soiling loss test,global,Propietario
IEC_61400_1,IEC,IEC 61400-1,Wind energy generation systems - Part 1: Design requirements,2019,4.0,https://webstore.iec.ch/publication/26423,2026-09-17,primary,false,Wind turbine design loads;classes,global,Propietario
IEC_61400_2,IEC,IEC 61400-2,Wind energy generation systems - Part 2: Design requirements for small wind turbines,2013,3.0,https://webstore.iec.ch/publication/6207,2026-09-17,primary,false,Small wind turbine design,global,Propietario
IEC_61400_3_1,IEC,IEC 61400-3-1,Wind energy generation systems - Part 3-1: Design requirements for fixed offshore wind turbines,2015,1.0,https://webstore.iec.ch/publication/29360,2026-09-17,primary,false,Offshore fixed wind design,global,Propietario
IEC_61400_3_2,IEC,IEC 61400-3-2,Wind energy generation systems - Part 3-2: Design requirements for floating offshore wind turbines,2019,1.0,https://webstore.iec.ch/publication/62935-3,2026-09-17,primary,false,Offshore floating wind design,global,Propietario
IEC_61400_4,IEC,IEC 61400-4,Wind energy generation systems - Part 4: Design requirements for wind turbine gearboxes,2012,1.0,https://webstore.iec.ch/publication/6425,2026-09-17,primary,false,Wind gearbox design,global,Propietario
IEC_61400_5,IEC,IEC 61400-5,Wind energy generation systems - Part 5: Wind turbine blades,2020,1.0,https://webstore.iec.ch/publication/26229,2026-09-17,primary,false,Wind blade requirements,global,Propietario
IEC_61400_6,IEC,IEC 61400-6,Wind energy generation systems - Part 6: Tower and foundation design requirements,2020,1.0,https://webstore.iec.ch/publication/62857,2026-09-17,primary,false,Wind tower and foundation,global,Propietario
IEC_61400_11,IEC,IEC 61400-11,Wind energy generation systems - Part 11: Acoustic noise measurement techniques,2012,3.0,https://webstore.iec.ch/publication/6254,2026-09-17,primary,false,Wind acoustic noise,global,Propietario
IEC_61400_12_1,IEC,IEC 61400-12-1,Wind energy generation systems - Part 12-1: Power performance measurements of electricity producing wind turbines,2017,2.0,https://webstore.iec.ch/publication/26603,2026-09-17,primary,false,Wind power performance,global,Propietario
IEC_61400_13,IEC,IEC 61400-13,Wind energy generation systems - Part 13: Measurement of mechanical loads,2015,1.0,https://webstore.iec.ch/publication/62833,2026-09-17,primary,false,Wind mechanical loads,global,Propietario
IEC_61400_14,IEC,IEC 61400-14,Wind energy generation systems - Part 14: Declaration of apparent sound power level and tonality values,2018,1.0,https://webstore.iec.ch/publication/26186,2026-09-17,primary,false,Wind sound declaration,global,Propietario
IEC_61400_15_1,IEC,IEC 61400-15-1,Wind energy generation systems - Part 15-1: Site suitability assessment,2025,1.0,https://webstore.iec.ch/publication/62935-15,2026-09-17,primary,false,Wind site assessment,global,Propietario
IEC_61400_21_1,IEC,IEC 61400-21-1,Wind energy generation systems - Part 21-1: Measurement and assessment of electrical characteristics - Wind turbines,2019,1.0,https://webstore.iec.ch/publication/26424,2026-09-17,primary,false,Wind grid compliance,global,Propietario
IEC_61400_23,IEC,IEC 61400-23,Wind energy generation systems - Part 23: Full-scale structural testing of rotor blades,2014,1.0,https://webstore.iec.ch/publication/25939,2026-09-17,primary,false,Blade full-scale test,global,Propietario
