drawing_id,technology,discipline,title_es,purpose,applicability_expression,minimum_project_stage,required_field_ids,required_calculation_ids,required_geometry_rule_ids,required_views,required_tables,required_symbol_ids,preferred_sheet_formats,preferred_scales,required_layers,mandatory_annotations,cross_references,qa_rule_ids,release_blockers,source_ids
BIO-DRW-001,BIOMASS,CIVIL,Plano de ubicación del proyecto,Localización del proyecto,always,PRE_FEASIBILITY,BIO-001;BIO-016;BIO-017,BIO-C-021,BIO-GR-001,PLAN,PROJECT_INFO,SYM-CIV-001,A1,1:5000,GEN-ALL-BORDER,"Project name, location, scale",-,BIO-QA-001,-,RNE_DS_011_2006
BIO-DRW-002,BIOMASS,CIVIL,Plano de implantación,Distribución de equipos,always,BASIC_ENGINEERING,BIO-001;BIO-026;BIO-033,BIO-C-005,BIO-GR-001,PLAN,EQUIPMENT_LIST,SYM-CIV-001,A0,1:500,CIV-ALL-TOPO-EXISTING,"Project name, scale",BIO-DRW-001,BIO-QA-002,-,RNE_DS_011_2006
BIO-DRW-003,BIOMASS,CIVIL,Almacenamiento de combustible,Layout silos y patios,always,BASIC_ENGINEERING,BIO-019;BIO-020;BIO-014,BIO-C-021,BIO-GR-002,PLAN;SECTION,SILO_SPEC,SYM-CIV-002,A1,1:200,CIV-ALL-BOUNDARY,Silo capacities,BIO-DRW-002,BIO-QA-003,-,NFPA_664
BIO-DRW-004,BIOMASS,MECH,Plano de caldera,Layout caldera,always,BASIC_ENGINEERING,BIO-021;BIO-026;BIO-022;BIO-023,BIO-C-005,BIO-GR-001,PLAN,BOILER_SPEC,SYM-PROC-005,A1,1:100,MECH-ALL-WT-TOWER,"Boiler type, capacity",BIO-DRW-002,BIO-QA-004,-,ASME_BPVC_VIII_1_2023
BIO-DRW-005,BIOMASS,MECH,Sección de caldera,Sección transversal,always,BASIC_ENGINEERING,BIO-022;BIO-023;BIO-077,BIO-C-025,BIO-GR-001,SECTION,BOILER_SECTION,SYM-PROC-005,A1,1:50,MECH-ALL-WT-TOWER,Drum dimensions,BIO-DRW-004,BIO-QA-005,-,ASME_BPVC_VIII_1_2023
BIO-DRW-006,BIOMASS,PROC,Diagrama de flujo PFD,Diagrama de flujo,always,BASIC_ENGINEERING,BIO-001;BIO-022;BIO-026;BIO-027;BIO-028,BIO-C-002;BIO-C-005,BIO-GR-011,PFD,MASS_BALANCE,SYM-PROC-005;SYM-PROC-007;SYM-PROC-008,A1,1:200,PROC-ALL-PIPE-MAIN,Process parameters,BIO-DRW-004,BIO-QA-006,-,ISO_10628
BIO-DRW-007,BIOMASS,PROC,P&ID de vapor,Diagrama P&ID vapor principal,always,DETAILED_ENGINEERING,BIO-022;BIO-023;BIO-059,BIO-C-005;BIO-C-026,BIO-GR-006,P&ID,VALVE_LIST,SYM-PROC-011;SYM-PROC-012;SYM-PROC-013;SYM-PROC-014;SYM-PROC-015,A1,1:50,PROC-ALL-PIPE-MAIN,"Tag, line numbers",BIO-DRW-006,BIO-QA-007,-,ASME_B31_1_2022;ISO_14617
BIO-DRW-008,BIOMASS,PROC,P&ID de BFW,Diagrama P&ID BFW,always,DETAILED_ENGINEERING,BIO-060,BIO-C-017,BIO-GR-009,P&ID,PUMP_SPEC,SYM-PROC-005;SYM-PROC-008,A1,1:50,PROC-ALL-PIPE-MAIN,"Tag, line numbers",BIO-DRW-006,BIO-QA-008,-,ASME_B31_1_2022;ISO_14617
BIO-DRW-009,BIOMASS,PROC,P&ID de condensado,Diagrama P&ID condensado,turbine_type == condensing,DETAILED_ENGINEERING,BIO-037,BIO-C-009,BIO-GR-010,P&ID,CONDENSATE_BALANCE,SYM-PROC-005;SYM-PROC-007,A1,1:50,PROC-ALL-PIPE-MAIN,"Tag, line numbers",BIO-DRW-006,BIO-QA-009,-,ASME_B31_1_2022;ISO_14617
BIO-DRW-010,BIOMASS,MECH,P&ID alimentación combustible,Diagrama P&ID combustible,always,DETAILED_ENGINEERING,BIO-080,BIO-C-028,BIO-GR-003;BIO-GR-004,P&ID,CONVEYOR_LIST,SYM-PROC-005;SYM-PROC-008,A1,1:50,PROC-ALL-PIPE-MAIN,"Tag, line numbers",BIO-DRW-006,BIO-QA-010,-,ISO_14617
