field_id,language,synonyms,abbreviations,expected_units,document_types,section_names,table_header_patterns,regex_candidates,positive_context,negative_context,normalization_rule,plausibility_rule,requires_ocr,requires_vision,requires_llm,human_review_condition
BIO-001,es;en,biomass_type,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,biomass_type;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-002,es;en,lower_heating_value_lhv_kj_kg,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,lower_heating_value_lhv_kj_kg;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-003,es;en,higher_heating_value_hhv_kj_kg,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,higher_heating_value_hhv_kj_kg;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-004,es;en,moisture_content_wb_pct,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,moisture_content_wb_pct;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-005,es;en,ash_content_db_pct,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,ash_content_db_pct;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-006,es;en,volatile_matter_db_pct,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,volatile_matter_db_pct;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-007,es;en,fixed_carbon_db_pct,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,fixed_carbon_db_pct;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-008,es;en,ultimate_carbon_daf_pct,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,ultimate_carbon_daf_pct;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-009,es;en,ultimate_hydrogen_daf_pct,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,ultimate_hydrogen_daf_pct;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-010,es;en,ultimate_nitrogen_daf_pct,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,ultimate_nitrogen_daf_pct;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
