field_id,category,name_es,description,data_type,unit,allowed_values,min_value,max_value,precision,requirement_class,required_from_stage,conditional_expression,prohibited_default,expected_source_document,extraction_hints,used_by_calculation_ids,used_by_drawing_ids,blocking_if_missing,review_role,source_ids
BIG-001,substrate,sustrato_estiercol_bovino_tn_ano,Toneladas por año de estiercol bovino fresco recibido en planta,number,t/y,,0,500000,0.1,PROJECT_MANDATORY,FEASIBILITY,,true,Estudio de caracterización de sustratos,Sección 'Mass balance' del estudio de sustratos,BIG-CALC-002;BIG-CALC-009;BIG-CALC-010,BIG-DRW-001;BIG-DRW-002;BIG-DRW-007,true,PROCESS_ENGINEER,ISO_22790;ISO_6107_1;IAPWS_IF97
BIG-002,substrate,sustrato_estiercol_porcino_tn_ano,Toneladas por año de estiercol porcino fresco recibido en planta,number,t/y,,0,200000,0.1,PROJECT_MANDATORY,FEASIBILITY,,true,Estudio de caracterización de sustratos,Sección 'Mass balance' del estudio de sustratos,BIG-CALC-002;BIG-CALC-009;BIG-CALC-010,BIG-DRW-001;BIG-DRW-002;BIG-DRW-007,true,PROCESS_ENGINEER,ISO_22790;ISO_6107_1;IAPWS_IF97
BIG-003,substrate,sustrato_estiercol_avicola_tn_ano,Toneladas por año de estiercol avicola fresco recibido en planta,number,t/y,,0,100000,0.1,PROJECT_MANDATORY,FEASIBILITY,,true,Estudio de caracterización de sustratos,Sección 'Mass balance' del estudio de sustratos,BIG-CALC-002;BIG-CALC-009;BIG-CALC-010,BIG-DRW-001;BIG-DRW-002;BIG-DRW-007,true,PROCESS_ENGINEER,ISO_22790;ISO_6107_1;IAPWS_IF97
BIG-004,substrate,sustrato_residuos_alimentos_tn_ano,"Toneladas por año de residuos de alimentos (FOG, residuos industriales) recibidos en planta",number,t/y,,0,200000,0.1,PROJECT_MANDATORY,FEASIBILITY,,true,Estudio de caracterización de sustratos,Sección 'Mass balance' del estudio de sustratos,BIG-CALC-002;BIG-CALC-009,BIG-DRW-001;BIG-DRW-002;BIG-DRW-007,true,PROCESS_ENGINEER,ISO_22790;ISO_6107_1;IAPWS_IF97
BIG-005,substrate,sustrato_lodos_edar_tn_ano,Toneladas por año de lodos de planta de tratamiento de aguas residuales (EDAR) recibidos,number,t/y,,0,150000,0.1,PROJECT_MANDATORY,FEASIBILITY,,true,Estudio de caracterización de sustratos,Sección 'Mass balance' del estudio de sustratos,BIG-CALC-002;BIG-CALC-009,BIG-DRW-001;BIG-DRW-002;BIG-DRW-007,true,PROCESS_ENGINEER,ISO_22790;ISO_6107_1;IAPWS_IF97
BIG-006,substrate,sustrato_cultivos_energeticos_tn_ano,"Toneladas por año de cultivos energéticos (maiz, sorgo, pasto) recibidos en planta",number,t/y,,0,150000,0.1,OPTIONAL,FEASIBILITY,,false,Estudio de caracterización de sustratos,Sección 'Mass balance' del estudio de sustratos,BIG-CALC-002;BIG-CALC-009,BIG-DRW-001;BIG-DRW-002;BIG-DRW-007,false,PROCESS_ENGINEER,ISO_22790
BIG-007,substrate,sustrato_FOR_rsU_tn_ano,Toneladas por año de fracción orgánica de residuos sólidos urbanos (FORSU) recibidos,number,t/y,,0,200000,0.1,OPTIONAL,FEASIBILITY,,false,Estudio de caracterización de sustratos,Sección 'Mass balance' del estudio de sustratos,BIG-CALC-002;BIG-CALC-009,BIG-DRW-001;BIG-DRW-002;BIG-DRW-007,false,PROCESS_ENGINEER,ISO_22790;ISO_6107_1;IAPWS_IF97
BIG-008,substrate,sustrato_densidad_bulk_kg_m3,Densidad bulk promedio del sustrato mezclado tal como se alimenta al digestor,number,kg/m3,,900,1100,1,PROJECT_MANDATORY,BASIC_ENGINEERING,,true,Ensayos de laboratorio de sustratos,Tabla 'Bulk density' del informe de laboratorio,BIG-CALC-002;BIG-CALC-008;BIG-CALC-019,BIG-DRW-003;BIG-DRW-007,true,PROCESS_ENGINEER,ISO_22790
BIG-009,substrate,sustrato_fraccion_solidos_totales_TS_pct,Fracción de solidos totales (TS) del sustrato mezclado tal como entra al digestor,number,%,,1,40,0.1,PROJECT_MANDATORY,BASIC_ENGINEERING,,true,Ensayos de laboratorio de sustratos,Tabla 'Total Solids' del informe de laboratorio,BIG-CALC-002;BIG-CALC-004;BIG-CALC-009,BIG-DRW-003;BIG-DRW-005;BIG-DRW-007,true,PROCESS_ENGINEER,ISO_22790
BIG-010,substrate,sustrato_fraccion_solidos_volatiles_VS_pct_TS,Fracción de sólidos volátiles (VS) sobre sólidos totales (TS) del sustrato,number,%TS,,40,95,0.1,PROJECT_MANDATORY,BASIC_ENGINEERING,,true,Ensayos de laboratorio de sustratos,Tabla 'Volatile Solids' del informe de laboratorio,BIG-CALC-002;BIG-CALC-004;BIG-CALC-010,BIG-DRW-003;BIG-DRW-005;BIG-DRW-007,true,PROCESS_ENGINEER,ISO_22790
