field_id,language,synonyms,abbreviations,expected_units,document_types,section_names,table_header_patterns,regex_candidates,positive_context,negative_context,normalization_rule,plausibility_rule,requires_ocr,requires_vision,requires_llm,human_review_condition
BIG-001,es,estiercol bovino tn ano,,t/y,substrate_characterization|lab_report,Sección 'Mass balance',SUSTRATO ESTIERCOL BOVINO TN ANO,[-+]?\d*\.?\d+\s*t/y,sustrato|estiércol|substrate|feedstock|masa|mass,solar|eólico|hidroeléctrico,convert t/d to t/y (multiply by 365),"in [0, 500000]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-002,es,estiercol porcino tn ano,,t/y,substrate_characterization|lab_report,Sección 'Mass balance',SUSTRATO ESTIERCOL PORCINO TN ANO,[-+]?\d*\.?\d+\s*t/y,sustrato|estiércol|substrate|feedstock|masa|mass,solar|eólico|hidroeléctrico,convert t/d to t/y (multiply by 365),"in [0, 200000]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-003,es,estiercol avicola tn ano,,t/y,substrate_characterization|lab_report,Sección 'Mass balance',SUSTRATO ESTIERCOL AVICOLA TN ANO,[-+]?\d*\.?\d+\s*t/y,sustrato|estiércol|substrate|feedstock|masa|mass,solar|eólico|hidroeléctrico,convert t/d to t/y (multiply by 365),"in [0, 100000]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-004,es,residuos alimentos tn ano,,t/y,substrate_characterization|lab_report,Sección 'Mass balance',SUSTRATO RESIDUOS ALIMENTOS TN ANO,[-+]?\d*\.?\d+\s*t/y,sustrato|estiércol|substrate|feedstock|masa|mass,solar|eólico|hidroeléctrico,convert t/d to t/y (multiply by 365),"in [0, 200000]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-005,es,lodos edar tn ano,,t/y,substrate_characterization|lab_report,Sección 'Mass balance',SUSTRATO LODOS EDAR TN ANO,[-+]?\d*\.?\d+\s*t/y,sustrato|estiércol|substrate|feedstock|masa|mass,solar|eólico|hidroeléctrico,convert t/d to t/y (multiply by 365),"in [0, 150000]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-006,es,cultivos energeticos tn ano,,t/y,substrate_characterization|lab_report,Sección 'Mass balance',SUSTRATO CULTIVOS ENERGETICOS TN ANO,[-+]?\d*\.?\d+\s*t/y,sustrato|estiércol|substrate|feedstock|masa|mass,solar|eólico|hidroeléctrico,convert t/d to t/y (multiply by 365),"in [0, 150000]",False,False,True,
BIG-007,es,FOR rsU tn ano,,t/y,substrate_characterization|lab_report,Sección 'Mass balance',SUSTRATO FOR RSU TN ANO,[-+]?\d*\.?\d+\s*t/y,sustrato|estiércol|substrate|feedstock|masa|mass,solar|eólico|hidroeléctrico,convert t/d to t/y (multiply by 365),"in [0, 200000]",False,False,True,
BIG-008,es,densidad bulk kg m3,,kg/m3,substrate_characterization|lab_report,Tabla 'Bulk density',SUSTRATO DENSIDAD BULK KG M3,[-+]?\d*\.?\d+\s*kg/m3,sustrato|estiércol|substrate|feedstock|masa|mass,solar|eólico|hidroeléctrico,keep SI unit,"in [900, 1100]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-009,es,fraccion solidos totales TS pct,TS,%,substrate_characterization|lab_report,Tabla 'Total Solids',SUSTRATO FRACCION SOLIDOS TOTALES TS PCT,[-+]?\d*\.?\d+\s*%,sustrato|estiércol|substrate|feedstock|masa|mass,solar|eólico|hidroeléctrico,convert fraction to % (multiply by 100),"in [1, 40]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-010,es,fraccion solidos volatiles VS pct TS,VS,%TS,substrate_characterization|lab_report,Tabla 'Volatile Solids',SUSTRATO FRACCION SOLIDOS VOLATILES VS PCT TS,[-+]?\d*\.?\d+\s*%TS,sustrato|estiércol|substrate|feedstock|masa|mass,solar|eólico|hidroeléctrico,keep SI unit,"in [40, 95]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-011,es,relacion CN ratio,C/N,-,substrate_characterization|lab_report,Tabla 'C/N ratio',SUSTRATO RELACION CN RATIO,[-+]?\d*\.?\d+\s*\-,sustrato|estiércol|substrate|feedstock|masa|mass,solar|eólico|hidroeléctrico,keep SI unit,"in [10, 40]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-012,es,pH entrada,,-,substrate_characterization|lab_report,Tabla 'pH',SUSTRATO PH ENTRADA,[-+]?\d*\.?\d+\s*\-,sustrato|estiércol|substrate|feedstock|masa|mass,solar|eólico|hidroeléctrico,keep SI unit,"in [4, 9]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-013,es,alcalinidad mg CaCO3 L,,mg CaCO3/L,substrate_characterization|lab_report,Tabla 'Alkalinity',SUSTRATO ALCALINIDAD MG CACO3 L,[-+]?\d*\.?\d+\s*mg\ CaCO3/L,sustrato|estiércol|substrate|feedstock|masa|mass,solar|eólico|hidroeléctrico,keep SI unit,"in [500, 10000]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-014,es,acidos grasos volatiles VFA mg L,VFA,mg HAc/L,substrate_characterization|lab_report,Tabla 'VFA',SUSTRATO ACIDOS GRASOS VOLATILES VFA MG L,[-+]?\d*\.?\d+\s*mg\ HAc/L,sustrato|estiércol|substrate|feedstock|masa|mass,solar|eólico|hidroeléctrico,keep SI unit,"in [0, 10000]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-015,es,bmp m3 CH4 kg VS,CH4,m3 CH4/kg VS,process_balance|datasheet,Tabla 'BMP',BMP M3 CH4 KG VS,[-+]?\d*\.?\d+\s*m3\ CH4/kg\ VS,biogás|producción|biogas|production,metano puro|biometano|gas natural,keep SI unit,"in [0.05, 0.6]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-016,es,produccion m3 dia,,m3/d,process_balance|datasheet,Sección 'Biogas production',BIOGAS PRODUCCION M3 DIA,[-+]?\d*\.?\d+\s*m3/d,biogás|producción|biogas|production,metano puro|biometano|gas natural,convert m3/h to m3/d (multiply by 24),"in [50, 200000]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-017,es,presion operacion kPa g,kPa,kPa(g),process_balance|datasheet,Sección 'Operating pressure' de la hoja de datos,BIOGAS PRESION OPERACION KPA G,[-+]?\d*\.?\d+\s*kPa\(g\),biogás|producción|biogas|production,metano puro|biometano|gas natural,convert bar to kPa (multiply by 100) and PSI to kPa (multiply by 6.89476),"in [0.2, 10]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-018,es,temperatura operacion C,,°C,process_balance|datasheet,Sección 'Operating temperature',BIOGAS TEMPERATURA OPERACION C,[-+]?\d*\.?\d+\s*°C,biogás|producción|biogas|production,metano puro|biometano|gas natural,convert °F to °C ((F-32)*5/9) and K to °C (K-273.15),"in [30, 60]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-019,es,CH4 pct vol,CH4,%vol,gc_analysis|lab_report,Tabla 'Biogas composition',BIOGAS CH4 PCT VOL,[-+]?\d*\.?\d+\s*%vol,composición|biogás|composition|GC,aire|nitrógeno atmosférico,keep SI unit,"in [40, 80]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-020,es,CO2 pct vol,CO2,%vol,gc_analysis|lab_report,Tabla 'Biogas composition',BIOGAS CO2 PCT VOL,[-+]?\d*\.?\d+\s*%vol,composición|biogás|composition|GC,aire|nitrógeno atmosférico,keep SI unit,"in [20, 55]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-021,es,H2S ppm vol,H2S,ppmv,gc_analysis|lab_report,Tabla 'Trace gases',BIOGAS H2S PPM VOL,[-+]?\d*\.?\d+\s*ppmv,composición|biogás|composition|GC,aire|nitrógeno atmosférico,convert %vol to ppmv (multiply by 10000) or viceversa,"in [50, 10000]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-022,es,NH3 ppm vol,NH3,ppmv,gc_analysis|lab_report,Tabla 'Trace gases',BIOGAS NH3 PPM VOL,[-+]?\d*\.?\d+\s*ppmv,composición|biogás|composition|GC,aire|nitrógeno atmosférico,convert %vol to ppmv (multiply by 10000) or viceversa,"in [0, 5000]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-023,es,N2 pct vol,N2,%vol,gc_analysis|lab_report,Tabla 'Biogas composition',BIOGAS N2 PCT VOL,[-+]?\d*\.?\d+\s*%vol,composición|biogás|composition|GC,aire|nitrógeno atmosférico,keep SI unit,"in [0, 10]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-024,es,O2 pct vol,O2,%vol,gc_analysis|lab_report,Tabla 'Biogas composition',BIOGAS O2 PCT VOL,[-+]?\d*\.?\d+\s*%vol,composición|biogás|composition|GC,aire|nitrógeno atmosférico,keep SI unit,"in [0, 4]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-025,es,H2O pct vol,H2O,%vol,gc_analysis|lab_report,Sección 'Moisture',BIOGAS H2O PCT VOL,[-+]?\d*\.?\d+\s*%vol,composición|biogás|composition|GC,aire|nitrógeno atmosférico,keep SI unit,"in [2, 8]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-026,es,poder calorifico inferior MJ m3,,MJ/m3(n),gc_analysis|lab_report,Tabla 'LHV',BIOGAS PODER CALORIFICO INFERIOR MJ M3,[-+]?\d*\.?\d+\s*MJ/m3\(n\),composición|biogás|composition|GC,aire|nitrógeno atmosférico,convert kWh to MJ (multiply by 3.6),"in [14, 30]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-027,es,temperatura operacion C,,°C,process_datasheet|mass_balance,Sección 'Operating temperature',DIGESTION TEMPERATURA OPERACION C,[-+]?\d*\.?\d+\s*°C,digestor|digestión|digestion|reactor,aeróbico|compostaje|laguna aerobia,convert °F to °C ((F-32)*5/9) and K to °C (K-273.15),"in [30, 60]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-028,es,HRT dias,HRT,d,process_datasheet|mass_balance,Sección 'Hydraulic Retention Time',DIGESTION HRT DIAS,[-+]?\d*\.?\d+\s*d,digestor|digestión|digestion|reactor,aeróbico|compostaje|laguna aerobia,keep SI unit,"in [12, 60]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-029,es,OLR kg VS m3 dia,VS,kg VS/m3/d,process_datasheet|mass_balance,Sección 'Organic Loading Rate',DIGESTION OLR KG VS M3 DIA,[-+]?\d*\.?\d+\s*kg\ VS/m3/d,digestor|digestión|digestion|reactor,aeróbico|compostaje|laguna aerobia,keep SI unit,"in [0.5, 8]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-030,es,VS destruccion pct,VS,%,process_datasheet|mass_balance,Sección 'VS destruction',DIGESTION VS DESTRUCCION PCT,[-+]?\d*\.?\d+\s*%,digestor|digestión|digestion|reactor,aeróbico|compostaje|laguna aerobia,convert fraction to % (multiply by 100),"in [40, 85]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-031,es,mezclado potencia W m3,,W/m3,process_datasheet|mass_balance,Sección 'Mixing power',DIGESTION MEZCLADO POTENCIA W M3,[-+]?\d*\.?\d+\s*W/m3,digestor|digestión|digestion|reactor,aeróbico|compostaje|laguna aerobia,keep SI unit,"in [3, 15]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-032,es,mezclado tipo,,-,process_datasheet|mass_balance,Sección 'Mixer type',DIGESTION MEZCLADO TIPO,[A-Za-z][A-Za-z0-9_\- ]+,digestor|digestión|digestion|reactor,aeróbico|compostaje|laguna aerobia,keep SI unit,,False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-033,es,volumen util m3,,m3,process_datasheet|mass_balance,Sección 'Useful volume',DIGESTION VOLUMEN UTIL M3,[-+]?\d*\.?\d+\s*m3,digestor|digestión|digestion|reactor,aeróbico|compostaje|laguna aerobia,keep SI unit,"in [50, 15000]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-034,es,tipo digestor,,-,process_datasheet|mass_balance,Sección 'Reactor type',DIGESTION TIPO DIGESTOR,[A-Za-z][A-Za-z0-9_\- ]+,digestor|digestión|digestion|reactor,aeróbico|compostaje|laguna aerobia,keep SI unit,,False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-035,es,calentamiento fuente,,-,process_datasheet|mass_balance,Sección 'Heat source',DIGESTION CALENTAMIENTO FUENTE,[A-Za-z][A-Za-z0-9_\- ]+,digestor|digestión|digestion|reactor,aeróbico|compostaje|laguna aerobia,keep SI unit,,False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-036,es,perdida calor kW,,kW,process_datasheet|mass_balance,Sección 'Heat losses',DIGESTION PERDIDA CALOR KW,[-+]?\d*\.?\d+\s*kW,digestor|digestión|digestion|reactor,aeróbico|compostaje|laguna aerobia,keep SI unit,"in [2, 500]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-037,es,separacion tipo,,-,lab_report|datasheet,Sección 'Separator type',DIGESTATO SEPARACION TIPO,[A-Za-z][A-Za-z0-9_\- ]+,digestato|digestate|separación,compost|fertilizante químico,keep SI unit,,False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
