field_id,language,synonyms,abbreviations,expected_units,document_types,section_names,table_header_patterns,regex_candidates,positive_context,negative_context,normalization_rule,plausibility_rule,requires_ocr,requires_vision,requires_llm,human_review_condition
GEO-001,es,ubicacion|sitio|localizacion,LAT|LON|ALT,deg,topographic_survey|site_report,site_location|coordinates,LAT;LON;ALT,lat\s*=\s*([-+]?\d+\.\d+)|lon\s*=\s*([-+]?\d+\.\d+)|elev\s*=\s*(\d+\.?\d*),site location|GPS|WGS84,north|south|east|west (no number),keep 6 decimals,in valid range,False,False,True,if outside range
GEO-002,es,ubicacion|sitio|localizacion,LAT|LON|ALT,deg,topographic_survey|site_report,site_location|coordinates,LAT;LON;ALT,lat\s*=\s*([-+]?\d+\.\d+)|lon\s*=\s*([-+]?\d+\.\d+)|elev\s*=\s*(\d+\.?\d*),site location|GPS|WGS84,north|south|east|west (no number),keep 6 decimals,in valid range,False,False,True,if outside range
GEO-003,es,ubicacion|sitio|localizacion,LAT|LON|ALT,m,topographic_survey|site_report,site_location|coordinates,LAT;LON;ALT,lat\s*=\s*([-+]?\d+\.\d+)|lon\s*=\s*([-+]?\d+\.\d+)|elev\s*=\s*(\d+\.?\d*),site location|GPS|WGS84,north|south|east|west (no number),keep 6 decimals,in valid range,False,False,True,if outside range
GEO-004,es,ubicacion|sitio|localizacion,LAT|LON|ALT,h,topographic_survey|site_report,site_location|coordinates,LAT;LON;ALT,lat\s*=\s*([-+]?\d+\.\d+)|lon\s*=\s*([-+]?\d+\.\d+)|elev\s*=\s*(\d+\.?\d*),site location|GPS|WGS84,north|south|east|west (no number),keep 6 decimals,in valid range,False,False,True,if outside range
GEO-005,es,ubicacion|sitio|localizacion,LAT|LON|ALT,m2,topographic_survey|site_report,site_location|coordinates,LAT;LON;ALT,lat\s*=\s*([-+]?\d+\.\d+)|lon\s*=\s*([-+]?\d+\.\d+)|elev\s*=\s*(\d+\.?\d*),site location|GPS|WGS84,north|south|east|west (no number),keep 6 decimals,in valid range,False,False,True,if outside range
GEO-006,es,reservorio|yacimiento|formation,TRES|PRES|DEPTH,degC,reservoir_report|well_log,reservoir_data|formation_evaluation,TRES;PRES;DEPTH,T_res\s*=\s*(\d+\.?\d*)|P_res\s*=\s*(\d+\.?\d*)|depth\s*=\s*(\d+\.?\d*),reservoir|formation|bottom hole,surface temperature,convert to degC/bar,in reservoir range,False,False,True,if outside geothermal range
GEO-007,es,reservorio|yacimiento|formation,TRES|PRES|DEPTH,bar,reservoir_report|well_log,reservoir_data|formation_evaluation,TRES;PRES;DEPTH,T_res\s*=\s*(\d+\.?\d*)|P_res\s*=\s*(\d+\.?\d*)|depth\s*=\s*(\d+\.?\d*),reservoir|formation|bottom hole,surface temperature,convert to degC/bar,in reservoir range,False,False,True,if outside geothermal range
GEO-008,es,reservorio|yacimiento|formation,TRES|PRES|DEPTH,m,reservoir_report|well_log,reservoir_data|formation_evaluation,TRES;PRES;DEPTH,T_res\s*=\s*(\d+\.?\d*)|P_res\s*=\s*(\d+\.?\d*)|depth\s*=\s*(\d+\.?\d*),reservoir|formation|bottom hole,surface temperature,convert to degC/bar,in reservoir range,False,False,True,if outside geothermal range
GEO-009,es,reservorio|yacimiento|formation,TRES|PRES|DEPTH,-,reservoir_report|well_log,reservoir_data|formation_evaluation,TRES;PRES;DEPTH,T_res\s*=\s*(\d+\.?\d*)|P_res\s*=\s*(\d+\.?\d*)|depth\s*=\s*(\d+\.?\d*),reservoir|formation|bottom hole,surface temperature,convert to degC/bar,in reservoir range,False,False,True,if outside geothermal range
GEO-010,es,reservorio|yacimiento|formation,TRES|PRES|DEPTH,mg/L,reservoir_report|well_log,reservoir_data|formation_evaluation,TRES;PRES;DEPTH,T_res\s*=\s*(\d+\.?\d*)|P_res\s*=\s*(\d+\.?\d*)|depth\s*=\s*(\d+\.?\d*),reservoir|formation|bottom hole,surface temperature,convert to degC/bar,in reservoir range,False,False,True,if outside geothermal range
