"field_id","category","name_es","description","data_type","unit","allowed_values","min_value","max_value","precision","requirement_class","required_from_stage","conditional_expression","prohibited_default","expected_source_document","extraction_hints","used_by_calculation_ids","used_by_drawing_ids","blocking_if_missing","review_role","source_ids"
"BESS-001","project","Nombre del proyecto BESS","Denominacion comercial del proyecto de almacenamiento de energia.","string","-","-","","","0","PROJECT_MANDATORY","FEASIBILITY","","True","Ficha de proyecto / contrato","Texto libre en cubierta y portada","BESS-C-028|BESS-C-018","BESS-DRW-001|BESS-DRW-002","True","PROJECT_MANAGER","IEC_62933_1|IEC_62933_2_1|IEC_62933_5_1|IEC_62933_5_2|UL_9540|UL_9540A|NFPA_855_2023|DNV_RP_0585"
"BESS-002","project","Latitud del sitio","Latitud geodesica WGS84 del centroide del sitio BESS.","float","deg","[-90,90]","-90.0","90.0","6","PROJECT_MANDATORY","FEASIBILITY","","True","Estudio topografico / GPS","Decimal con 4 a 6 cifras","BESS-C-013|BESS-C-024","BESS-DRW-001|BESS-DRW-002|BESS-DRW-017","True","PROJECT_MANAGER","ISO_19111|DNV_RP_0585"
"BESS-003","project","Longitud del sitio","Longitud geodesica WGS84 del centroide del sitio BESS.","float","deg","[-180,180]","-180.0","180.0","6","PROJECT_MANDATORY","FEASIBILITY","","True","Estudio topografico / GPS","Decimal con 4 a 6 cifras","BESS-C-013|BESS-C-024","BESS-DRW-001|BESS-DRW-002|BESS-DRW-017","True","PROJECT_MANAGER","ISO_19111|DNV_RP_0585"
"BESS-004","site","Tipo de instalacion (interior/exterior)","Indica si el BESS se ubica a intemperie o dentro de un edificio.","enum","-","INDOOR|OUTDOOR","","","0","PROJECT_MANDATORY","FEASIBILITY","","True","Memoria descriptiva / layout","Palabras clave: indoor, outdoor, indoor/outdoor","BESS-C-013","BESS-DRW-001|BESS-DRW-003","True","PROJECT_MANAGER","IEC_62933_1|IEC_62933_2_1|IEC_62933_5_1|IEC_62933_5_2|UL_9540|UL_9540A|NFPA_855_2023|DNV_RP_0585"
"BESS-005","site","Temperatura ambiente minima de diseno","Temperatura ambiente minima en regimen permanente para dimensionar HVAC y parametros de bateria.","float","degC","[-50,55]","-50.0","55.0","1","PROJECT_MANDATORY","FEASIBILITY","","True","Estudio meteorologico (NASA POWER/DNV)","Numero con signo y unidad","BESS-C-013|BESS-C-014|BESS-C-028","BESS-DRW-011|BESS-DRW-003","True","PROCESS_ENGINEER","DNV_RP_C205|NASA_POWER|NFPA_855_2023"
"BESS-006","site","Temperatura ambiente maxima de diseno","Temperatura ambiente maxima en regimen permanente para dimensionar HVAC.","float","degC","[-50,55]","-50.0","55.0","1","PROJECT_MANDATORY","FEASIBILITY","","True","Estudio meteorologico","Numero con signo y unidad","BESS-C-013|BESS-C-014","BESS-DRW-011|BESS-DRW-003","True","PROCESS_ENGINEER","DNV_RP_C205|NASA_POWER|NFPA_855_2023"
"BESS-007","cell","Quimica de celda","Quimica de la celda: LFP, NMC, NCA, LCO, LTO u otra.","enum","-","LFP|NMC|NCA|LCO|LTO","","","0","TECHNOLOGY_MANDATORY","PRELIMINARY","","True","Datasheet del fabricante de celdas","Buscar LFP, NMC, NCA, LCO, LTO, lithium iron phosphate","BESS-C-001|BESS-C-004|BESS-C-010|BESS-C-011","BESS-DRW-005|BESS-DRW-006","True","BATTERY_ENGINEER","IEC_62619|IEC_62660_1|IEC_62660_2|IEC_62660_3|IEC_62897|UL_1973|UL_9540|UL_9540A|DNV_RP_0585"
"BESS-008","cell","Capacidad nominal de celda (Ah)","Capacidad electrica nominal de la celda a 1C descarga en Ah.","float","Ah","[1,1000]","1.0","1000.0","2","TECHNOLOGY_MANDATORY","PRELIMINARY","","True","Datasheet de celda (IEC 62660-1 condiciones)","Numero seguido de Ah","BESS-C-004|BESS-C-007|BESS-C-008|BESS-C-009","BESS-DRW-005|BESS-DRW-006","True","BATTERY_ENGINEER","IEC_62619|IEC_62660_1|IEC_62660_2|IEC_62660_3|IEC_62897|UL_1973|UL_9540|UL_9540A|DNV_RP_0585"
"BESS-009","cell","Tension nominal de celda","Tension nominal de la celda (Vnom) en voltios.","float","V","[2.0,5.0]","2.0","5.0","3","TECHNOLOGY_MANDATORY","PRELIMINARY","","True","Datasheet de celda","Numero con 2-3 decimales seguido de V","BESS-C-001|BESS-C-007|BESS-C-008|BESS-C-009","BESS-DRW-005|BESS-DRW-006","True","BATTERY_ENGINEER","IEC_62619|IEC_62660_1|IEC_62660_2|IEC_62660_3|IEC_62897|UL_1973|UL_9540|UL_9540A|DNV_RP_0585"
"BESS-010","cell","Tension maxima de celda (Vmax)","Tension maxima de carga 100% SOC de la celda.","float","V","[2.5,5.5]","2.5","5.5","3","TECHNOLOGY_MANDATORY","PRELIMINARY","","True","Datasheet de celda","Vmax charge","BESS-C-001|BESS-C-007|BESS-C-008","BESS-DRW-005|BESS-DRW-006","True","BATTERY_ENGINEER","IEC_62619|IEC_62660_1|IEC_62660_2|IEC_62660_3|IEC_62897|UL_1973|UL_9540|UL_9540A|DNV_RP_0585"
