field_id,category,name_es,description,data_type,unit,allowed_values,min_value,max_value,precision,requirement_class,required_from_stage,conditional_expression,prohibited_default,expected_source_document,extraction_hints,used_by_calculation_ids,used_by_drawing_ids,blocking_if_missing,review_role,source_ids
H2-001,electrolysis,electrolyzer_type,Tipo de electrólisis,enum,-,AEL|PEM|SOEC|AEM,,,,PROJECT_MANDATORY,FEASIBILITY,true,,,Electrolyzer datasheet,electrolyzer type,H2-C-001;H2-C-002,H2-DRW-003;H2-DRW-004,true,PROCESS_ENGINEER
H2-002,electrolysis,stack_count,Número de stacks,integer,-,-,1,500,1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Electrolyzer datasheet,stack count,H2-C-001,H2-DRW-003;H2-DRW-004,true,PROCESS_ENGINEER,IEC_62282_2
H2-003,electrolysis,stacks_per_skid,Stacks por skid,integer,-,-,1,20,1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Electrolyzer datasheet,stacks per skid,H2-C-001,H2-DRW-003,true,PROCESS_ENGINEER,IEC_62282_2
H2-004,electrolysis,current_density_a_cm2,Densidad de corriente,number,A/cm2,-,0.1,5,0.001,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Electrolyzer datasheet,current density,H2-C-001,H2-DRW-004,true,PROCESS_ENGINEER,IEC_62282_2
H2-005,electrolysis,cell_voltage_v,Voltaje de celda,number,V,-,1.4,2.5,0.001,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Electrolyzer datasheet,cell voltage,H2-C-001,H2-DRW-004,true,PROCESS_ENGINEER,IEC_62282_2
H2-006,electrolysis,faraday_efficiency_pct,Eficiencia Faraday,number,percent,-,80,100,0.1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Electrolyzer datasheet,Faraday efficiency,H2-C-001,H2-DRW-004,true,PROCESS_ENGINEER,IEC_62282_2
H2-007,electrolysis,voltage_efficiency_pct,Eficiencia voltaje,number,percent,-,50,90,0.1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Electrolyzer datasheet,voltage efficiency,H2-C-001,H2-DRW-004,true,PROCESS_ENGINEER,IEC_62282_2
H2-008,electrolysis,energy_consumption_kwh_kg_h2,Consumo de energía,number,kWh/kg H2,-,40,80,0.01,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Electrolyzer datasheet,energy consumption,H2-C-002,H2-DRW-004,true,PROCESS_ENGINEER,IEC_62282_2
H2-009,electrolysis,dc_voltage_v,Voltaje DC bus,number,V DC,-,100,1500,1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Rectifier specification,DC voltage,H2-C-015,H2-DRW-004;H2-DRW-009,true,ELECTRICAL_ENGINEER,IEC_62282_2
H2-010,electrolysis,dc_current_a,Corriente DC,number,A DC,-,100,30000,1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Rectifier specification,DC current,H2-C-015,H2-DRW-004;H2-DRW-009,true,ELECTRICAL_ENGINEER,IEC_62282_2
H2-011,electrolysis,stack_power_kw,Potencia de stack,number,kW DC,-,10,50000,0.1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Electrolyzer datasheet,stack power,H2-C-001;H2-C-015,H2-DRW-004,true,ELECTRICAL_ENGINEER,IEC_62282_2
H2-012,electrolysis,water_consumption_l_kg_h2,Consumo de agua,number,L/kg H2,-,8,15,0.1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Water balance,water consumption,H2-C-003,H2-DRW-005,true,PROCESS_ENGINEER,IEC_62282_2
H2-013,electrolysis,electrolyte_koh_concentration_pct,Concentración KOH,number,percent,AEL,20,40,0.1,CONDITIONAL,BASIC_ENGINEERING,electrolyzer_type == AEL,,Electrolyte specification,KOH concentration,H2-C-001,H2-DRW-004,false,PROCESS_ENGINEER,IEC_62282_2
H2-014,electrolysis,catalyst_platinum_loading_mg_cm2,Carga de Pt,number,mg/cm2,PEM,0.1,5,0.01,CONDITIONAL,BASIC_ENGINEERING,electrolyzer_type == PEM,,Catalyst datasheet,Pt loading,H2-C-001,H2-DRW-004,false,PROCESS_ENGINEER,IEC_62282_2
H2-015,electrolysis,h2_production_nm3_h,Producción de H2,number,Nm3/h H2,-,1,100000,0.1,DERIVABLE,BASIC_ENGINEERING,true,,Production calculation,H2 production,H2-C-001;H2-C-002,H2-DRW-003;H2-DRW-004,false,PROCESS_ENGINEER,IEC_62282_2
H2-016,water,water_quality_tds_ppm,TDS agua,number,ppm,-,0,0.5,0.01,PROJECT_MANDATORY,FEASIBILITY,true,,Water quality analysis,TDS,H2-C-003,H2-DRW-005,true,PROCESS_ENGINEER,ASTM_D638
H2-017,water,water_quality_type,Tipo de calidad de agua,enum,-,Type_I|Type_II|Type_III,,,,PROJECT_MANDATORY,FEASIBILITY,true,,,Water quality analysis,water type,H2-C-003,H2-DRW-005,true,PROCESS_ENGINEER
H2-018,water,water_treatment_capacity_m3_h,Capacidad tratamiento agua,number,m3/h,-,0.1,1000,0.1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Water treatment specification,treatment capacity,H2-C-003,H2-DRW-005,true,PROCESS_ENGINEER,ASTM_D638
H2-019,water,cooling_water_consumption_m3_h,Consumo de agua de enfriamiento,number,m3/h,-,1,5000,0.1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Cooling water study,cooling water,H2-C-003,H2-DRW-003,true,PROCESS_ENGINEER,MINAM_DS_019_2009
H2-020,water,makeup_water_source,Fuente de agua de reposición,enum,-,municipal|well|river|sea|other,,,,PROJECT_MANDATORY,FEASIBILITY,true,,,Water source study,makeup source,H2-C-003,H2-DRW-005,true,PROCESS_ENGINEER
H2-021,compression,compressor_type,Tipo de compresor,enum,-,reciprocating|screw|diaphragm|ionic_liquid|hydride,,,,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,,Compressor specification,compressor type,H2-C-004,H2-DRW-006,true,PROCESS_ENGINEER
H2-022,compression,discharge_pressure_bar,Presión de descarga,number,bar,gauge,30,1000,0.1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Compressor specification,discharge pressure,H2-C-004,H2-DRW-006,true,PROCESS_ENGINEER,ASME_B31_3_2022
H2-023,compression,isothermal_efficiency_pct,Eficiencia isotérmica,number,percent,-,40,80,0.1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Compressor datasheet,isothermal efficiency,H2-C-004,H2-DRW-006,true,PROCESS_ENGINEER,ASME_PTC_10
H2-024,compression,number_of_stages,Número de etapas,integer,-,-,1,7,1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Compressor specification,number of stages,H2-C-004,H2-DRW-006,true,PROCESS_ENGINEER,ASME_PTC_10
H2-025,compression,intercooler_temperature_c,Temperatura intercooler,number,degree C,-,20,60,1,CONDITIONAL,BASIC_ENGINEERING,number_of_stages > 1,,Compressor specification,intercooler temp,H2-C-004,H2-DRW-006,false,PROCESS_ENGINEER,IAPWS_IF97
H2-026,compression,compressor_power_kw,Potencia del compresor,number,kW,-,1,50000,0.1,DERIVABLE,BASIC_ENGINEERING,true,,Compressor specification,compressor power,H2-C-004,H2-DRW-006,false,MECHANICAL_ENGINEER,ASME_PTC_10
H2-027,compression,suction_pressure_bar,Presión de succión,number,bar,gauge,1,30,0.1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Compressor specification,suction pressure,H2-C-004,H2-DRW-006,true,PROCESS_ENGINEER,ASME_B31_3_2022
H2-028,compression,cooled_h2_temperature_c,Temperatura H2 enfriado,number,degree C,-,0,80,1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Cooler specification,cooled temp,H2-C-004,H2-DRW-006,true,PROCESS_ENGINEER,IAPWS_IF97
H2-029,drying,dryer_type,Tipo de secador,enum,-,desiccant|refrigeration|membrane,,,,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,,Dryer specification,dryer type,H2-C-005,H2-DRW-006,true,PROCESS_ENGINEER
H2-030,drying,dew_point_c,Punto de rocío H2,number,degree C,-,0,-80,1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Dryer specification,dew point,H2-C-005,H2-DRW-006,true,PROCESS_ENGINEER,NFPA_853_2023
H2-031,drying,dryer_capacity_nm3_h,Capacidad secador,number,Nm3/h,-,1,100000,0.1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Dryer specification,dryer capacity,H2-C-005,H2-DRW-006,true,PROCESS_ENGINEER,NFPA_853_2023
H2-032,drying,regeneration_method,Método de regeneración,enum,-,heat_reactivated|heatless|combination,,,,CONDITIONAL,BASIC_ENGINEERING,dryer_type == desiccant,,,Dryer specification,regeneration,H2-C-005,H2-DRW-006,false,PROCESS_ENGINEER
H2-033,storage,storage_type,Tipo de almacenamiento,enum,-,cylinder_type_I|cylinder_type_II|cylinder_type_III|cylinder_type_IV|tube_trailer|liquid_h2|salt_cavern|ammonia_carrier|LOHC|methanol,,,,PROJECT_MANDATORY,FEASIBILITY,true,,,Storage selection study,storage type,H2-C-007,H2-DRW-007,true,PROCESS_ENGINEER
H2-034,storage,storage_volume_m3,Volumen de almacenamiento,number,m3,-,0.1,100000,0.1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Storage specification,storage volume,H2-C-007,H2-DRW-007,true,PROCESS_ENGINEER,ASME_BPVC_VIII_1_2023
H2-035,storage,storage_pressure_bar,Presión de almacenamiento,number,bar,gauge,1,900,0.1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Storage specification,storage pressure,H2-C-007,H2-DRW-007,true,PROCESS_ENGINEER,ASME_BPVC_VIII_1_2023
H2-036,storage,cylinder_count,Número de cilindros,integer,-,-,1,500,1,CONDITIONAL,BASIC_ENGINEERING,"storage_type in [cylinder_type_I,cylinder_type_II,cylinder_type_III,cylinder_type_IV]",,Storage specification,cylinder count,H2-C-007,H2-DRW-007,false,PROCESS_ENGINEER,ASME_BPVC_VIII_1_2023
H2-037,storage,tube_trailer_capacity_kg,Capacidad tube trailer,number,kg H2,-,100,1500,1,CONDITIONAL,BASIC_ENGINEERING,storage_type == tube_trailer,,Tube trailer specification,tube trailer capacity,H2-C-007,H2-DRW-007,false,PROCESS_ENGINEER,NFPA_853_2023
H2-038,storage,liquid_h2_boil_off_pct_day,Tasa de boil-off LH2,number,percent/day,-,0.1,5,0.01,CONDITIONAL,BASIC_ENGINEERING,storage_type == liquid_h2,,LH2 specification,boil-off rate,H2-C-007,H2-DRW-007,false,PROCESS_ENGINEER,NFPA_853_2023
H2-039,storage,salt_cavern_working_capacity_kg,Capacidad operativa caverna,number,kg H2,-,1000,100000000.0,1,CONDITIONAL,BASIC_ENGINEERING,storage_type == salt_cavern,,Cavern specification,cavern capacity,H2-C-007,H2-DRW-007,false,PROCESS_ENGINEER,API_1104_2021
H2-040,storage,ammonia_synthesis_capacity_ton_d,Capacidad síntesis NH3,number,ton NH3/day,-,1,2000,1,CONDITIONAL,BASIC_ENGINEERING,storage_type == ammonia_carrier,,NH3 plant specification,NH3 capacity,H2-C-007,H2-DRW-016,false,PROCESS_ENGINEER,ASME_B31_3_2022
H2-041,piping,pipe_material_class,Clase de material de tubería,enum,-,carbon_steel|austenitic_SS_316L|duplex_2205|aluminum_6061|polymer_lined|FRP|austenitic_SS_304L,,,,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,,Material selection study,pipe material,H2-C-009;H2-C-011,H2-DRW-006;H2-DRW-008,true,PROCESS_ENGINEER
H2-042,piping,pipe_diameter_mm,Diámetro de tubería,number,mm,-,5,500,0.1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Piping specification,pipe diameter,H2-C-009;H2-C-011,H2-DRW-006;H2-DRW-008,true,PROCESS_ENGINEER,ASME_B31_3_2022
H2-043,piping,pipe_wall_thickness_mm,Espesor de pared,number,mm,-,1,30,0.1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Piping specification,wall thickness,H2-C-009,H2-DRW-006;H2-DRW-008,true,PROCESS_ENGINEER,ASME_B31_3_2022
H2-044,piping,pipe_pressure_rating_class,Clase de presión,enum,-,150|300|600|900|1500|2500,,,,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,,Piping specification,pressure class,H2-C-009,H2-DRW-006;H2-DRW-008,true,PROCESS_ENGINEER
H2-045,piping,h2_velocity_ms,Velocidad H2,number,m/s,-,1,30,0.1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Piping specification,velocity,H2-C-011,H2-DRW-008,true,PROCESS_ENGINEER,ASME_B31_3_2022
H2-046,piping,pipe_max_pressure_drop_bar,Pérdida de carga máxima,number,bar,-,0.01,10,0.001,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Piping specification,pressure drop,H2-C-011,H2-DRW-008,true,PROCESS_ENGINEER,ASME_B31_3_2022
H2-047,piping,nace_compliance,Cumplimiento NACE,boolean,-,true|false,,,,CONDITIONAL,DETAILED_ENGINEERING,ultimate_sulfur_daf_pct > 0.05,,false,Material test report,NACE,H2-C-011,H2-DRW-006;H2-DRW-008,true,PROCESS_ENGINEER
H2-048,piping,he_susceptibility_test,Ensayo susceptibilidad HE,boolean,-,true|false,,,,CONDITIONAL,DETAILED_ENGINEERING,pipe_material_class contains carbon_steel,,false,Material test report,HE susceptibility,H2-C-011,H2-DRW-006,true,PROCESS_ENGINEER
H2-049,hazards,area_classification_zone,Clasificación de área,enum,-,Zone_0|Zone_1|Zone_2|non_hazardous,,,,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,,Area classification study,zone class,H2-C-012,H2-DRW-012,true,SAFETY_ENGINEER
H2-050,hazards,gas_group,Grupo de gas,enum,-,IIA|IIB|IIC,,,,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,,Area classification study,gas group,H2-C-012,H2-DRW-012,true,SAFETY_ENGINEER
H2-051,hazards,temperature_class,Clase de temperatura,enum,-,T1|T2|T3|T4|T5|T6,,,,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,,Area classification study,temperature class,H2-C-012,H2-DRW-012,true,SAFETY_ENGINEER
H2-052,hazards,ex_protection_method,Método de protección Ex,enum,-,Ex_d|Ex_e|Ex_ia|Ex_ib|Ex_nA|Ex_p|Ex_m|Ex_o|Ex_q,,,,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,,Area classification study,Ex method,H2-C-012,H2-DRW-012,true,ELECTRICAL_ENGINEER
H2-053,safety,h2_detection_sensor_count,Número de detectores H2,integer,-,-,1,500,1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Detection layout,H2 sensor count,H2-C-012,H2-DRW-015,true,SAFETY_ENGINEER,IEC_60079_29_1
H2-054,safety,h2_detection_setpoint_pct_lel,Setpoint H2 LEL,number,percent LEL,-,5,25,1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Detection specification,H2 LEL,H2-C-012,H2-DRW-015,true,SAFETY_ENGINEER,IEC_60079_29_1
H2-055,safety,vent_stack_height_m,Altura venteo,number,m,-,3,50,0.1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Vent specification,vent stack height,H2-C-013,H2-DRW-010,true,SAFETY_ENGINEER,API_521
H2-056,safety,vent_stack_velocity_ms,Velocidad venteo,number,m/s,-,20,200,0.1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Vent specification,vent velocity,H2-C-013,H2-DRW-010,true,SAFETY_ENGINEER,API_521
H2-057,safety,flare_type,Tipo de antorcha,enum,-,enclosed|open,,,,CONDITIONAL,BASIC_ENGINEERING,true,,,Flare specification,flare type,H2-C-013,H2-DRW-011,true,SAFETY_ENGINEER
H2-058,safety,flare_capacity_kg_h,Capacidad de antorcha,number,kg/h H2,-,1,50000,1,CONDITIONAL,BASIC_ENGINEERING,flare_type != null,,Flare specification,flare capacity,H2-C-013,H2-DRW-011,false,SAFETY_ENGINEER,API_521
H2-059,safety,esd_present,Sistema ESD,boolean,-,true|false,,,,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,false,ESD philosophy,ESD system,H2-C-014,H2-DRW-015,true,SAFETY_ENGINEER
H2-060,safety,sil_target_level,Nivel SIL objetivo,enum,-,SIL1|SIL2|SIL3|SIL4,SIL1,SIL4,,CONDITIONAL,BASIC_ENGINEERING,true,,,SIL study,SIL target,H2-C-014,H2-DRW-015,true,SAFETY_ENGINEER
H2-061,safety,hazop_complete,HAZOP completo,boolean,-,true|false,,,,PROJECT_MANDATORY,DETAILED_ENGINEERING,true,,false,HAZOP report,HAZOP,H2-C-014,-,true,SAFETY_ENGINEER
H2-062,safety,sil_verified,SIL verificado,boolean,-,true|false,,,,PROJECT_MANDATORY,DETAILED_ENGINEERING,true,,false,SIL verification report,SIL verified,H2-C-014,-,true,SAFETY_ENGINEER
H2-063,safety,esd_response_time_ms,Tiempo de respuesta ESD,number,ms,-,10,1000,1,PROJECT_MANDATORY,DETAILED_ENGINEERING,true,,ESD specification,ESD response,H2-C-014,H2-DRW-015,true,SAFETY_ENGINEER,IEC_61511_1
H2-064,electric,total_power_kw,Potencia total,number,kW,-,10,200000,1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Power balance,total power,H2-C-015,H2-DRW-009,true,ELECTRICAL_ENGINEER,IEC_62282_8_201
H2-065,electric,rectifier_efficiency_pct,Eficiencia rectificador,number,percent,-,90,99,0.1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Rectifier specification,rectifier efficiency,H2-C-015,H2-DRW-009,true,ELECTRICAL_ENGINEER,IEC_62282_8_201
H2-066,electric,transformer_rated_power_kva,Potencia transformador,number,kVA,-,10,200000,1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Transformer specification,transformer power,H2-C-015,H2-DRW-009,true,ELECTRICAL_ENGINEER,IEC_62282_8_201
H2-067,electric,grid_interconnection_voltage_kv,Tensión de interconexión,number,kV,-,0.4,500,0.001,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Grid study,grid voltage,H2-C-015,H2-DRW-009,true,ELECTRICAL_ENGINEER,IEEE_1547_2018
H2-068,electric,pcc_id,Identificador PCC,string,-,PCC code,,,,PROJECT_MANDATORY,FEASIBILITY,true,,,Grid study,PCC,H2-C-015,H2-DRW-009,true,ELECTRICAL_ENGINEER
H2-069,environment,water_extraction_permit,Permiso uso de agua,boolean,-,true|false,,,,CONDITIONAL,BASIC_ENGINEERING,true,,false,ANA permit,water permit,H2-C-003,H2-DRW-005,true,ENVIRONMENTAL_LEAD
H2-070,environment,eia_classification,Categoría EIA,enum,-,I|II|III|DIA|EIA-d|EIA-sd,I,EIA-sd,,PROJECT_MANDATORY,FEASIBILITY,true,,,EIA study,EIA category,H2-C-013,-,true,ENVIRONMENTAL_LEAD
H2-071,environment,h2_emission_vent_kg_year,Emisión H2 venteo,number,kg/year,-,0,100000,1,DERIVABLE,BASIC_ENGINEERING,true,,Emission study,H2 emission,H2-C-013,-,false,ENVIRONMENTAL_LEAD,MINAM_DS_019_2009
H2-072,environment,fire_water_demand_m3_h,Demanda agua contra incendios,number,m3/h,-,0,2000,0.1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,Fire water calculation,fire water,H2-C-014,H2-DRW-015,true,SAFETY_ENGINEER,NFPA_13_2022
H2-073,control,scada_architecture,Arquitectura SCADA,enum,-,CENTRALIZED|DISTRIBUTED|HIERARCHICAL|CLOUD_HYBRID,CENTRALIZED,CLOUD_HYBRID,,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,,Control philosophy,SCADA arch,H2-C-014,H2-DRW-013,true,CONTROL_ENGINEER
H2-074,control,cybersecurity_zone,Zona ciberseguridad,enum,-,ZONES_2_4|ZONES_3_4|ZONES_4,ZONES_2_4,ZONES_4,,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,,Cybersecurity plan,cyber zone,H2-C-014,H2-DRW-013,true,CONTROL_ENGINEER
H2-075,control,comm_protocol,Protocolo de comunicación,enum,-,IEC_60870-5-104|IEC_61850|MODBUS_TCP|DNP3|OPC_UA,IEC_60870-5-104,OPC_UA,,PROJECT_MANDATORY,BASIC_ENGINEERING,true,,,Control philosophy,comm protocol,H2-C-014,H2-DRW-013,true,CONTROL_ENGINEER
