drawing_id,technology,discipline,title_es,purpose,applicability_expression,minimum_project_stage,required_field_ids,required_calculation_ids,required_geometry_rule_ids,required_views,required_tables,required_symbol_ids,preferred_sheet_formats,preferred_scales,required_layers,mandatory_annotations,cross_references,qa_rule_ids,release_blockers,source_ids
H2-DRW-001,HYDROGEN,CIVIL,Plano de ubicación,Localización del proyecto,always,PRE_FEASIBILITY,H2-001;H2-068,H2-C-001,H2-GR-001,PLAN,PROJECT_INFO,SYM-CIV-001,A1,1:5000,GEN-ALL-BORDER,"Project name, location",-,H2-QA-001,-,RNE_DS_011_2006
H2-DRW-002,HYDROGEN,CIVIL,Plano de implantación,Distribución de equipos,always,BASIC_ENGINEERING,H2-001;H2-002;H2-011,H2-C-001,H2-GR-001,PLAN,EQUIPMENT_LIST,SYM-CIV-001,A0,1:500,CIV-ALL-TOPO-EXISTING,"Project name, scale",H2-DRW-001,H2-QA-002,-,RNE_DS_011_2006
H2-DRW-003,HYDROGEN,PROC,Plano de sala de electrólisis,Layout electrólisis,always,BASIC_ENGINEERING,H2-001;H2-002;H2-003;H2-011,H2-C-001,H2-GR-001;H2-GR-002,PLAN;ELEV,ELECTROLYZER_SPEC,SYM-H2-001,A1,1:100,PROC-H2-ELECTROLYZER,Electrolyzer type,H2-DRW-002,H2-QA-003,-,IEC_62282_2
H2-DRW-004,HYDROGEN,PROC,P&ID electrólisis,Diagrama P&ID electrólisis,always,DETAILED_ENGINEERING,H2-001;H2-005;H2-006;H2-007;H2-008,H2-C-001;H2-C-002;H2-C-027,H2-GR-001,P&ID,BALANCE,SYM-PROC-005;SYM-PROC-007;SYM-PROC-008,A1,1:50,PROC-ALL-PIPE-MAIN,"Tag, line numbers",H2-DRW-003,H2-QA-004,-,IEC_62282_2;ISO_14617
H2-DRW-005,HYDROGEN,PROC,P&ID tratamiento de agua,Diagrama P&ID agua,always,DETAILED_ENGINEERING,H2-012;H2-016;H2-018,H2-C-003,H2-GR-003,P&ID,WATER_BALANCE,SYM-PROC-005;SYM-PROC-007,A1,1:50,PROC-ALL-PIPE-MAIN,"Tag, line numbers",H2-DRW-004,H2-QA-005,-,ASTM_D638;ISO_14617
H2-DRW-006,HYDROGEN,PROC,P&ID compresión y secado,Diagrama P&ID compresión,always,DETAILED_ENGINEERING,H2-021;H2-022;H2-029;H2-030,H2-C-004;H2-C-005;H2-C-009,H2-GR-004,P&ID,COMPRESSOR_SPEC,SYM-PROC-005;SYM-PROC-007,A1,1:50,PROC-ALL-PIPE-MAIN,"Tag, line numbers",H2-DRW-004,H2-QA-006,-,ASME_B31_3_2022;ISO_14617
H2-DRW-007,HYDROGEN,PROC,P&ID almacenamiento,Diagrama P&ID almacenamiento,always,DETAILED_ENGINEERING,H2-033;H2-034;H2-035,H2-C-007,H2-GR-005,P&ID,STORAGE_SPEC,SYM-PROC-005;SYM-PROC-008,A1,1:50,PROC-ALL-PIPE-MAIN,"Tag, line numbers",H2-DRW-004,H2-QA-007,-,ASME_BPVC_VIII_1_2023;ISO_14617
H2-DRW-008,HYDROGEN,PROC,P&ID tuberías H2,Diagrama P&ID tuberías H2,always,DETAILED_ENGINEERING,H2-041;H2-042;H2-043,H2-C-009;H2-C-011;H2-C-019,H2-GR-018,P&ID,PIPING_SPEC,SYM-PROC-005;SYM-PROC-011;SYM-PROC-012,A1,1:50,PROC-ALL-PIPE-MAIN,"Tag, line numbers",H2-DRW-004,H2-QA-008,-,ASME_B31_3_2022;ISO_14617
H2-DRW-009,HYDROGEN,ELEC,Diagrama unifilar SLD,Diagrama SLD,always,DETAILED_ENGINEERING,H2-064;H2-065;H2-066;H2-067,H2-C-015,H2-GR-015;H2-GR-016;H2-GR-017,SLD,ELECTRICAL_SPEC,SYM-ELEC-004;SYM-ELEC-005;SYM-ELEC-013,A1,1:100,ELEC-ALL-SLD,"Voltage, capacity",H2-DRW-002,H2-QA-009,-,IEEE_1547_2018
H2-DRW-010,HYDROGEN,SAFE,Plano de venteo,Layout venteo,always,DETAILED_ENGINEERING,H2-055;H2-056,H2-C-013;H2-C-024,H2-GR-010,PLAN;ELEV,VENT_SPEC,SYM-PROC-008,A1,1:100,PROC-H2-VENT,Vent stack height,H2-DRW-002,H2-QA-010,-,API_521
H2-DRW-011,HYDROGEN,SAFE,Plano de antorcha,Layout antorcha,flare_type != null,DETAILED_ENGINEERING,H2-057;H2-058,H2-C-013;H2-C-025,H2-GR-011,PLAN;ELEV,FLARE_SPEC,SYM-PROC-008,A1,1:100,PROC-H2-FLARE,"Flare type, capacity",H2-DRW-002,H2-QA-011,-,API_521
H2-DRW-012,HYDROGEN,SAFE,Clasificación de áreas,Plan de áreas peligrosas,always,DETAILED_ENGINEERING,H2-049;H2-050;H2-051;H2-052,H2-C-012,H2-GR-018,PLAN,AREA_CLASSIFICATION,SYM-MISC-001;SYM-MISC-002,A1,1:200,GEN-ALL-HATCH-CONCRETE,"Zone class, gas group",H2-DRW-002,H2-QA-012,-,IEC_60079_10_1;NFPA_497_2024
H2-DRW-013,HYDROGEN,INST,Arquitectura de control,Layout SCADA,always,DETAILED_ENGINEERING,H2-073;H2-074;H2-075,H2-C-014,H2-GR-012;H2-GR-013,PLAN,CONTROL_SPEC,SYM-INST-001;SYM-INST-002;SYM-INST-003,A1,1:200,INST-ALL-INSTRUMENT,Protocols,H2-DRW-009,H2-QA-013,-,IEC_61511_1
H2-DRW-014,HYDROGEN,FIRE,Layout de detección de gas,Layout detectores H2,always,DETAILED_ENGINEERING,H2-053;H2-054,H2-C-012;H2-C-014,H2-GR-013,PLAN,GAS_DETECTION_SPEC,SYM-FIRE-005,A1,1:100,FIRE-ALL-DETECTOR-GAS,Detector positions,H2-DRW-002,H2-QA-014,-,IEC_60079_29_1;NFPA_853_2023
H2-DRW-015,HYDROGEN,SAFE,Layout de ESD,Layout ESD,always,DETAILED_ENGINEERING,H2-059;H2-060;H2-061;H2-062;H2-063,H2-C-014,H2-GR-012,PLAN,ESD_SPEC,SYM-FIRE-008,A1,1:100,FIRE-ALL-ESD,ESD cabinet,H2-DRW-002,H2-QA-015,-,IEC_61511_1
H2-DRW-016,HYDROGEN,PROC,Síntesis NH3 (si aplica),Layout síntesis NH3,storage_type == ammonia_carrier,DETAILED_ENGINEERING,H2-040,H2-C-010,H2-GR-007,PLAN,NH3_SPEC,SYM-PROC-005;SYM-PROC-008,A1,1:100,PROC-ALL-PIPE-MAIN,NH3 capacity,H2-DRW-002,H2-QA-016,-,ASME_B31_3_2022
H2-DRW-017,HYDROGEN,ALL,As-built,Planos finales,always,AS_BUILT,BESS-001,BESS-C-001,H2-GR-001,ALL,ALL,SYM-COM-AS-BUILT-STAMP;SYM-COM-LEGEND;SYM-COM-LPS,-,-,C-SCADA|C-COMM,-,-,H2-QA-001,ISO_19650_2,-
