drawing_id,technology,discipline,title_es,purpose,applicability_expression,minimum_project_stage,required_field_ids,required_calculation_ids,required_geometry_rule_ids,required_views,required_tables,required_symbol_ids,preferred_sheet_formats,preferred_scales,required_layers,mandatory_annotations,cross_references,qa_rule_ids,release_blockers,source_ids
MG-DRW-001,14_hybrid_microgrid,MULTI,Plot plan de la microrred,"Vista en planta del emplazamiento microrred con areas PV/wind/hydro/biomass/geothermal, BESS, PCC, subestacion, caminos y cerca.",technology == '14_hybrid_microgrid',PRELIMINARY,MG-001;MG-002;MG-003;MG-008;MG-018;MG-101;MG-102;MG-104;MG-105;MG-106;MG-107;MG-108;MG-109;MG-110;MG-148;MG-147,MG-C-004;MG-C-007;MG-C-038,MG-GR-001;MG-GR-019;MG-GR-022,PLANT_VIEW|LEGEND|NORTH,EQUIPMENT_LIST|COORDINATE_TABLE|SEPARATION_TABLE,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1|A0,1:200|1:500,C-SCADA|C-COMM,Project name|Coordinates|Scale|NFPA 855 separation,MG-DRW-002|MG-DRW-008|MG-DRW-017,MG-QA-001;MG-QA-008;MG-QA-020;MG-QA-024,NFPA_855_separation_violation,ISO_5457|ISO_7200|ISO_19111|NFPA_855_2023|DNV_RP_0585|ISO_5455|ISO_13567_1
MG-DRW-002,14_hybrid_microgrid,MULTI,Implantacion (Setting out),Plano de implantacion con coordenadas UTM de cada equipo.,technology == '14_hybrid_microgrid',BASIC_DESIGN,MG-002;MG-003;MG-101;MG-102;MG-104;MG-105;MG-106;MG-107;MG-108;MG-005,MG-C-038;MG-C-036,MG-GR-001;MG-GR-008;MG-GR-009;MG-GR-021,PLANT_VIEW|COORDINATE_TABLE|SECTION,COORDINATE_TABLE|FOUNDATION_TABLE,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:100|1:200,C-SCADA|C-COMM,Coordinates|Elevations|Foundation type,MG-DRW-001|MG-DRW-015,MG-QA-002;MG-QA-003,Coordinate_out_of_site,ISO_19111|ISO_5457|ISO_7200|DNV_RP_0585|RNE_DS_011_2006
MG-DRW-003,14_hybrid_microgrid,MULTI,Diagrama unilineal de la microrred (SLD),"SLD con todos los recursos, PCC, transformadores, BESS, generadores,保护和 medidores.",technology == '14_hybrid_microgrid',BASIC_DESIGN,MG-004;MG-018;MG-101;MG-102;MG-103;MG-104;MG-105;MG-106;MG-107;MG-108;MG-109;MG-110;MG-112;MG-113;MG-114;MG-069;MG-070;MG-083;MG-091;MG-092;MG-093;MG-126;MG-127,MG-C-004;MG-C-007;MG-C-034;MG-C-035,MG-GR-008;MG-GR-010;MG-GR-023,SLD_AC|DETAIL_PCC|DETAIL_PROTECTION,EQUIPMENT_LIST|PROTECTION_TABLE|METERING_TABLE,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1|A0,1:50|NTS,C-SCADA|C-COMM,Voltajes|Capacidades|IEEE 1547 compliance,MG-DRW-004|MG-DRW-005|MG-DRW-006|MG-DRW-007|MG-DRW-008|MG-DRW-009|MG-DRW-012,MG-QA-004;MG-QA-005;MG-QA-011;MG-QA-013;MG-QA-021,IEEE_1547_non_compliant,IEEE_1547_2018|IEEE_C2_2023|NFPA_70_2023|IEC_62548|DNV_RP_0585|ISO_10628
MG-DRW-004,14_hybrid_microgrid,MULTI,Diagrama del PCC,"Detalle del PCC: breaker, sync check, medidores y proteccion anti-islanding.",technology == '14_hybrid_microgrid',BASIC_DESIGN,MG-109;MG-110;MG-111;MG-112;MG-085;MG-086;MG-088;MG-089;MG-091;MG-092;MG-093;MG-114;MG-060;MG-061,MG-C-022;MG-C-023;MG-C-024;MG-C-025;MG-C-034;MG-C-035,MG-GR-008;MG-GR-015,DETAIL_PCC|SCHEMATIC_SYNC_CHECK|DETAIL_ANTI_ISLANDING,PROTECTION_TABLE|SYNC_PARAM_TABLE,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A2|A1,1:25|NTS,C-SCADA|C-COMM,IEEE 1547 compliance|Sync parameters|Anti-islanding settings,MG-DRW-003|MG-DRW-010|MG-DRW-012,MG-QA-012;MG-QA-014;MG-QA-016;MG-QA-019;MG-QA-021,Anti_islanding_missing|Sync_check_missing,IEEE_1547_2018|IEEE_1547_4|IEEE_1547_1|IEC_62116|UL_1741|COES_Proyectos_Conexion|DNV_RP_0585|ISO_10628
MG-DRW-005,14_hybrid_microgrid,MULTI,SLD subsystem PV,"Diagrama unilineal del subsystem fotovoltaico: strings, inversores, switchgear.",technology == '14_hybrid_microgrid',BASIC_DESIGN,MG-101;MG-011;MG-021;MG-069;MG-070;MG-110,MG-C-004;MG-C-031,MG-GR-002;MG-GR-023,SLD_AC_PV|SLD_DC_PV|DETAIL_STRING,STRING_TABLE|INVERTER_TABLE,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1|A2,1:50|NTS,C-SCADA|C-COMM,PV power|Inverter rating|IEEE 1547 compliance,MG-DRW-003|MG-DRW-017,MG-QA-004;MG-QA-013,PV_inverter_non_compliant,IEC_62548|IEC_61215_1|IEC_61730_1|IEC_62894|UL_1741|IEEE_1547_2018|DNV_RP_0585
MG-DRW-006,14_hybrid_microgrid,MULTI,SLD subsystem BESS,"Diagrama unilineal del subsystem BESS: racks DC, PCS, switchgear AC.",technology == '14_hybrid_microgrid',BASIC_DESIGN,MG-102;MG-103;MG-069;MG-070;MG-072;MG-073;MG-074;MG-129;MG-110,MG-C-008;MG-C-009;MG-C-012;MG-C-016,MG-GR-003;MG-GR-023,SLD_AC_BESS|SLD_DC_BESS|DETAIL_PCS,BESS_RACK_TABLE|PCS_TABLE,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1|A2,1:50|NTS,C-SCADA|C-COMM,BESS power/energy|VSG/VSC|Grid-forming/following,MG-DRW-003|MG-DRW-015|MG-DRW-017,MG-QA-005;MG-QA-006;MG-QA-009;MG-QA-010,BESS_PCS_non_compliant,IEC_62933_2_1|IEC_62619|UL_9540|UL_9540A|UL_1741|IEEE_1547_2018|DNV_RP_0585
MG-DRW-007,14_hybrid_microgrid,MULTI,SLD subsystem Wind,"Diagrama unilineal del subsystem eolico: WT, transformador, switchgear.",technology == '14_hybrid_microgrid',BASIC_DESIGN,MG-104;MG-012;MG-110;MG-069;MG-070,MG-C-004;MG-C-031,MG-GR-004,SLD_AC_WIND|DETAIL_WT,WT_TABLE|XFR_TABLE,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1|A2,1:50|NTS,E-WIND-AC,WT power|Transformer rating|IEEE 1547 compliance,MG-DRW-003|MG-DRW-017,MG-QA-004;MG-QA-013,WT_IEEE_1547_non_compliant,IEC_61400_1|IEC_61400_21_1|IEC_61400_24|IEEE_1547_2018|DNV_RP_0585
MG-DRW-008,14_hybrid_microgrid,MULTI,SLD subsystem Hydro (si aplica),"Diagrama unilineal del subsystem hidro: turbina, generador, switchgear.",technology == '14_hybrid_microgrid',BASIC_DESIGN,MG-105;MG-013;MG-014;MG-110;MG-069;MG-070,MG-C-004,MG-GR-005,SLD_AC_HYDRO|DETAIL_TURBINE,TURBINE_TABLE|GEN_TABLE,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1|A2,1:50|NTS,E-HYDRO-AC,Turbine rating|Hydraulic data|IEEE 1547 compliance,MG-DRW-003|MG-DRW-017,MG-QA-004,Hydro_data_missing,IEC_60193|IEC_60041|IEC_62256|ICOLD_Bull_120|IEEE_1547_2018|DNV_RP_0585
MG-DRW-009,14_hybrid_microgrid,MULTI,PFD subsystem Biomass/Biogas/Geothermal (si aplica),Diagrama de flujo de procesos del subsystem de biomasa/biogas o geotermico.,technology == '14_hybrid_microgrid',BASIC_DESIGN,MG-015;MG-016;MG-017;MG-019;MG-020;MG-106;MG-107,MG-C-004;MG-C-007,MG-GR-006;MG-GR-007,PFD|DETAIL_REACTOR|DETAIL_GAS_HOLDER,PROCESS_TABLE|AEx_ZONE_TABLE,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1|A0,1:100|1:50,C-SCADA|C-COMM,PCI|AEx zones|Biogas production,MG-DRW-003|MG-DRW-017,MG-QA-018;MG-QA-019,AEx_zone_incomplete,ISO_22790|IEC_60079_0|IEC_60079_10_1|ASME_B31_3_2022|ASME_BPVC_VIII_1_2023|API_610_2024|IGA_BestPractices|MINEM_DS_032_2003|DNV_RP_0585|ISO_10628
MG-DRW-010,14_hybrid_microgrid,MULTI,Arquitectura de control,"Arquitectura de control jerarquica: field level, control level, EMS level, SCADA level.",technology == '14_hybrid_microgrid',BASIC_DESIGN,MG-041;MG-042;MG-043;MG-044;MG-045;MG-046;MG-047;MG-048;MG-049;MG-050;MG-051;MG-052;MG-139,MG-C-010;MG-C-011;MG-C-014;MG-C-015;MG-C-016,MG-GR-011;MG-GR-012;MG-GR-018,ARCH_DIAGRAM|DATA_FLOW|DETAIL_EMS,EMS_FUNCTION_TABLE|RESPONSE_TIME_TABLE,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1|A0,1:50|NTS,C-SCADA|C-COMM,EMS functions|Response time|Cyber zones,MG-DRW-011|MG-DRW-014|MG-DRW-015|MG-DRW-016,MG-QA-007;MG-QA-008;MG-QA-014;MG-QA-020;MG-QA-023,EMS_missing|Cyber_zone_missing,IEEE_2030_2|IEEE_1547_2018|IEC_61508_1|IEC_61511_1|DNV_RP_0585|ISO_10628
