layer_id,discipline,technology_scope,name_template,description,aci_color,rgb_color,lineweight_mm,linetype,plot_behavior,visible_scales,entity_types,source_ids
1,GEN,ALL,GEN-ALL-BORDER,Borde de plano,7,"0,0,0",1.5,CONTINUOUS,PLOT,ALL,LINE,ISO_5457;ISO_128_20
2,GEN,ALL,GEN-ALL-TITLEBLOCK,Cajetín del plano,7,"0,0,0",0.7,CONTINUOUS,PLOT,ALL,POLYLINE;TEXT,ISO_7200
3,GEN,ALL,GEN-ALL-VIEWPORT,Borde de viewport,7,"0,0,0",0.35,CONTINUOUS,NO_PLOT,ALL,POLYLINE,DXF_R2018
4,GEN,ALL,GEN-ALL-TEXT-NOTE,Notas generales,7,"0,0,0",0.18,CONTINUOUS,PLOT,ALL,TEXT,ISO_129_1
5,GEN,ALL,GEN-ALL-TEXT-TITLE,Títulos de plano,7,"0,0,0",0.5,CONTINUOUS,PLOT,ALL,TEXT,ISO_129_1
6,GEN,ALL,GEN-ALL-TEXT-SECTION,Encabezados de sección,7,"0,0,0",0.35,CONTINUOUS,PLOT,ALL,TEXT,ISO_129_1
7,GEN,ALL,GEN-ALL-GRID,Cuadrícula / ejes,8,"128,128,128",0.18,CENTER,PLOT,ALL,LINE;CIRCLE;TEXT,ISO_129_1
8,GEN,ALL,GEN-ALL-GRID-BUBBLE,Burbujas de ejes,7,"0,0,0",0.5,CONTINUOUS,PLOT,ALL,CIRCLE;TEXT,ISO_129_1
9,GEN,ALL,GEN-ALL-DIMENSION,Cotas lineales,3,"0,0,255",0.18,CONTINUOUS,PLOT,ALL,DIMENSION;TEXT,ISO_129_1
10,GEN,ALL,GEN-ALL-DIMENSION-ANGLE,Cotas angulares,3,"0,0,255",0.18,CONTINUOUS,PLOT,ALL,DIMENSION;TEXT,ISO_129_1
11,GEN,ALL,GEN-ALL-LEADER,Líneas de líder y llamadas,3,"0,0,255",0.18,CONTINUOUS,PLOT,ALL,LINE;TEXT,ISO_129_1
12,GEN,ALL,GEN-ALL-SECTION-IND,Indicadores de sección,2,"255,0,0",0.35,CONTINUOUS,PLOT,ALL,LINE;TEXT,ISO_129_1
13,GEN,ALL,GEN-ALL-DETAIL-IND,Llamadas de detalle,2,"255,0,0",0.35,CONTINUOUS,PLOT,ALL,CIRCLE;LINE;TEXT,ISO_129_1
14,GEN,ALL,GEN-ALL-ELEVATION-MARK,Marcas de elevación,2,"255,0,0",0.35,CONTINUOUS,PLOT,ALL,CIRCLE;TEXT,ISO_129_1
15,GEN,ALL,GEN-ALL-NORTH-ARROW,Flecha de norte,7,"0,0,0",0.5,CONTINUOUS,PLOT,ALL,POLYLINE;TEXT,ISO_7200
16,GEN,ALL,GEN-ALL-SCALE-BAR,Barra de escala,7,"0,0,0",0.35,CONTINUOUS,PLOT,ALL,POLYLINE;TEXT,ISO_5455
17,GEN,ALL,GEN-ALL-LEGEND,Leyenda,7,"0,0,0",0.35,CONTINUOUS,PLOT,ALL,POLYLINE;TEXT,ISO_7200
18,GEN,ALL,GEN-ALL-HATCH-CONCRETE,Hatch concreto,8,"128,128,128",0.18,CONTINUOUS,PLOT,ALL,HATCH,ISO_128_20
19,GEN,ALL,GEN-ALL-HATCH-STEEL,Hatch acero,8,"128,128,128",0.18,CONTINUOUS,PLOT,ALL,HATCH,ISO_128_20
20,GEN,ALL,GEN-ALL-HATCH-EARTH,Hatch tierra,8,"128,128,128",0.18,CONTINUOUS,PLOT,ALL,HATCH,ISO_128_20
21,GEN,ALL,GEN-ALL-HATCH-WATER,Hatch agua,5,"0,255,255",0.18,CONTINUOUS,PLOT,ALL,HATCH,ISO_128_20
22,GEN,ALL,GEN-ALL-REVISION-CLOUD,Nube de revisión,1,"255,0,0",0.5,CONTINUOUS,PLOT,ALL,POLYLINE,ISO_7200
