field_id,category,name_es,description,data_type,unit,allowed_values,min_value,max_value,precision,requirement_class,required_from_stage,conditional_expression,prohibited_default,expected_source_document,extraction_hints,used_by_calculation_ids,used_by_drawing_ids,blocking_if_missing,review_role,source_ids
WOF-001,site_general,project_site_name,Denominacion del parque eolico offshore,string,-,free text,,,,PROJECT_MANDATORY,PRE_FEASIBILITY,true,,Project charter,Site passport,WOF-CALC-028,WOF-DRW-002,true,PROJECT_MANAGER,IRENA_OFFSHORE_2023
WOF-002,site_general,site_centroid_lat,Latitud del centro del parque (WGS84),number,deg,WGS84 decimal,-90,90,1e-07,PROJECT_MANDATORY,PRE_FEASIBILITY,true,,Geodetic survey,Decimal degree,WOF-CALC-028,WOF-DRW-002,true,GEODESIST,ISO_19111;IRENA_OFFSHORE_2023
WOF-003,site_general,site_centroid_lon,Longitud del centro del parque (WGS84),number,deg,WGS84 decimal,-180,180,1e-07,PROJECT_MANDATORY,PRE_FEASIBILITY,true,,Geodetic survey,Decimal degree,WOF-CALC-028,WOF-DRW-002,true,GEODESIST,ISO_19111;IRENA_OFFSHORE_2023
WOF-004,site_general,project_boundary_polygon_wkt,Poligono WKT del area concesionada offshore,string,-,WKT POLYGON/MULTIPOLYGON,,,,PROJECT_MANDATORY,FEASIBILITY,true,,Concession map,WKT polygon,WOF-CALC-028,WOF-DRW-002,true,GEODESIST,ISO_19111;IRENA_OFFSHORE_2023
WOF-010,metocean,water_depth_lat_m,Profundidad de agua referida a LAT en el centro del sitio,number,m,-,0,1500,0.01,PROJECT_MANDATORY,PRE_FEASIBILITY,true,PROHIBITED_TO_ASSUME,Bathymetric survey report (prohibited_default=0),Hydrographic chart,WOF-CALC-004;WOF-CALC-019;WOF-CALC-023,WOF-DRW-001,true,HYDROGRAPHIC_ENGINEER,DNV_RP_C205;IEC_61400_3_1
WOF-011,metocean,tidal_range_m,Rango de marea (MHWS-MLWS),number,m,-,0,15,0.01,PROJECT_MANDATORY,FEASIBILITY,true,,Tide table,Hydrographic chart,WOF-CALC-019,WOF-DRW-006,true,HYDROGRAPHIC_ENGINEER,DNV_RP_C205
WOF-012,metocean,storm_surge_m,Storm surge 50 yr (altura),number,m,-,0,5,0.01,PROJECT_MANDATORY,FEASIBILITY,true,,Storm surge study,Hydrographic chart,WOF-CALC-001,WOF-DRW-001,true,METOCEAN_LEAD,DNV_RP_C205;IEC_61400_3_1
WOF-013,metocean,hsig_50yr_m,Altura significativa de ola Hs 50 anos,number,m,-,0,20,0.001,PROJECT_MANDATORY,FEASIBILITY,true,PROHIBITED_TO_ASSUME,Metocean design basis (prohibited_default=0),Extreme value table,WOF-CALC-001,WOF-DRW-001,true,METOCEAN_LEAD,DNV_RP_C205;IEC_61400_3_1
WOF-014,metocean,hsig_1yr_m,Altura significativa de ola Hs 1 ano,number,m,-,0,15,0.001,PROJECT_MANDATORY,FEASIBILITY,true,,Metocean design basis,Extreme value table,WOF-CALC-001,WOF-DRW-001,true,METOCEAN_LEAD,DNV_RP_C205
WOF-015,metocean,tp_50yr_s,Periodo pico de ola Tp 50 anos,number,s,-,0,25,0.01,PROJECT_MANDATORY,FEASIBILITY,true,PROHIBITED_TO_ASSUME,Metocean design basis (prohibited_default=0),Wave scatter table,WOF-CALC-002,WOF-DRW-001,true,METOCEAN_LEAD,DNV_RP_C205;IEC_61400_3_1
