field_id,language,synonyms,abbreviations,expected_units,document_types,section_names,table_header_patterns,regex_candidates,positive_context,negative_context,normalization_rule,plausibility_rule,requires_ocr,requires_vision,requires_llm,human_review_condition
WOF-001,es;en,project site name,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,project_site_name,,project_site_name;Site passport,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WOF-002,es;en,site centroid lat,,deg,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,site_centroid_lat,regex:([0-9]+\.?[0-9]*)\s*deg,site_centroid_lat;Decimal degree,not applicable;assumed;estimated,value in valid range,value between -90 and 90,false,false,false,review if outlier
WOF-003,es;en,site centroid lon,,deg,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,site_centroid_lon,regex:([0-9]+\.?[0-9]*)\s*deg,site_centroid_lon;Decimal degree,not applicable;assumed;estimated,value in valid range,value between -180 and 180,false,false,false,review if outlier
WOF-004,es;en,project boundary polygon wkt,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,project_boundary_polygon_wkt,,project_boundary_polygon_wkt;WKT polygon,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WOF-010,es;en,water depth lat m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,water_depth_lat_m,regex:([0-9]+\.?[0-9]*)\s*m,water_depth_lat_m;Hydrographic chart,not applicable;assumed;estimated,value in valid range,value between 0 and 1500,false,false,false,review if outlier
WOF-011,es;en,tidal range m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,tidal_range_m,regex:([0-9]+\.?[0-9]*)\s*m,tidal_range_m;Hydrographic chart,not applicable;assumed;estimated,value in valid range,value between 0 and 15,false,false,false,review if outlier
WOF-012,es;en,storm surge m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,storm_surge_m,regex:([0-9]+\.?[0-9]*)\s*m,storm_surge_m;Hydrographic chart,not applicable;assumed;estimated,value in valid range,value between 0 and 5,false,false,false,review if outlier
WOF-013,es;en,hsig 50yr m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,hsig_50yr_m,regex:([0-9]+\.?[0-9]*)\s*m,hsig_50yr_m;Extreme value table,not applicable;assumed;estimated,value in valid range,value between 0 and 20,false,false,false,review if outlier
WOF-014,es;en,hsig 1yr m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,hsig_1yr_m,regex:([0-9]+\.?[0-9]*)\s*m,hsig_1yr_m;Extreme value table,not applicable;assumed;estimated,value in valid range,value between 0 and 15,false,false,false,review if outlier
WOF-015,es;en,tp 50yr s,,s,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,tp_50yr_s,regex:([0-9]+\.?[0-9]*)\s*s,tp_50yr_s;Wave scatter table,not applicable;assumed;estimated,value in valid range,value between 0 and 25,false,false,false,review if outlier
WOF-016,es;en,tp 1yr s,,s,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,tp_1yr_s,regex:([0-9]+\.?[0-9]*)\s*s,tp_1yr_s;Wave scatter table,not applicable;assumed;estimated,value in valid range,value between 0 and 20,false,false,false,review if outlier
WOF-017,es;en,wind speed 50yr ms,,m/s,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,wind_speed_50yr_ms,regex:([0-9]+\.?[0-9]*)\s*m/s,wind_speed_50yr_ms;Wind speed table,not applicable;assumed;estimated,value in valid range,value between 0 and 80,false,false,false,review if outlier
WOF-018,es;en,wind speed 1yr ms,,m/s,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,wind_speed_1yr_ms,regex:([0-9]+\.?[0-9]*)\s*m/s,wind_speed_1yr_ms;Wind speed table,not applicable;assumed;estimated,value in valid range,value between 0 and 70,false,false,false,review if outlier
WOF-019,es;en,turbine iec class,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,turbine_iec_class,,turbine_iec_class;IEC class declaration,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WOF-020,es;en,current speed ms,,m/s,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,current_speed_ms,regex:([0-9]+\.?[0-9]*)\s*m/s,current_speed_ms;Current profile,not applicable;assumed;estimated,value in valid range,value between 0 and 5,false,false,false,review if outlier
WOF-021,es;en,current direction deg,,deg,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,current_direction_deg,regex:([0-9]+\.?[0-9]*)\s*deg,current_direction_deg;Current rose,not applicable;assumed;estimated,value in valid range,value between 0 and 360,false,false,false,review if outlier
WOF-022,es;en,seawater temperature c,,C,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,seawater_temperature_c,regex:([0-9]+\.?[0-9]*)\s*C,seawater_temperature_c;Seawater T-S profile,not applicable;assumed;estimated,value in valid range,value between -2 and 40,false,false,false,review if outlier
WOF-023,es;en,salinity ppt,,ppt,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,salinity_ppt,regex:([0-9]+\.?[0-9]*)\s*ppt,salinity_ppt;Seawater T-S profile,not applicable;assumed;estimated,value in valid range,value between 0 and 45,false,false,false,review if outlier
WOF-024,es;en,marine growth thickness mm,,mm,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,marine_growth_thickness_mm,regex:([0-9]+\.?[0-9]*)\s*mm,marine_growth_thickness_mm;Marine growth curve,not applicable;assumed;estimated,value in valid range,value between 0 and 300,false,false,false,review if outlier
WOF-025,es;en,scour depth m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,scour_depth_m,regex:([0-9]+\.?[0-9]*)\s*m,scour_depth_m;Scour depth prediction,not applicable;assumed;estimated,value in valid range,value between 0 and 10,false,false,false,review if outlier
