drawing_id,technology,discipline,title_es,purpose,applicability_expression,minimum_project_stage,required_field_ids,required_calculation_ids,required_geometry_rule_ids,required_views,required_tables,required_symbol_ids,preferred_sheet_formats,preferred_scales,required_layers,mandatory_annotations,cross_references,qa_rule_ids,release_blockers,source_ids
HYD-DRW-001,06_hydro,CIVIL,Mapa de cuenca hidrografica,"Localizar la cuenca aguas arriba de la bocatoma con area, caudales y curva de duracion",always,FEASIBILITY,HYD-002;HYD-003;HYD-004;HYD-010;HYD-011;HYD-012;HYD-013;HYD-014;HYD-015;HYD-016;HYD-017;HYD-022;HYD-023,HYD-C-001;HYD-C-002;HYD-C-003;HYD-C-004;HYD-C-005;HYD-C-006;HYD-C-007,HYD-GR-001,"['CUENCA_OUTLINE','RIVER_NETWORK','SITE_MARKER','NORTH_ARROW','COORDINATE_GRID']","['CUENCA_AREA','MEAN_FLOW_TABLE','FDC_TABLE']",SYM-COM-NORTH;SYM-COM-SCALEBAR;SYM-COM-LEGEND,A1,1:50000,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;HYD-CIV-CUENCA,CUENCA_AREA;MEAN_FLOW;Q95;ECO_FLOW,HYD-DRW-002,HYD-QA-001;HYD-QA-002;HYD-QA-003;HYD-QA-004;HYD-QA-040,"['AREA_VERIFIED','FLOW_DATA_COMPLETE']",ICOLD_Bull_60;ISO_19111;MINAM_DS_019_2009
HYD-DRW-002,06_hydro,CIVIL,Plano de ubicacion del sitio (site plan),"Localizar el sitio respecto a vias,rios,redes electricas y centros poblados",always,FEASIBILITY,HYD-001;HYD-002;HYD-003;HYD-004;HYD-005;HYD-006;HYD-110;HYD-030;HYD-113;HYD-131,HYD-C-017;HYD-C-018,HYD-GR-012,"['SITE_PLAN','ROAD_PLAN','TOPOGRAPHY','NORTH_ARROW']","['COORDINATE_TABLE','ACCESS_ROAD_LENGTH']",SYM-COM-NORTH;SYM-COM-SCALEBAR;SYM-HYD-POWERHOUSE;SYM-HYD-INTAKE,A1,1:5000,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;HYD-CIV-SITEPLAN,LAT_LON;ELEVATION;INSTALLED_CAPACITY;TURBINE_TYPE,HYD-DRW-001,HYD-QA-005;HYD-QA-006,"['SITE_GEOREF','ROAD_ACCESS']",ISO_5457;ISO_7200;ISO_19111;MINAM_DS_019_2009
HYD-DRW-003,06_hydro,CIVIL,Planta de bocatoma (intake plan),"Localizar la estructura de captacion con rejilla, compuerta y desarenador",always,BASIC_ENGINEERING,HYD-050;HYD-051;HYD-052;HYD-053;HYD-054;HYD-055;HYD-056;HYD-057;HYD-058;HYD-059;HYD-060;HYD-061;HYD-039;HYD-024,HYD-C-008;HYD-C-009;HYD-C-023,HYD-GR-002;HYD-GR-020,"['INTAKE_PLAN','TRASH_RACK_PLAN','GATE_PLAN','DESANDER_PLAN']","['ELEVATIONS_TABLE','GATE_DIMENSIONS']",SYM-COM-NORTH;SYM-HYD-INTAKE;SYM-HYD-TRASHRACK;SYM-HYD-GATE;SYM-HYD-DESANDER,A1,1:100,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;HYD-CIV-INTAKE,INTAKE_CREST_ELEV;BAR_SPACING;GATE_TYPE,HYD-DRW-004,HYD-QA-007;HYD-QA-008;HYD-QA-009;HYD-QA-010;HYD-QA-040,"['NO_MISSING_DIMENSIONS','GATE_TYPE_LABELED']",ICOLD_Bull_120;IEC_60193;ISO_5457
HYD-DRW-004,06_hydro,CIVIL,Seccion de bocatoma y presa (intake/dam section),Seccion transversal de la presa y bocatoma mostrando cotas y subpresion,"plant_classification in [MEDIA,PEQUENA]",BASIC_ENGINEERING,HYD-050;HYD-051;HYD-039;HYD-040;HYD-256;HYD-257;HYD-220;HYD-222;HYD-228;HYD-060;HYD-061,HYD-C-009;HYD-C-022;HYD-C-025;HYD-C-026,HYD-GR-001;HYD-GR-002,"['DAM_SECTION','INTAKE_SECTION','UPLIFT_PRESSURE_PROFILE']","['ELEVATIONS_TABLE','UPLIFT_FORCE']",SYM-COM-NORTH;SYM-COM-SCALEBAR;SYM-HYD-DAM;SYM-HYD-GATE,A1,1:200,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;HYD-CIV-INTAKE,CREST_ELEV;MPL;UPLIFT_PRESSURE;FS_SLIDING,HYD-DRW-003;HYD-DRW-013,HYD-QA-011;HYD-QA-012;HYD-QA-013,"['FS_SLIDING>=1.5','UPLIFT_RELIEVED']",ICOLD_Bull_60;ICOLD_Bull_120;ISO_14685;RNE_DS_011_2006
HYD-DRW-005,06_hydro,CIVIL,Perfil longitudinal canal de aduccion (headrace profile),Perfil longitudinal del canal de aduccion con cotas y pendientes,headrace_canal_length_m>0,BASIC_ENGINEERING,HYD-050;HYD-051;HYD-039;HYD-040;HYD-260;HYD-261;HYD-013;HYD-014;HYD-015;HYD-016,HYD-C-005;HYD-C-009;HYD-C-011;HYD-C-012,HYD-GR-003,"['HEADRACE_PROFILE','INVERT_LONG_SECTION','CROSS_SECTIONS']","['ELEVATIONS_TABLE','SLOPE_TABLE','FLOW_TABLE']",SYM-COM-NORTH;SYM-COM-SCALEBAR;SYM-HYD-CANAL,A1,1:1000,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;HYD-CIV-CANAL,INVERT_ELEV;SLOPE;DESIGN_FLOW,HYD-DRW-003;HYD-DRW-006,HYD-QA-014;HYD-QA-015,"['SLOPE_UNIFORM','INVERT_ABOVE_BEDROCK']",ICOLD_Bull_120;ISO_14685;ASME_B31_1_2022
HYD-DRW-006,06_hydro,CIVIL,Perfil y seccion de tuberia forzada (penstock),Perfil longitudinal y secciones transversales de la tuberia forzada,always,BASIC_ENGINEERING,HYD-070;HYD-071;HYD-072;HYD-073;HYD-074;HYD-075;HYD-076;HYD-077;HYD-078;HYD-079;HYD-080;HYD-081;HYD-082;HYD-083;HYD-084;HYD-085;HYD-086;HYD-030;HYD-031,HYD-C-009;HYD-C-010;HYD-C-011;HYD-C-013;HYD-C-014;HYD-C-015;HYD-C-016,HYD-GR-004;HYD-GR-005,"['PENSTOCK_PROFILE','ANCHOR_BLOCKS','EXPANSION_JOINTS','SURGE_TANK','CROSS_SECTIONS']","['ELEVATIONS_TABLE','THICKNESS_TABLE','PRESSURE_PROFILE']",SYM-COM-NORTH;SYM-COM-SCALEBAR;SYM-HYD-PENSTOCK;SYM-HYD-ANCHOR;SYM-HYD-SURGETANK,A1,1:500,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;HYD-CIV-PENSTOCK,WALL_THICKNESS;DESIGN_PRESSURE;WAVE_SPEED;CLOSURE_TIME,HYD-DRW-005;HYD-DRW-008,HYD-QA-016;HYD-QA-017;HYD-QA-018;HYD-QA-019;HYD-QA-020,"['ASME_STRESS_OK','WATERHAMMER_OK','SURGE_TANK_SIZED']",ASME_B31_1_2022;ASME_BPVC_VIII_1_2023;ICOLD_Bull_120
HYD-DRW-007,06_hydro,CIVIL,Planta de casa de maquinas (powerhouse plan),"Planta de la casa de maquinas con distribucion de turbinas,generador y auxiliares",always,BASIC_ENGINEERING,HYD-090;HYD-091;HYD-092;HYD-093;HYD-094;HYD-095;HYD-096;HYD-097;HYD-098;HYD-099;HYD-100;HYD-110;HYD-113;HYD-131;HYD-150;HYD-180;HYD-181;HYD-182;HYD-183,HYD-C-018;HYD-C-021;HYD-C-026,HYD-GR-006;HYD-GR-013;HYD-GR-016;HYD-GR-017;HYD-GR-018,"['POWERHOUSE_PLAN','ERECTION_BAY','MACHINE_HALL','AUX_BAY','CRANE_RAIL','VENTILATION','DRAINAGE_GALLERY']","['DIMENSIONS_TABLE','CRANE_CAPACITY']",SYM-COM-NORTH;SYM-COM-SCALEBAR;SYM-HYD-POWERHOUSE;SYM-HYD-TURBINE;SYM-HYD-GENERATOR;SYM-HYD-CRANE,A1,1:100,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;HYD-CIV-POWERHOUSE,DIMENSIONS;TURBINE_TYPE;CRANE_CAPACITY;VENTILATION_RATE,HYD-DRW-008;HYD-DRW-011,HYD-QA-021;HYD-QA-022;HYD-QA-023,"['CRANE_SPAN_OK','VENTILATION_OK']",ICOLD_Bull_120;RNE_DS_011_2006;IEC_61366
HYD-DRW-008,06_hydro,CIVIL,Seccion de casa de maquinas (powerhouse section),"Seccion transversal de la casa de maquinas mostrando turbinas, draft tube y subpresion",always,BASIC_ENGINEERING,HYD-090;HYD-091;HYD-092;HYD-093;HYD-094;HYD-095;HYD-096;HYD-097;HYD-098;HYD-099;HYD-110;HYD-111;HYD-112;HYD-116;HYD-117;HYD-120;HYD-121;HYD-125;HYD-213;HYD-214;HYD-220;HYD-221;HYD-222;HYD-228;HYD-230;HYD-240;HYD-241;HYD-242;HYD-243;HYD-244;HYD-245,HYD-C-018;HYD-C-020;HYD-C-025;HYD-C-026,HYD-GR-006;HYD-GR-007;HYD-GR-016,"['POWERHOUSE_SECTION','TURBINE_PIT','DRAFT_TUBE','UPLIFT_PROFILE','SEISMIC_SPECTRUM']","['ELEVATIONS_TABLE','BEARING_CAPACITY','FS_SLIDING','FS_OVERTURNING']",SYM-COM-NORTH;SYM-COM-SCALEBAR;SYM-HYD-POWERHOUSE;SYM-HYD-TURBINE;SYM-HYD-DRAFTTUBE,A1,1:100,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;HYD-CIV-POWERHOUSE,ELEVATIONS;FS_BEARING;FS_SLIDING;SEISMIC_ZONE;SUBMERGENCE,HYD-DRW-007;HYD-DRW-009,HYD-QA-024;HYD-QA-025;HYD-QA-026;HYD-QA-027;HYD-QA-028;HYD-QA-029;HYD-QA-030,"['FS_BEARING>=3','SUBMERGENCE_OK','SEISMIC_FS_OK']",ICOLD_Bull_120;ISO_14685;RNE_DS_011_2006;IEC_60193;IAPWS_IF97
HYD-DRW-009,06_hydro,MECHANICAL,Detalle de turbina (turbine detail),"Detalle mecanico de la turbina con dimensiones del rodete, inyector, espiral y tubo de aspiracion",always,DETAILED_ENGINEERING,HYD-110;HYD-111;HYD-112;HYD-113;HYD-114;HYD-115;HYD-116;HYD-117;HYD-118;HYD-119;HYD-120;HYD-121;HYD-122;HYD-123;HYD-124;HYD-125;HYD-213;HYD-214;HYD-085,HYD-C-018;HYD-C-019;HYD-C-020,HYD-GR-007,"['TURBINE_PLAN','TURBINE_SECTION','RUNNER_DETAIL','DRAFT_TUBE_DETAIL','SCROLL_CASE']","['DIMENSIONS_TABLE','HILL_CURVE','MODEL_TEST_REPORT']",SYM-COM-NORTH;SYM-COM-SCALEBAR;SYM-HYD-TURBINE;SYM-HYD-RUNNER;SYM-HYD-SCROLLCASE;SYM-HYD-DRAFTTUBE,A1,1:25,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;HYD-MECH-TURBINE,TURBINE_TYPE;RATED_HEAD;RATED_FLOW;RPM;N_SQ;SIGMA_THOMA,HYD-DRW-008;HYD-DRW-010,HYD-QA-031;HYD-QA-032;HYD-QA-033;HYD-QA-034,"['EFFICIENCY>=88%','SIGMA_PLANT>=SIGMA_MODEL','MODEL_TEST_IEC60193']",IEC_60193;IEC_60041;IEC_61366;IAPWS_IF97
HYD-DRW-010,06_hydro,ELECTRICAL,Detalle de generador (generator detail),"Detalle mecanico y electrico del generador con devanados, cojinetes y sistema de refrigeracion",always,DETAILED_ENGINEERING,HYD-130;HYD-131;HYD-132;HYD-133;HYD-134;HYD-135;HYD-136;HYD-137;HYD-138;HYD-139;HYD-140;HYD-153;HYD-154;HYD-155;HYD-181,HYD-C-021,HYD-GR-001,"['GENERATOR_PLAN','GENERATOR_SECTION','STATOR_DETAIL','ROTOR_DETAIL','BEARING_DETAIL','EXCITER_DETAIL','COOLING_SCHEME']","['DIMENSIONS_TABLE','LOSSES_TABLE','THERMAL_PROFILE']",SYM-COM-NORTH;SYM-COM-SCALEBAR;SYM-HYD-GENERATOR;SYM-HYD-EXCITER;SYM-HYD-COOLING,A1,1:25,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;HYD-ELEC-GENERATOR,GENERATOR_TYPE;RATED_POWER;VOLTAGE;FREQUENCY;PF;EFFICIENCY;INSULATION,HYD-DRW-009;HYD-DRW-011,HYD-QA-035;HYD-QA-036,"['GENERATOR_IEC61366','COOLING_OK']",IEC_61366;IEC_60041;IEEE_1547_2018
