field_id,category,name_es,description,data_type,unit,allowed_values,min_value,max_value,precision,requirement_class,required_from_stage,conditional_expression,prohibited_default,expected_source_document,extraction_hints,used_by_calculation_ids,used_by_drawing_ids,blocking_if_missing,review_role,source_ids
BIO-001,fuel,biomass_type,Tipo de biomasa,enum,-,wood_chips|pellets|agricultural_waste|bagasse|rice_husk|sawdust|straw|nut_shell|palm_kernel_shell|MSW_RDF,,,,PROJECT_MANDATORY,FEASIBILITY,true,,Fuel characterization report,keyword extraction,BIO-C-001;BIO-C-002,BIO-DRW-001;BIO-DRW-003,true,PROCESS_ENGINEER,ISO_22790
BIO-002,fuel,lower_heating_value_lhv_kj_kg,Poder calorífico inferior LHV,number,kJ/kg,-,8000,22000,1,PROJECT_MANDATORY,FEASIBILITY,true,,Fuel characterization report,LHV|PCI|net calorific value,BIO-C-001;BIO-C-002;BIO-C-003,BIO-DRW-004;BIO-DRW-006,true,PROCESS_ENGINEER,ISO_22790;NIST_WEBBOOK
BIO-003,fuel,higher_heating_value_hhv_kj_kg,Poder calorífico superior HHV,number,kJ/kg,-,9000,24000,1,PROJECT_MANDATORY,FEASIBILITY,true,,Fuel characterization report,HHV|PCS|gross calorific value,BIO-C-001;BIO-C-002,BIO-DRW-006,true,PROCESS_ENGINEER,ISO_22790
BIO-004,fuel,moisture_content_wb_pct,Humedad base húmeda,number,percent,wet basis,5,60,0.1,PROJECT_MANDATORY,FEASIBILITY,true,,Fuel characterization report,moisture|water content|MC,BIO-C-001;BIO-C-002;BIO-C-004,BIO-DRW-004;BIO-DRW-006,true,PROCESS_ENGINEER,ISO_22790
BIO-005,fuel,ash_content_db_pct,Cenizas base seca,number,percent,dry basis,0,30,0.1,PROJECT_MANDATORY,FEASIBILITY,true,,Fuel characterization report,ash|A%,BIO-C-001;BIO-C-002;BIO-C-013,BIO-DRW-004;BIO-DRW-006,true,PROCESS_ENGINEER,ISO_22790
BIO-006,fuel,volatile_matter_db_pct,Materia volátil base seca,number,percent,dry basis,60,85,0.1,PROJECT_MANDATORY,FEASIBILITY,true,,Fuel characterization report,VM|volatile matter,BIO-C-001;BIO-C-002,BIO-DRW-006,true,PROCESS_ENGINEER,ISO_22790
BIO-007,fuel,fixed_carbon_db_pct,Carbono fijo base seca,number,percent,dry basis,10,30,0.1,PROJECT_MANDATORY,FEASIBILITY,true,,Fuel characterization report,FC|fixed carbon,BIO-C-001;BIO-C-002,BIO-DRW-006,true,PROCESS_ENGINEER,ISO_22790
BIO-008,fuel,ultimate_carbon_daf_pct,Carbono (C) base seca sin cenizas,number,percent,daf,40,55,0.01,PROJECT_MANDATORY,FEASIBILITY,true,,Ultimate analysis report,C%|carbon,BIO-C-001;BIO-C-002,BIO-DRW-006,true,PROCESS_ENGINEER,NIST_WEBBOOK
BIO-009,fuel,ultimate_hydrogen_daf_pct,Hidrógeno (H),number,percent,daf,5,7,0.01,PROJECT_MANDATORY,FEASIBILITY,true,,Ultimate analysis report,H%|hydrogen,BIO-C-001;BIO-C-002,BIO-DRW-006,true,PROCESS_ENGINEER,NIST_WEBBOOK
BIO-010,fuel,ultimate_nitrogen_daf_pct,Nitrógeno (N),number,percent,daf,0.1,3,0.01,PROJECT_MANDATORY,FEASIBILITY,true,,Ultimate analysis report,N%|nitrogen,BIO-C-001;BIO-C-002,BIO-DRW-006,true,PROCESS_ENGINEER,NIST_WEBBOOK
