drawing_id,technology,discipline,title_es,purpose,applicability_expression,minimum_project_stage,required_field_ids,required_calculation_ids,required_geometry_rule_ids,required_views,required_tables,required_symbol_ids,preferred_sheet_formats,preferred_scales,required_layers,mandatory_annotations,cross_references,qa_rule_ids,release_blockers,source_ids
BIG-DRW-001,BIOGAS,GEN,Plano de localización del sitio de biogás,Plan,always,FEASIBILITY,BIG-001,BIG-CALC-002;BIG-CALC-020,BIG-GR-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,BIG-QA-001,AFC stamp required,ISO_5457;ISO_7200;ISO_128_20;ISO_129_1;ISO_19111;ISO_22790
BIG-DRW-002,BIOGAS,GEN,Plano de implantación general,Plan,always,BASIC_ENGINEERING,BIG-001,BIG-CALC-002;BIG-CALC-019;BIG-CALC-020,BIG-GR-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,BIG-QA-001,AFC stamp required,ISO_5457;ISO_7200;ISO_128_20;ISO_129_1;ISO_22790;IEC_60079_10_1;NFPA_497_2024
BIG-DRW-003,BIOGAS,GEN,Planta de digestor,Plan,always,BASIC_ENGINEERING,BIG-001,BIG-CALC-002;BIG-CALC-006;BIG-CALC-007;BIG-CALC-008;BIG-CALC-009;BIG-CALC-029,BIG-GR-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,BIG-QA-001,AFC stamp required,ISO_5457;ISO_7200;ISO_128_20;ISO_129_1;ISO_22790;ASME_BPVC_VIII_1_2023;IEC_60079_10_1;NFPA_497_2024
BIG-DRW-004,BIOGAS,GEN,Corte del digestor,Plan,always,BASIC_ENGINEERING,BIG-001,BIG-CALC-006;BIG-CALC-007;BIG-CALC-029,BIG-GR-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,BIG-QA-001,AFC stamp required,ISO_5457;ISO_7200;ISO_128_20;ISO_129_1;ISO_22790;ASME_BPVC_VIII_1_2023;IEC_60079_10_1;NFPA_497_2024
BIG-DRW-005,BIOGAS,GEN,Diagrama de flujo de proceso (PFD),Plan,always,BASIC_ENGINEERING,BIG-001,BIG-CALC-002;BIG-CALC-006;BIG-CALC-008;BIG-CALC-009;BIG-CALC-013;BIG-CALC-014,BIG-GR-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,BIG-QA-001,AFC stamp required,ISO_10628;ISO_10628_2;ISO_22790
BIG-DRW-006,BIOGAS,GEN,P&ID de biogás,Plan,always,DETAILED_ENGINEERING,BIG-001,BIG-CALC-012;BIG-CALC-015;BIG-CALC-019;BIG-CALC-028,BIG-GR-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,BIG-QA-001,AFC stamp required,ISO_10628;ISO_10628_2;ISO_14617;ISO_14617_2;ISO_22790;IEC_60079_10_1;NFPA_497_2024
BIG-DRW-007,BIOGAS,GEN,P&ID de sustrato (alimentación),Plan,always,DETAILED_ENGINEERING,BIG-001,BIG-CALC-002;BIG-CALC-008;BIG-CALC-009,BIG-GR-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,BIG-QA-001,AFC stamp required,ISO_10628;ISO_10628_2;ISO_14617;ISO_14617_2;ISO_22790
BIG-DRW-008,BIOGAS,GEN,P&ID de digestato,Plan,always,DETAILED_ENGINEERING,BIG-001,BIG-CALC-002;BIG-CALC-003,BIG-GR-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,BIG-QA-001,AFC stamp required,ISO_10628;ISO_10628_2;ISO_14617;ISO_14617_2;ISO_22790;ISO_6107_1;IAPWS_IF97
BIG-DRW-009,BIOGAS,GEN,P&ID de upgrading,Plan,always,DETAILED_ENGINEERING,BIG-001,BIG-CALC-013;BIG-CALC-014;BIG-CALC-015;BIG-CALC-016;BIG-CALC-017;BIG-CALC-018;BIG-CALC-028;BIG-CALC-029,BIG-GR-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,BIG-QA-001,AFC stamp required,ISO_10628;ISO_10628_2;ISO_14617;ISO_14617_2;ISO_22790;IEC_60079_10_1;NFPA_497_2024;ASME_BPVC_VIII_1_2023
BIG-DRW-010,BIOGAS,GEN,Planta del cuarto CHP,Plan,always,BASIC_ENGINEERING,BIG-001,BIG-CALC-023;BIG-CALC-024;BIG-CALC-025;BIG-CALC-026;BIG-CALC-027;BIG-CALC-033,BIG-GR-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,BIG-QA-001,AFC stamp required,ISO_5457;ISO_7200;ISO_128_20;ISO_129_1;ISO_22790;MINAM_DS_019_2009;IEC_60079_10_1;NFPA_497_2024;MINEM_DS_032_2003;MINEM_DS_043_2006
