field_id,category,name_es,description,data_type,unit,allowed_values,min_value,max_value,precision,requirement_class,required_from_stage,conditional_expression,prohibited_default,expected_source_document,extraction_hints,used_by_calculation_ids,used_by_drawing_ids,blocking_if_missing,review_role,source_ids
GEO-001,site,site_latitude_deg,Latitud geodésica del centro de la planta geotérmica,float,deg,"[-90,90]",-90,90,6,PROJECT_MANDATORY,FEASIBILITY,true,true,Estudio topográfico o GPS del campo geotérmico,6 decimales;WGS84,GEO-C-004;GEO-C-033,GEO-DRW-001;GEO-DRW-002,true,LEAD_ENGINEER_CIVIL,ISO_19111;ISO_14685;IAPWS_IF97;ISO_6107_1;ISO_14685
GEO-002,site,site_longitude_deg,Longitud geodésica del centro de la planta geotérmica,float,deg,"[-180,180]",-180,180,6,PROJECT_MANDATORY,FEASIBILITY,true,true,Estudio topográfico o GPS del campo geotérmico,6 decimales;WGS84,GEO-C-004;GEO-C-033,GEO-DRW-001;GEO-DRW-002,true,LEAD_ENGINEER_CIVIL,ISO_19111;ISO_14685;IAPWS_IF97;ISO_6107_1;ISO_14685
GEO-003,site,site_elevation_masl,Elevación media del sitio sobre el nivel del mar,float,m,"[0,6000]",0,6000,1,PROJECT_MANDATORY,FEASIBILITY,true,true,Estudio topográfico,Dato de altitud,GEO-C-004;GEO-C-030,GEO-DRW-001;GEO-DRW-002,true,LEAD_ENGINEER_CIVIL,ISO_19111;ISO_14685;IAPWS_IF97;ISO_6107_1;ISO_14685
GEO-004,site,timezone_utc_offset,Desfase horario oficial del sitio respecto a UTC,float,h,"[-12,14]",-12,14,1,PROJECT_MANDATORY,FEASIBILITY,true,true,Ubicación geopolítica del sitio,UTC-5 para Perú,GEO-C-027,GEO-DRW-014,true,PROJECT_MANAGER,ISO_19111;MINEM_DS_043_2006
GEO-005,site,site_area_m2,Área total del terreno asignado al proyecto geotérmico,float,m2,"[10000,5000000]",10000,5000000,1,PROJECT_MANDATORY,FEASIBILITY,true,true,Título de propiedad o levantamiento topográfico,Área cerrada,GEO-C-023;GEO-C-032,GEO-DRW-001;GEO-DRW-002,true,LEAD_ENGINEER_CIVIL,ISO_19111;ISO_14685;MINAM_DS_019_2009;MINEM_DS_032_2003
GEO-006,reservoir,reservoir_temperature_c,Temperatura estimada del reservorio geotérmico,float,degC,"[80,400]",80,400,1,PROHIBITED_TO_ASSUME,FEASIBILITY,true,true,Informe de exploración geotérmica (pozos exploratorios),Temperatura medida en fondo o estimada por geotermómetros,GEO-C-001;GEO-C-002;GEO-C-004,GEO-DRW-003;GEO-DRW-006,true,RESERVOIR_ENGINEER,IAPWS_IF97;ISO_6107_1;ISO_14685
GEO-007,reservoir,reservoir_pressure_bar,Presión estática del reservorio a profundidad de producción,float,bar,"[10,400]",10,400,2,PROHIBITED_TO_ASSUME,FEASIBILITY,true,true,Prueba de presión en pozos exploratorios,Presión de fondo (PWS),GEO-C-004;GEO-C-030,GEO-DRW-003,true,RESERVOIR_ENGINEER,IAPWS_IF97;ISO_6107_1;ISO_14685
GEO-008,reservoir,reservoir_depth_m,Profundidad media del intervalo productor del reservorio,float,m,"[500,5000]",500,5000,1,PROHIBITED_TO_ASSUME,FEASIBILITY,true,true,Registros de pozos exploratorios,Profundidad verdadera vertical (TVD),GEO-C-030,GEO-DRW-003;GEO-DRW-005,true,RESERVOIR_ENGINEER,IAPWS_IF97;ISO_6107_1;ISO_14685;API_1104_2021;ASME_BPVC_VIII_1_2023;ISO_14685;MINEM_DS_032_2003
GEO-009,reservoir,reservoir_pH,pH del fluido del reservorio,float,-,"[2,12]",2,12,2,PROHIBITED_TO_ASSUME,FEASIBILITY,true,true,Análisis químico de muestras de fondo,Muestra representativa,GEO-C-003;GEO-C-017;GEO-C-018,GEO-DRW-007,true,PROCESS_ENGINEER,ISO_6107_1;MINAM_DS_019_2009;IAPWS_IF97
GEO-010,reservoir,reservoir_TDS_mg_L,Total de sólidos disueltos en el fluido del reservorio,float,mg/L,"[100,50000]",100,50000,1,PROHIBITED_TO_ASSUME,FEASIBILITY,true,true,Análisis químico de fondo,Conductividad convertida a TDS,GEO-C-003;GEO-C-030,GEO-DRW-007,true,PROCESS_ENGINEER,ISO_6107_1;MINAM_DS_019_2009;IAPWS_IF97
GEO-011,reservoir,reservoir_permeability_mD,Permeabilidad efectiva del reservorio (milidarcy),float,mD,"[0.1,5000]",0.1,5000,2,PROHIBITED_TO_ASSUME,FEASIBILITY,true,true,Pruebas de presión transitoria (DST/PBU),Perm. efectiva promedio,GEO-C-030,GEO-DRW-003,true,RESERVOIR_ENGINEER,IAPWS_IF97;ISO_6107_1;ISO_14685;API_1104_2021;ASME_BPVC_VIII_1_2023;ISO_14685;MINEM_DS_032_2003
