field_id,category,name_es,description,data_type,unit,allowed_values,min_value,max_value,precision,requirement_class,required_from_stage,conditional_expression,prohibited_default,expected_source_document,extraction_hints,used_by_calculation_ids,used_by_drawing_ids,blocking_if_missing,review_role,source_ids
MAR-001,site,site_latitude_deg,Latitud geodésica del centro del parque marino,float,deg,"[-90,90]",-90,90,6,PROJECT_MANDATORY,FEASIBILITY,true,false,Estudio topográfico o GPS georreferenciado,6 decimales;WGS84,MAR-C-024;MAR-C-026,MAR-DRW-001;MAR-DRW-002;MAR-DRW-017,true,LEAD_ENGINEER_CIVIL,ISO_19111;IRENA_OFFSHORE_2023;NASA_POWER;DNV_RP_C205;IEC_TS_62600_2;NASA_POWER;ISO_6107_1
MAR-002,site,site_longitude_deg,Longitud geodésica del centro del parque marino,float,deg,"[-180,180]",-180,180,6,PROJECT_MANDATORY,FEASIBILITY,true,false,Estudio topográfico o GPS georreferenciado,6 decimales;WGS84,MAR-C-024;MAR-C-026,MAR-DRW-001;MAR-DRW-002;MAR-DRW-017,true,LEAD_ENGINEER_CIVIL,ISO_19111;IRENA_OFFSHORE_2023;NASA_POWER;DNV_RP_C205;IEC_TS_62600_2;NASA_POWER;ISO_6107_1
MAR-003,site,site_area_km2,Área total de concesión marina asignada al proyecto,float,km2,"[0.1,1000]",0.1,1000,2,PROJECT_MANDATORY,FEASIBILITY,true,false,Resolución de concesión marina o levantamiento,Área cerrada del polígono de concesión,MAR-C-025;MAR-C-026,MAR-DRW-001;MAR-DRW-002,true,PROJECT_MANAGER,MINAM_DS_019_2009;MIMP_Ambiental_GLA;SERFOR_DS_020_2015;SERNANP_DS_007_2016;IRENA_OFFSHORE_2023;ISO_19111;IRENA_OFFSHORE_2023;NASA_POWER
MAR-004,site,timezone_utc_offset,Desfase horario oficial del sitio respecto a UTC,float,h,"[-12,14]",-12,14,1,PROJECT_MANDATORY,FEASIBILITY,true,false,Ubicación geopolítica del sitio,UTC-5 para Perú,MAR-C-024;MAR-C-028,MAR-DRW-013,true,PROJECT_MANAGER,ISO_19111;MINEM_DS_043_2006
MAR-005,site,distance_to_shore_km,Distancia mínima del parque al punto de embarque más cercano,float,km,"[0.1,200]",0.1,200,1,PROJECT_MANDATORY,FEASIBILITY,true,false,Estudio logístico-marino,Distancia a costa para CTV/SOV,MAR-C-025;MAR-C-028,MAR-DRW-002;MAR-DRW-009;MAR-DRW-015,true,PROJECT_MANAGER,ISO_19111;IRENA_OFFSHORE_2023;NASA_POWER;API_RP_14C;DNV_OS_J101;MINEM_DS_032_2003;NFPA_780_2023;IRENA_OFFSHORE_2023
MAR-006,site,water_depth_at_site_m_LAT,Profundidad media del agua en el sitio referida al LAT (Lowest Astronomical Tide),float,m_LAT,"[1,1500]",1,1500,1,PROHIBITED_TO_ASSUME,FEASIBILITY,true,true,Carta náutica o batimetría multihaz,Referida al LAT,MAR-C-001;MAR-C-004;MAR-C-014;MAR-C-022,MAR-DRW-001;MAR-DRW-003;MAR-DRW-008,true,LEAD_ENGINEER_CIVIL,DNV_RP_C205;IEC_TS_62600_2;NASA_POWER;ISO_6107_1;DNV_OS_J101;DNV_OS_C101;DNV_OS_E301;DNV_RP_C205;DNV_OS_J103_O;DNV_ST_0519;ISO_19111;IRENA_OFFSHORE_2023;NASA_POWER
MAR-007,bathymetry,bathymetry_grid_WKT,Malla batimétrica del sitio en WKT (polilíneas de isobatas),string,WKT,WKT MULTILINESTRING,,,,PROHIBITED_TO_ASSUME,FEASIBILITY,true,true,Levantamiento batimétrico multihaz,Isobatas cada 1m o 5m según profundidad,MAR-C-014;MAR-C-024;MAR-C-026,MAR-DRW-001;MAR-DRW-003;MAR-DRW-005,true,LEAD_ENGINEER_CIVIL,DNV_RP_C205;IEC_TS_62600_2;NASA_POWER;ISO_6107_1;ISO_19111;IRENA_OFFSHORE_2023;NASA_POWER;ISO_19111
MAR-008,bathymetry,seabed_slope_pct,Pendiente promedio del lecho marino en el sitio,float,%,"[0,45]",0,45,1,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,true,true,Modelo batimétrico derivado,Pendiente del lecho en %,MAR-C-014;MAR-C-022,MAR-DRW-001;MAR-DRW-008,true,GEOTECHNICAL_ENGINEER,DNV_RP_C205;IEC_TS_62600_2;NASA_POWER;ISO_6107_1;ISO_14656;DNV_OS_J101;DNV_OS_C101;ISO_14685
MAR-009,bathymetry,seabed_soil_type,Tipo de suelo marino predominante en el sitio,enum,-,"[sand,clay,silt,rock,gravel,coral]",,,,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,true,true,Estudio geotécnico marino (CPT),Tipo de suelo según clasificación,MAR-C-008;MAR-C-009;MAR-C-014,MAR-DRW-001;MAR-DRW-008,true,GEOTECHNICAL_ENGINEER,ISO_14656;DNV_OS_J101;DNV_OS_C101;ISO_14685;DNV_OS_C101;DNV_OS_J101;ASME_B31_1_2022;ASME_BPVC_VIII_1_2023
MAR-010,bathymetry,seabed_friction_angle_deg,Ángulo de fricción efectiva del suelo marino,float,deg,"[0,50]",0,50,1,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,true,true,Ensayos de laboratorio (corte directo/triaxial),Friction angle effective,MAR-C-008;MAR-C-009;MAR-C-014,MAR-DRW-008,true,GEOTECHNICAL_ENGINEER,ISO_14656;DNV_OS_J101;DNV_OS_C101;ISO_14685;DNV_OS_C101;DNV_OS_J101;ASME_B31_1_2022;ASME_BPVC_VIII_1_2023
