drawing_id,technology,discipline,title_es,purpose,applicability_expression,minimum_project_stage,required_field_ids,required_calculation_ids,required_geometry_rule_ids,required_views,required_tables,required_symbol_ids,preferred_sheet_formats,preferred_scales,required_layers,mandatory_annotations,cross_references,qa_rule_ids,release_blockers,source_ids
BESS-DRW-001,12_bess,MULTI,Plot plan del BESS,"Vista en planta del emplazamiento BESS con contenedores, transformadores, caminos, cerca y zonas de seguridad.",technology == '12_bess',PRELIMINARY,BESS-001;BESS-002;BESS-003;BESS-048;BESS-049;BESS-055;BESS-046;BESS-044;BESS-045;BESS-128;BESS-130;BESS-119;BESS-118;BESS-117,BESS-C-010,BESS-GR-001;BESS-GR-002;BESS-GR-019;BESS-GR-020,PLANT_VIEW|LEGEND|NORTH,EQUIPMENT_LIST|COORDINATE_TABLE|SEPARATION_TABLE,BESS_RACK_SYMBOL;BESS_PCS_SYMBOL;BREAKER_SYMBOL;DC_DISCONNECT,A1|A0,1:200|1:500,C-SCADA|C-COMM,Project name|Coordinates|Scale|NFPA 855 separation,BESS-DRW-002|BESS-DRW-008|BESS-DRW-017,BESS-QA-001;BESS-QA-008;BESS-QA-020;BESS-QA-024,NFPA_855_separation_violation,ISO_5457|ISO_7200|ISO_19111|NFPA_855_2023|DNV_RP_0585|ISO_5455|ISO_13567_1
BESS-DRW-002,12_bess,MULTI,Implantacion (Setting out),Plano de implantacion con coordenadas UTM de cada equipo.,technology == '12_bess',BASIC_DESIGN,BESS-002;BESS-003;BESS-055;BESS-046;BESS-044;BESS-044;BESS-085;BESS-130,BESS-C-010,BESS-GR-001;BESS-GR-002;BESS-GR-007;BESS-GR-008,PLANT_VIEW|COORDINATE_TABLE|SECTION,COORDINATE_TABLE|FOUNDATION_TABLE,BESS_RACK_SYMBOL;BESS_PCS_SYMBOL;BREAKER_SYMBOL;DC_DISCONNECT,A1,1:100|1:200,C-SCADA|C-COMM,Coordinates|Elevations|Foundation type,BESS-DRW-001|BESS-DRW-015,BESS-QA-002;BESS-QA-003,Coordinate_out_of_site,ISO_19111|ISO_5457|ISO_7200|DNV_RP_0585|RNE_DS_011_2006
BESS-DRW-003,12_bess,MULTI,Layout del contenedor,"Planta y seccion de contenedor BESS mostrando racks, pasillos, HVAC y supresion de incendio.",technology == '12_bess',BASIC_DESIGN,BESS-038;BESS-046;BESS-044;BESS-045;BESS-041;BESS-042;BESS-047;BESS-043;BESS-094;BESS-095;BESS-098,BESS-C-008;BESS-C-013;BESS-C-014;BESS-C-027,BESS-GR-003;BESS-GR-018;BESS-GR-022,PLAN_VIEW|SECTION_A_A|SECTION_B_B,EQUIPMENT_TABLE|HVAC_TABLE,BESS_RACK_SYMBOL;BESS_PCS_SYMBOL;BREAKER_SYMBOL;DC_DISCONNECT,A1|A2,1:50|1:100,C-SCADA|C-COMM,Walkway 900 mm|NFPA 855 clearance|IP rating,BESS-DRW-004|BESS-DRW-009|BESS-DRW-011,BESS-QA-004;BESS-QA-009;BESS-QA-014;BESS-QA-018,Walkway_violation|IP_rating_missing,NFPA_855_2023|DNV_RP_0585|ISO_5457|ISO_5455|IEC_60529|ISO_10628|ISO_14617
BESS-DRW-004,12_bess,MULTI,Layout del rack,Planta y elevacion de rack mostrando modulos y BMS.,technology == '12_bess',BASIC_DESIGN,BESS-028;BESS-029;BESS-030;BESS-031;BESS-032;BESS-033;BESS-034;BESS-035;BESS-036;BESS-037;BESS-020;BESS-021,BESS-C-008,BESS-GR-004,FRONT_ELEVATION|SIDE_ELEVATION|DETAIL,RACK_TABLE,BESS_RACK_SYMBOL;BESS_PCS_SYMBOL;BREAKER_SYMBOL;DC_DISCONNECT,A2,1:25|1:50,C-SCADA|C-COMM,Rack weight|Voltage|IP rating,BESS-DRW-003|BESS-DRW-005|BESS-DRW-006,BESS-QA-005;BESS-QA-006;BESS-QA-021,Rack_voltage_exceeds_1500V,IEC_62933_2_1|IEC_62619|DNV_RP_0585|ISO_5457|ISO_5455
BESS-DRW-005,12_bess,MULTI,Layout del modulo y celdas,Vista de modulo con detalle de celdas y BMS modulo.,technology == '12_bess',DETAILED_DESIGN,BESS-019;BESS-013;BESS-014;BESS-015;BESS-016;BESS-008;BESS-009;BESS-010;BESS-011;BESS-012;BESS-020;BESS-021;BESS-023;BESS-027,BESS-C-001;BESS-C-005;BESS-C-006;BESS-C-007,BESS-GR-005,PLAN_VIEW|SECTION|CELL_DETAIL,CELL_TABLE|MODULE_TABLE,BESS_RACK_SYMBOL;BESS_PCS_SYMBOL;BREAKER_SYMBOL;DC_DISCONNECT,A3|A2,1:10|1:25,C-SCADA|C-COMM,Chemistry|S/P config|Cell voltage,BESS-DRW-004,BESS-QA-007;BESS-QA-008,Cell_chemistry_not_listed,IEC_62619|IEC_62660_1|IEC_62897|DNV_RP_0585|ISO_5457|ISO_5455
BESS-DRW-006,12_bess,MULTI,Diagrama unilineal DC (SLD DC),"Diagrama unilineal del lado DC: racks, DC bus, disconnects, PCS DC.",technology == '12_bess',BASIC_DESIGN,BESS-029;BESS-054;BESS-091;BESS-093;BESS-079;BESS-031;BESS-028,BESS-C-008;BESS-C-018,BESS-GR-016,SLD_DC|DETAIL_DISCONNECT,DC_RACK_TABLE|BREAKER_TABLE,BESS_RACK_SYMBOL;BESS_PCS_SYMBOL;BREAKER_SYMBOL;DC_DISCONNECT,A2,1:50|NTS,C-SCADA|C-COMM,DC voltage|Breaker rating|Cable size,BESS-DRW-007|BESS-DRW-012,BESS-QA-010;BESS-QA-011;BESS-QA-022,DC_voltage_out_of_range,IEC_62933_2_1|UL_1741|IEC_62109_1|NFPA_70_2023|DNV_RP_0585|ISO_10628
BESS-DRW-007,12_bess,MULTI,Diagrama unilineal AC (SLD AC),"Diagrama unilineal del lado AC: PCS AC, switchgear LV/MV, transformador, punto de entrega.",technology == '12_bess',BASIC_DESIGN,BESS-075;BESS-080;BESS-081;BESS-083;BESS-084;BESS-085;BESS-086;BESS-087;BESS-088;BESS-089;BESS-090;BESS-092;BESS-082;BESS-077;BESS-078;BESS-049;BESS-053,BESS-C-018;BESS-C-019;BESS-C-025,BESS-GR-006;BESS-GR-007;BESS-GR-008,SLD_AC|DETAIL_PROTECTION,PROTECTION_TABLE|METERING_TABLE,BESS_RACK_SYMBOL;BESS_PCS_SYMBOL;BREAKER_SYMBOL;DC_DISCONNECT,A1|A2,NTS|1:100,C-SCADA|C-COMM,IEEE 1547 compliance|PF|THD|Transformer ratio,BESS-DRW-006|BESS-DRW-012|BESS-DRW-013,BESS-QA-012;BESS-QA-013;BESS-QA-023;BESS-QA-024,IEEE_1547_not_compliant|No_IEEE_519_THD,IEEE_1547_2018|IEEE_519_2022|UL_1741|IEC_62109_1|NFPA_70_2023|IEEE_C2_2023|IEEE_80_2013|DNV_RP_0585|ISO_10628
BESS-DRW-008,12_bess,MULTI,Malla de tierra y proteccion contra rayo,Plano de malla de tierra IEEE 80 y proteccion contra rayo IEC 62305 / NFPA 780.,technology == '12_bess',BASIC_DESIGN,BESS-114;BESS-115;BESS-116;BESS-117;BESS-118;BESS-119;BESS-002;BESS-003,BESS-C-020,BESS-GR-012;BESS-GR-013,GROUNDING_PLAN|LIGHTNING_PLAN|DETAIL_GROUND_ROD,GROUNDING_TABLE|STEP_POTENTIAL_TABLE,BESS_RACK_SYMBOL;BESS_PCS_SYMBOL;BREAKER_SYMBOL;DC_DISCONNECT,A1,1:100|1:200,C-SCADA|C-COMM,R_g value|LPL|Step potential|Touch potential,BESS-DRW-001|BESS-DRW-013,BESS-QA-014;BESS-QA-025;BESS-QA-027;BESS-QA-028,R_g > 5 ohm|LPL missing,IEEE_80_2013|IEEE_142|IEC_60364_5_54|NFPA_70_2023|IEC_62305_1|IEC_62305_3|NFPA_780_2023|DNV_RP_0585|ISO_5457
BESS-DRW-009,12_bess,MULTI,Plano de proteccion contra incendio,"Layout de supresion de incendio: agente limpio, water mist, sprinklers, bombas, reserva.",technology == '12_bess',BASIC_DESIGN,BESS-042;BESS-099;BESS-100;BESS-101;BESS-102;BESS-103;BESS-104;BESS-105;BESS-106;BESS-107;BESS-108;BESS-109;BESS-110;BESS-111;BESS-112,BESS-C-016;BESS-C-027;BESS-C-028;BESS-C-029;BESS-C-030,BESS-GR-010;BESS-GR-011;BESS-GR-021;BESS-GR-022,PLAN_VIEW|SECTION|DETAIL_NOZZLE,FIRE_DEMAND_TABLE|RESERVOIR_TABLE,BESS_RACK_SYMBOL;BESS_PCS_SYMBOL;BREAKER_SYMBOL;DC_DISCONNECT,A1|A2,1:50|1:100,C-SCADA|C-COMM,NFPA 855 HMA|UL 9540A|Agent mass|Discharge time,BESS-DRW-001|BESS-DRW-010|BESS-DRW-014,BESS-QA-015;BESS-QA-016;BESS-QA-017;BESS-QA-018;BESS-QA-019;BESS-QA-026;BESS-QA-029;BESS-QA-030;BESS-QA-031;BESS-QA-032;BESS-QA-035;BESS-QA-036;BESS-QA-037,No_NFPA_855_HMA|No_UL_9540A_report,NFPA_855_2023|NFPA_13_2022|NFPA_15_2022|NFPA_20_2022|IEC_60079_0|IEC_60079_10_1|IEC_60079_29_1|UL_9540A|UL_9540|DNV_RP_0585|ASME_B31_3_2022|ISO_10628|ISO_14617
BESS-DRW-010,12_bess,MULTI,Plano de deteccion de gas,"Layout de detectores H2, CO y humo con cobertura.",technology == '12_bess',BASIC_DESIGN,BESS-105;BESS-106;BESS-107;BESS-108;BESS-044;BESS-045;BESS-046;BESS-047,BESS-C-027;BESS-C-028,BESS-GR-011,PLAN_VIEW|SECTION|COVERAGE_TABLE,GAS_DETECTOR_TABLE,BESS_RACK_SYMBOL;BESS_PCS_SYMBOL;BREAKER_SYMBOL;DC_DISCONNECT,A2,1:50|1:100,C-SCADA|C-COMM,Alarm setpoints (ppm)|Coverage area|Sensor height,BESS-DRW-009|BESS-DRW-014,BESS-QA-020;BESS-QA-021,H2_alarm > 1% LFL,IEC_60079_29_1|IEC_60079_10_1|IEC_60079_0|NFPA_855_2023|DNV_RP_0585|ISO_14617
