field_id,language,synonyms,abbreviations,expected_units,document_types,section_names,table_header_patterns,regex_candidates,positive_context,negative_context,normalization_rule,plausibility_rule,requires_ocr,requires_vision,requires_llm,human_review_condition
H2-001,es;en,electrolyzer_type,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,electrolyzer_type,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-002,es;en,stack_count,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,stack_count,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-003,es;en,stacks_per_skid,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,stacks_per_skid,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-004,es;en,current_density_a_cm2,,A/cm2,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,current_density_a_cm2,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-005,es;en,cell_voltage_v,,V,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,cell_voltage_v,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-006,es;en,faraday_efficiency_pct,,percent,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,faraday_efficiency_pct,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-007,es;en,voltage_efficiency_pct,,percent,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,voltage_efficiency_pct,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-008,es;en,energy_consumption_kwh_kg_h2,,kWh/kg H2,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,energy_consumption_kwh_kg_h2,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-009,es;en,dc_voltage_v,,V DC,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,dc_voltage_v,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-010,es;en,dc_current_a,,A DC,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,dc_current_a,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-011,es;en,stack_power_kw,,kW DC,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,stack_power_kw,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-012,es;en,water_consumption_l_kg_h2,,L/kg H2,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,water_consumption_l_kg_h2,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-013,es;en,electrolyte_koh_concentration_pct,,percent,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,electrolyte_koh_concentration_pct,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-014,es;en,catalyst_platinum_loading_mg_cm2,,mg/cm2,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,catalyst_platinum_loading_mg_cm2,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-015,es;en,h2_production_nm3_h,,Nm3/h H2,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,h2_production_nm3_h,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-016,es;en,water_quality_tds_ppm,,ppm,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,water_quality_tds_ppm,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-017,es;en,water_quality_type,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,water_quality_type,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-018,es;en,water_treatment_capacity_m3_h,,m3/h,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,water_treatment_capacity_m3_h,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-019,es;en,cooling_water_consumption_m3_h,,m3/h,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,cooling_water_consumption_m3_h,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-020,es;en,makeup_water_source,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,makeup_water_source,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-021,es;en,compressor_type,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,compressor_type,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-022,es;en,discharge_pressure_bar,,bar,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,discharge_pressure_bar,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-023,es;en,isothermal_efficiency_pct,,percent,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,isothermal_efficiency_pct,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-024,es;en,number_of_stages,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,number_of_stages,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-025,es;en,intercooler_temperature_c,,degree C,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,intercooler_temperature_c,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-026,es;en,compressor_power_kw,,kW,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,compressor_power_kw,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-027,es;en,suction_pressure_bar,,bar,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,suction_pressure_bar,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-028,es;en,cooled_h2_temperature_c,,degree C,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,cooled_h2_temperature_c,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-029,es;en,dryer_type,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,dryer_type,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-030,es;en,dew_point_c,,degree C,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,dew_point_c,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-031,es;en,dryer_capacity_nm3_h,,Nm3/h,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,dryer_capacity_nm3_h,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-032,es;en,regeneration_method,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,regeneration_method,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-033,es;en,storage_type,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,storage_type,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-034,es;en,storage_volume_m3,,m3,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,storage_volume_m3,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-035,es;en,storage_pressure_bar,,bar,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,storage_pressure_bar,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-036,es;en,cylinder_count,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,cylinder_count,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-037,es;en,tube_trailer_capacity_kg,,kg H2,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,tube_trailer_capacity_kg,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-038,es;en,liquid_h2_boil_off_pct_day,,percent/day,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,liquid_h2_boil_off_pct_day,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-039,es;en,salt_cavern_working_capacity_kg,,kg H2,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,salt_cavern_working_capacity_kg,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-040,es;en,ammonia_synthesis_capacity_ton_d,,ton NH3/day,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,ammonia_synthesis_capacity_ton_d,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-041,es;en,pipe_material_class,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,pipe_material_class,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-042,es;en,pipe_diameter_mm,,mm,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,pipe_diameter_mm,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-043,es;en,pipe_wall_thickness_mm,,mm,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,pipe_wall_thickness_mm,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-044,es;en,pipe_pressure_rating_class,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,pipe_pressure_rating_class,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-045,es;en,h2_velocity_ms,,m/s,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,h2_velocity_ms,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-046,es;en,pipe_max_pressure_drop_bar,,bar,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,pipe_max_pressure_drop_bar,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-047,es;en,nace_compliance,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,nace_compliance,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-048,es;en,he_susceptibility_test,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,he_susceptibility_test,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-049,es;en,area_classification_zone,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,area_classification_zone,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-050,es;en,gas_group,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,gas_group,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-051,es;en,temperature_class,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,temperature_class,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-052,es;en,ex_protection_method,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,ex_protection_method,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-053,es;en,h2_detection_sensor_count,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,h2_detection_sensor_count,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-054,es;en,h2_detection_setpoint_pct_lel,,percent LEL,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,h2_detection_setpoint_pct_lel,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-055,es;en,vent_stack_height_m,,m,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,vent_stack_height_m,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-056,es;en,vent_stack_velocity_ms,,m/s,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,vent_stack_velocity_ms,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-057,es;en,flare_type,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,flare_type,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-058,es;en,flare_capacity_kg_h,,kg/h H2,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,flare_capacity_kg_h,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-059,es;en,esd_present,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,esd_present,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-060,es;en,sil_target_level,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,sil_target_level,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-061,es;en,hazop_complete,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,hazop_complete,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-062,es;en,sil_verified,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,sil_verified,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
