"field_id","category","name_es","description","data_type","unit","allowed_values","min_value","max_value","precision","requirement_class","required_from_stage","conditional_expression","prohibited_default","expected_source_document","extraction_hints","used_by_calculation_ids","used_by_drawing_ids","blocking_if_missing","review_role","source_ids"
"MG-001","project","Nombre del proyecto microrred","Denominacion comercial del proyecto de sistema hibrido / microrred.","string","-","","0","0","0","PROJECT_MANDATORY","FEASIBILITY","","True","Ficha de proyecto / contrato","Texto libre en cubierta y portada","MG-C-026|MG-C-030","MG-DRW-001|MG-DRW-002","True","PROJECT_MANAGER","IEEE_1547_2018|IEEE_1547_1|IEEE_1547_4|IEEE_519_2022|IEEE_80_2013|IEEE_142|IEEE_2030_2|IEEE_C2_2023|IEEE_835|NFPA_70_2023|NFPA_855_2023|NFPA_780_2023|NFPA_13_2022|NFPA_15_2022|NFPA_20_2022|NFPA_30_2024|DNV_RP_0585"
"MG-002","project","Latitud del sitio","Latitud geodesica WGS84 del centroide del sitio microrred.","float","deg","[-90,90]","-90.0","90.0","6","PROJECT_MANDATORY","FEASIBILITY","","True","Estudio topografico / GPS","Decimal con 4 a 6 cifras","MG-C-038|MG-C-036","MG-DRW-001|MG-DRW-002|MG-DRW-017","True","PROJECT_MANAGER","ISO_19111|DNV_RP_0585|DNV_RP_C205"
"MG-003","project","Longitud del sitio","Longitud geodesica WGS84 del centroide del sitio microrred.","float","deg","[-180,180]","-180.0","180.0","6","PROJECT_MANDATORY","FEASIBILITY","","True","Estudio topografico / GPS","Decimal con 4 a 6 cifras","MG-C-038|MG-C-036","MG-DRW-001|MG-DRW-002|MG-DRW-017","True","PROJECT_MANAGER","ISO_19111|DNV_RP_0585"
"MG-004","site","Modo de operacion de la microrred","Modo de operacion principal: grid-tied, intentional island, hybrid.","enum","-","GRID_TIED|ISLAND|HYBRID","","0","0","PROJECT_MANDATORY","FEASIBILITY","","True","Memoria descriptiva / contrato","Texto grid-tied / island / hybrid","MG-C-010|MG-C-024|MG-C-026","MG-DRW-003|MG-DRW-004|MG-DRW-010","True","PROJECT_MANAGER","IEEE_1547_4|IEEE_1547_2018|DNV_RP_0585"
"MG-005","site","Carga sismica horizontal (PGA)","Aceleracion horizontal pico del sitio en g para diseno sismico.","float","g","[0.05,1.0]","0.05","1.0","3","PROJECT_MANDATORY","PRELIMINARY","","True","Estudio geotecnico / NTE-060","Numero + g","MG-C-038|MG-C-036","MG-DRW-001|MG-DRW-002|MG-DRW-015","True","CIVIL_ENGINEER","RNE_DS_011_2006|DNV_RP_0585"
"MG-006","site","Temperatura ambiente minima de diseno","Temperatura ambiente minima en regimen permanente.","float","degC","[-50,55]","-50.0","55.0","1","PROJECT_MANDATORY","FEASIBILITY","","True","Estudio meteorologico (NASA POWER / DNV)","Numero con signo y unidad","MG-C-033|MG-C-008","MG-DRW-011|MG-DRW-003","True","PROCESS_ENGINEER","DNV_RP_C205|NASA_POWER|NFPA_855_2023"
"MG-007","site","Temperatura ambiente maxima de diseno","Temperatura ambiente maxima en regimen permanente.","float","degC","[-50,55]","-50.0","55.0","1","PROJECT_MANDATORY","FEASIBILITY","","True","Estudio meteorologico","Numero con signo y unidad","MG-C-033|MG-C-008","MG-DRW-011|MG-DRW-003","True","PROCESS_ENGINEER","DNV_RP_C205|NASA_POWER|NFPA_855_2023"
"MG-008","site","Tipo de emplazamiento","Tipo de emplazamiento: indoor, outdoor, rooftop, mixed.","enum","-","INDOOR|OUTDOOR|ROOFTOP|MIXED","","0","0","PROJECT_MANDATORY","FEASIBILITY","","True","Memoria de emplazamiento","Texto indoor / outdoor / rooftop / mixed","MG-C-038","MG-DRW-001|MG-DRW-003","True","PROJECT_MANAGER","IEEE_1547_2018|IEEE_1547_1|IEEE_1547_4|IEEE_519_2022|IEEE_80_2013|IEEE_142|IEEE_2030_2|IEEE_C2_2023|IEEE_835|NFPA_70_2023|NFPA_855_2023|NFPA_780_2023|NFPA_13_2022|NFPA_15_2022|NFPA_20_2022|NFPA_30_2024|DNV_RP_0585"
"MG-009","project","Jurisdiccion del proyecto","Pais / region del proyecto para aplicabilidad normativa.","enum","-","PE|CL|BR|EC|CO|MX|AR|GLOBAL","","0","0","PROJECT_MANDATORY","FEASIBILITY","","True","Contrato / ficha de proyecto","Texto ISO codigo pais","MG-C-038|MG-C-036","MG-DRW-001|MG-DRW-013","True","PROJECT_MANAGER","MINEM_DS_013_2019|CNE_2011|COES_NCO_2019|DNV_RP_0585"
"MG-010","site","Resistividad del suelo (ohm-m)","Resistividad media del suelo para dimensionamiento de malla de tierra.","float","ohm-m","[1,10000]","1.0","10000.0","1","PROHIBITED_TO_ASSUME","BASIC_DESIGN","","True","Estudio geoelectrico / IEEE 80","Numero + ohm-m","MG-C-036|MG-C-037","MG-DRW-013","True","ELECTRICAL_ENGINEER","IEEE_80_2013|IEEE_142|IEC_60364_5_54|IEC_60364_4_41|NFPA_70_2023|DNV_RP_0585"
